year,hlf0180,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
2001,Yes,0.75669,9393,11628,0,0.74639,0,0.76703
2001,No,0.24331,2235,11628,0,0.23723,0,0.24860
2003,Yes,0.75547,9623,11762,0,0.74445,0,0.76719
2003,No,0.24453,2139,11762,0,0.23943,0,0.25110
2005,Yes,0.75595,9109,11155,0,0.74289,0,0.76945
2005,No,0.24405,2046,11155,0,0.23818,0,0.25021
2007,Yes,0.75891,9369,11403,0,0.74561,0,0.77164
2007,No,0.24109,2034,11403,0,0.23491,0,0.24733
2011,Yes,0.76798,9789,12052,0,0.75532,0,0.78321
2011,No,0.23202,2263,12052,0,0.22447,0,0.23896
2013,Yes,0.76463,11099,13931,0,0.75009,0,0.77923
2013,No,0.23537,2832,13931,0,0.22796,0,0.24274
2016,Yes,0.77103,11560,14281,0,0.75448,0,0.78727
2016,No,0.22897,2721,14281,0,0.22014,0,0.23607
2017,Yes,0.77026,13253,17462,0,0.75620,0,0.78509
2017,No,0.22974,4209,17462,0,0.22008,0,0.23827
2018,Yes,0.77530,13272,17858,0,0.76246,0,0.79053
2018,No,0.22470,4586,17858,0,0.21554,0,0.23332
2019,Yes,0.78264,13378,16134,0,0.76636,0,0.79936
2019,No,0.21736,2756,16134,0,0.20949,0,0.22603
2021,Yes,0.79670,9895,12560,0,0.77602,0,0.81717
2021,No,0.20330,2665,12560,0,0.19241,0,0.21466
