year,bula_h,pgisced97,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,Lower Secondary Level,Yes,0.77495,65,65,0.67263,0.87726
1984,Schleswig-Holstein,Upper Secondary Level,Yes,0.69145,149,220,0.63027,0.75262
1984,Schleswig-Holstein,Upper Secondary Level,No,0.30855,71,220,0.24738,0.36973
1984,Hamburg,Lower Secondary Level,Yes,0.68795,40,40,0.54254,0.83337
1984,Hamburg,Upper Secondary Level,Yes,0.79256,119,157,0.72893,0.85619
1984,Hamburg,Upper Secondary Level,No,0.20744,38,157,0.14381,0.27107
1984,Lower Saxony,Primary Level,Yes,0.73623,39,39,0.59612,0.87635
1984,Lower Saxony,Lower Secondary Level,Yes,0.74457,265,366,0.69983,0.78931
1984,Lower Saxony,Lower Secondary Level,No,0.25543,101,366,0.21069,0.30017
1984,Lower Saxony,Upper Secondary Level,Yes,0.68856,403,591,0.65119,0.72593
1984,Lower Saxony,Upper Secondary Level,No,0.31144,188,591,0.27407,0.34881
1984,Lower Saxony,First Stage of Tertiary Education,Yes,0.79463,62,62,0.69325,0.89601
1984,Lower Saxony,Second Stage of Tertiary Education,Yes,0.57677,46,78,0.46642,0.68713
1984,Lower Saxony,Second Stage of Tertiary Education,No,0.42323,32,78,0.31287,0.53358
1984,Bremen,Upper Secondary Level,Yes,0.66150,49,49,0.52763,0.79537
1984,North Rhine-Westphalia,Pre-primary Level,Yes,0.50645,34,34,0.33587,0.67704
1984,North Rhine-Westphalia,Primary Level,Yes,0.61787,184,305,0.56325,0.67250
1984,North Rhine-Westphalia,Primary Level,No,0.38213,121,305,0.32750,0.43675
1984,North Rhine-Westphalia,Lower Secondary Level,Yes,0.71966,580,864,0.68969,0.74962
1984,North Rhine-Westphalia,Lower Secondary Level,No,0.27734,284,864,0.24747,0.30721
1984,North Rhine-Westphalia,Upper Secondary Level,Yes,0.70414,1045,1528,0.68124,0.72703
1984,North Rhine-Westphalia,Upper Secondary Level,No,0.29586,483,1528,0.27297,0.31876
1984,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Yes,0.68251,62,62,0.56569,0.79933
1984,North Rhine-Westphalia,First Stage of Tertiary Education,Yes,0.80891,126,157,0.74721,0.87060
1984,North Rhine-Westphalia,First Stage of Tertiary Education,No,0.19109,31,157,0.12940,0.25279
1984,North Rhine-Westphalia,Second Stage of Tertiary Education,Yes,0.68484,149,225,0.62400,0.74568
1984,North Rhine-Westphalia,Second Stage of Tertiary Education,No,0.31516,76,225,0.25432,0.37600
1984,Hesse,Primary Level,Yes,0.70161,67,106,0.61409,0.78913
1984,Hesse,Primary Level,No,0.29839,39,106,0.21087,0.38591
1984,Hesse,Lower Secondary Level,Yes,0.77892,253,354,0.73563,0.82221
1984,Hesse,Lower Secondary Level,No,0.22108,101,354,0.17779,0.26437
1984,Hesse,Upper Secondary Level,Yes,0.70770,397,585,0.67081,0.74459
1984,Hesse,Upper Secondary Level,No,0.29230,188,585,0.25541,0.32919
1984,Hesse,First Stage of Tertiary Education,Yes,0.60194,31,31,0.42677,0.77710
1984,Hesse,Second Stage of Tertiary Education,Yes,0.70971,64,64,0.59763,0.82180
1984,"Rhineland-Palatinate, Saarland",Primary Level,Yes,0.67509,42,42,0.53173,0.81845
1984,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Yes,0.73217,206,297,0.68172,0.78261
1984,"Rhineland-Palatinate, Saarland",Lower Secondary Level,No,0.26705,91,297,0.21665,0.31745
1984,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Yes,0.68817,265,392,0.64225,0.73409
1984,"Rhineland-Palatinate, Saarland",Upper Secondary Level,No,0.31183,127,392,0.26591,0.35775
1984,Baden-Wuerttemberg,Primary Level,Yes,0.63273,184,282,0.57637,0.68910
1984,Baden-Wuerttemberg,Primary Level,No,0.36727,98,282,0.31090,0.42363
1984,Baden-Wuerttemberg,Lower Secondary Level,Yes,0.70547,453,691,0.67146,0.73948
1984,Baden-Wuerttemberg,Lower Secondary Level,No,0.29449,238,691,0.26048,0.32850
1984,Baden-Wuerttemberg,Upper Secondary Level,Yes,0.73125,652,939,0.70288,0.75962
1984,Baden-Wuerttemberg,Upper Secondary Level,No,0.26875,287,939,0.24038,0.29712
1984,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,Yes,0.76927,34,34,0.62553,0.91302
1984,Baden-Wuerttemberg,First Stage of Tertiary Education,Yes,0.74131,85,117,0.66161,0.82100
1984,Baden-Wuerttemberg,First Stage of Tertiary Education,No,0.25869,32,117,0.17900,0.33839
1984,Baden-Wuerttemberg,Second Stage of Tertiary Education,Yes,0.67333,84,125,0.59078,0.75588
1984,Baden-Wuerttemberg,Second Stage of Tertiary Education,No,0.32667,41,125,0.24412,0.40922
1984,Bavaria,Primary Level,Yes,0.73388,74,74,0.63250,0.83526
1984,Bavaria,Lower Secondary Level,Yes,0.72421,409,584,0.68793,0.76049
1984,Bavaria,Lower Secondary Level,No,0.27579,175,584,0.23951,0.31207
1984,Bavaria,Upper Secondary Level,Yes,0.70286,714,1034,0.67500,0.73073
1984,Bavaria,Upper Secondary Level,No,0.29714,320,1034,0.26927,0.32500
1984,Bavaria,Post-secondary Non-tertiary Level,Yes,0.75178,36,36,0.60866,0.89489
1984,Bavaria,First Stage of Tertiary Education,Yes,0.73508,94,130,0.65893,0.81123
1984,Bavaria,First Stage of Tertiary Education,No,0.26492,36,130,0.18877,0.34107
1984,Bavaria,Second Stage of Tertiary Education,Yes,0.71505,107,157,0.64421,0.78588
1984,Bavaria,Second Stage of Tertiary Education,No,0.28495,50,157,0.21412,0.35579
1984,Berlin,Lower Secondary Level,Yes,0.74976,68,99,0.66400,0.83552
1984,Berlin,Lower Secondary Level,No,0.25024,31,99,0.16448,0.33600
1984,Berlin,Upper Secondary Level,Yes,0.72179,130,186,0.65722,0.78637
1984,Berlin,Upper Secondary Level,No,0.27821,56,186,0.21363,0.34278
1985,Schleswig-Holstein,Lower Secondary Level,Yes,0.80840,67,67,0.71345,0.90335
1985,Schleswig-Holstein,Upper Secondary Level,Yes,0.77643,147,196,0.71795,0.83491
1985,Schleswig-Holstein,Upper Secondary Level,No,0.22357,49,196,0.16509,0.28205
1985,Hamburg,Lower Secondary Level,Yes,0.69807,42,42,0.55755,0.83860
1985,Hamburg,Upper Secondary Level,Yes,0.70675,107,147,0.63290,0.78060
1985,Hamburg,Upper Secondary Level,No,0.29325,40,147,0.21940,0.36710
1985,Lower Saxony,Lower Secondary Level,Yes,0.79439,236,309,0.74925,0.83952
1985,Lower Saxony,Lower Secondary Level,No,0.20561,73,309,0.16048,0.25075
1985,Lower Saxony,Upper Secondary Level,Yes,0.72897,381,542,0.69152,0.76643
1985,Lower Saxony,Upper Secondary Level,No,0.27103,161,542,0.23357,0.30848
1985,Lower Saxony,First Stage of Tertiary Education,Yes,0.71148,50,50,0.58462,0.83834
1985,Lower Saxony,Second Stage of Tertiary Education,Yes,0.69071,50,50,0.56130,0.82013
1985,Bremen,Upper Secondary Level,Yes,0.75877,47,47,0.63514,0.88241
1985,North Rhine-Westphalia,Pre-primary Level,Yes,0.61316,35,35,0.44946,0.77687
1985,North Rhine-Westphalia,Primary Level,Yes,0.65132,159,252,0.59237,0.71028
1985,North Rhine-Westphalia,Primary Level,No,0.34868,93,252,0.28972,0.40763
1985,North Rhine-Westphalia,Lower Secondary Level,Yes,0.72986,519,756,0.69819,0.76153
1985,North Rhine-Westphalia,Lower Secondary Level,No,0.27014,237,756,0.23847,0.30181
1985,North Rhine-Westphalia,Upper Secondary Level,Yes,0.69704,935,1396,0.67292,0.72115
