year,age_gr,sampreg,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,West,Yes,0.63967,2127,3435,0.62361,0.65573
1984,17-29 y.,West,No,0.36033,1308,3435,0.34427,0.37639
1984,30-45 y.,West,Yes,0.64426,2483,3906,0.62924,0.65928
1984,30-45 y.,West,No,0.35574,1423,3906,0.34072,0.37076
1984,46-65 y.,West,Yes,0.74974,2598,3556,0.73550,0.76398
1984,46-65 y.,West,No,0.25026,958,3556,0.23602,0.26450
1984,66 and older,West,Yes,0.84488,1070,1267,0.82494,0.86482
1984,66 and older,West,No,0.15512,197,1267,0.13518,0.17506
1985,17-29 y.,West,Yes,0.65568,1977,3140,0.63906,0.67230
1985,17-29 y.,West,No,0.34432,1163,3140,0.32770,0.36094
1985,30-45 y.,West,Yes,0.63998,2213,3475,0.62402,0.65594
1985,30-45 y.,West,No,0.36002,1262,3475,0.34406,0.37598
1985,46-65 y.,West,Yes,0.75451,2459,3304,0.73984,0.76919
1985,46-65 y.,West,No,0.24549,845,3304,0.23081,0.26016
1985,66 and older,West,Yes,0.85855,949,1107,0.83801,0.87909
1985,66 and older,West,No,0.14145,158,1107,0.12091,0.16199
1986,17-29 y.,West,Yes,0.68163,1970,3055,0.66511,0.69815
1986,17-29 y.,West,No,0.31837,1085,3055,0.30185,0.33489
1986,30-45 y.,West,Yes,0.66580,2162,3269,0.64963,0.68197
1986,30-45 y.,West,No,0.33420,1107,3269,0.31803,0.35037
1986,46-65 y.,West,Yes,0.76494,2441,3228,0.75030,0.77957
1986,46-65 y.,West,No,0.23506,787,3228,0.22043,0.24970
1986,66 and older,West,Yes,0.86255,886,1031,0.84152,0.88358
1986,66 and older,West,No,0.13745,145,1031,0.11642,0.15848
1987,17-29 y.,West,Yes,0.67275,1920,3008,0.65598,0.68952
1987,17-29 y.,West,No,0.32725,1088,3008,0.31048,0.34402
1987,30-45 y.,West,Yes,0.64380,2041,3168,0.62713,0.66048
1987,30-45 y.,West,No,0.35620,1127,3168,0.33952,0.37287
1987,46-65 y.,West,Yes,0.76524,2395,3208,0.75057,0.77991
1987,46-65 y.,West,No,0.23476,813,3208,0.22009,0.24943
1987,66 and older,West,Yes,0.87076,922,1068,0.85063,0.89089
1987,66 and older,West,No,0.12924,146,1068,0.10911,0.14937
1988,17-29 y.,West,Yes,0.60780,1663,2864,0.58991,0.62568
1988,17-29 y.,West,No,0.39220,1201,2864,0.37432,0.41009
1988,30-45 y.,West,Yes,0.60235,1771,2942,0.58466,0.62004
1988,30-45 y.,West,No,0.39765,1171,2942,0.37996,0.41534
1988,46-65 y.,West,Yes,0.71459,2226,3099,0.69868,0.73049
