year,pgisced97,sampreg,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Pre-primary Level,West,Yes,0.51581,101,187,0.44399,0.58763
1984,Pre-primary Level,West,No,0.44853,86,187,0.37706,0.52001
1984,Primary Level,West,Yes,0.65889,630,999,0.62947,0.68830
1984,Primary Level,West,No,0.34070,369,999,0.31130,0.37011
1984,Lower Secondary Level,West,Yes,0.72907,2366,3448,0.71424,0.74391
1984,Lower Secondary Level,West,No,0.26979,1082,3448,0.25498,0.28461
1984,Upper Secondary Level,West,Yes,0.70728,3923,5706,0.69547,0.71909
1984,Upper Secondary Level,West,No,0.29272,1783,5706,0.28091,0.30453
1984,Post-secondary Non-tertiary Level,West,Yes,0.69007,199,309,0.63842,0.74172
1984,Post-secondary Non-tertiary Level,West,No,0.30993,110,309,0.25828,0.36158
1984,First Stage of Tertiary Education,West,Yes,0.75516,492,659,0.72230,0.78801
1984,First Stage of Tertiary Education,West,No,0.24484,167,659,0.21199,0.27770
1984,Second Stage of Tertiary Education,West,Yes,0.67856,523,790,0.64597,0.71115
1984,Second Stage of Tertiary Education,West,No,0.32144,267,790,0.28885,0.35403
1985,Pre-primary Level,West,Yes,0.60231,111,187,0.53197,0.67265
1985,Pre-primary Level,West,No,0.39567,76,187,0.32539,0.46594
1985,Primary Level,West,Yes,0.66544,549,834,0.63340,0.69749
1985,Primary Level,West,No,0.33456,285,834,0.30251,0.36660
1985,Lower Secondary Level,West,Yes,0.74521,2147,3061,0.72977,0.76065
1985,Lower Secondary Level,West,No,0.25474,914,3061,0.23930,0.27018
1985,Upper Secondary Level,West,Yes,0.71721,3591,5181,0.70494,0.72947
1985,Upper Secondary Level,West,No,0.28278,1590,5181,0.27051,0.29504
1985,Post-secondary Non-tertiary Level,West,Yes,0.72471,192,275,0.67182,0.77760
1985,Post-secondary Non-tertiary Level,West,No,0.27529,83,275,0.22240,0.32818
1985,First Stage of Tertiary Education,West,Yes,0.72577,443,619,0.69059,0.76094
1985,First Stage of Tertiary Education,West,No,0.27423,176,619,0.23906,0.30941
1985,Second Stage of Tertiary Education,West,Yes,0.66161,489,755,0.62783,0.69538
1985,Second Stage of Tertiary Education,West,No,0.33839,266,755,0.30462,0.37217
1986,Pre-primary Level,West,Yes,0.64014,114,188,0.57135,0.70893
1986,Pre-primary Level,West,No,0.35986,74,188,0.29107,0.42865
1986,Primary Level,West,Yes,0.69360,516,778,0.66118,0.72601
1986,Primary Level,West,No,0.30640,262,778,0.27399,0.33882
1986,Lower Secondary Level,West,Yes,0.76365,2091,2907,0.74820,0.77910
1986,Lower Secondary Level,West,No,0.23585,816,2907,0.22041,0.25129
1986,Upper Secondary Level,West,Yes,0.72779,3521,4993,0.71544,0.74014
1986,Upper Secondary Level,West,No,0.27221,1472,4993,0.25986,0.28456
1986,Post-secondary Non-tertiary Level,West,Yes,0.75850,197,274,0.70773,0.80927
1986,Post-secondary Non-tertiary Level,West,No,0.24150,77,274,0.19073,0.29227
1986,First Stage of Tertiary Education,West,Yes,0.77228,438,581,0.73815,0.80641
1986,First Stage of Tertiary Education,West,No,0.22772,143,581,0.19359,0.26185
1986,Second Stage of Tertiary Education,West,Yes,0.68457,500,749,0.65127,0.71787
1986,Second Stage of Tertiary Education,West,No,0.31543,249,749,0.28213,0.34873
1987,Pre-primary Level,West,Yes,0.65644,113,191,0.58891,0.72396
1987,Pre-primary Level,West,No,0.34250,78,191,0.27502,0.40998
1987,Primary Level,West,Yes,0.70362,502,751,0.67094,0.73631
1987,Primary Level,West,No,0.29638,249,751,0.26369,0.32906
1987,Lower Secondary Level,West,Yes,0.75868,1989,2836,0.74292,0.77443
1987,Lower Secondary Level,West,No,0.24128,847,2836,0.22553,0.25703
1987,Upper Secondary Level,West,Yes,0.72431,3485,4970,0.71189,0.73674
1987,Upper Secondary Level,West,No,0.27569,1485,4970,0.26326,0.28811
1987,Post-secondary Non-tertiary Level,West,Yes,0.73322,189,274,0.68076,0.78569
1987,Post-secondary Non-tertiary Level,West,No,0.26678,85,274,0.21431,0.31924
1987,First Stage of Tertiary Education,West,Yes,0.76448,435,565,0.72946,0.79950
1987,First Stage of Tertiary Education,West,No,0.23552,130,565,0.20050,0.27054
1987,Second Stage of Tertiary Education,West,Yes,0.67479,482,742,0.64106,0.70852
1987,Second Stage of Tertiary Education,West,No,0.32521,260,742,0.29148,0.35894
1988,Pre-primary Level,West,Yes,0.56801,88,163,0.49173,0.64429
1988,Pre-primary Level,West,No,0.42293,75,163,0.34686,0.49901
1988,Primary Level,West,Yes,0.66425,463,690,0.62899,0.69951
1988,Primary Level,West,No,0.33432,227,690,0.29910,0.36955
1988,Lower Secondary Level,West,Yes,0.70431,1794,2708,0.68712,0.72151
1988,Lower Secondary Level,West,No,0.29263,914,2708,0.27549,0.30977
1988,Upper Secondary Level,West,Yes,0.68928,3146,4728,0.67608,0.70247
1988,Upper Secondary Level,West,No,0.30822,1582,4728,0.29505,0.32138
1988,Post-secondary Non-tertiary Level,West,Yes,0.69484,176,266,0.63940,0.75028
1988,Post-secondary Non-tertiary Level,West,No,0.30186,90,266,0.24659,0.35713
1988,First Stage of Tertiary Education,West,Yes,0.66744,351,536,0.62752,0.70737
1988,First Stage of Tertiary Education,West,No,0.32591,185,536,0.28619,0.36563
