year,age_gr,quintil_oecd,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,1st Quintile,Yes,0.63358,472,788,0.59991,0.66724
1984,17-29 y.,1st Quintile,No,0.36642,316,788,0.33276,0.40009
1984,17-29 y.,2nd Quintile,Yes,0.63177,420,684,0.59560,0.66794
1984,17-29 y.,2nd Quintile,No,0.36823,264,684,0.33206,0.40440
1984,17-29 y.,3rd Quintile,Yes,0.60897,390,660,0.57171,0.64623
1984,17-29 y.,3rd Quintile,No,0.39103,270,660,0.35377,0.42829
1984,17-29 y.,4th Quintile,Yes,0.64778,465,730,0.61311,0.68246
1984,17-29 y.,4th Quintile,No,0.35222,265,730,0.31754,0.38689
1984,17-29 y.,5th Quintile,Yes,0.68028,373,560,0.64162,0.71894
1984,17-29 y.,5th Quintile,No,0.31972,187,560,0.28106,0.35838
1984,30-45 y.,1st Quintile,Yes,0.59820,473,788,0.56394,0.63245
1984,30-45 y.,1st Quintile,No,0.40180,315,788,0.36755,0.43606
1984,30-45 y.,2nd Quintile,Yes,0.62424,497,786,0.59035,0.65812
1984,30-45 y.,2nd Quintile,No,0.37576,289,786,0.34188,0.40965
1984,30-45 y.,3rd Quintile,Yes,0.68288,503,761,0.64980,0.71597
1984,30-45 y.,3rd Quintile,No,0.31712,258,761,0.28403,0.35020
1984,30-45 y.,4th Quintile,Yes,0.63476,492,785,0.60106,0.66847
1984,30-45 y.,4th Quintile,No,0.36524,293,785,0.33153,0.39894
1984,30-45 y.,5th Quintile,Yes,0.66991,518,784,0.63697,0.70285
1984,30-45 y.,5th Quintile,No,0.33009,266,784,0.29715,0.36303
1984,46-65 y.,1st Quintile,Yes,0.74906,393,558,0.71306,0.78507
1984,46-65 y.,1st Quintile,No,0.25094,165,558,0.21493,0.28694
1984,46-65 y.,2nd Quintile,Yes,0.75485,473,652,0.72181,0.78790
1984,46-65 y.,2nd Quintile,No,0.24515,179,652,0.21210,0.27819
1984,46-65 y.,3rd Quintile,Yes,0.73396,502,697,0.70113,0.76679
1984,46-65 y.,3rd Quintile,No,0.26604,195,697,0.23321,0.29887
1984,46-65 y.,4th Quintile,Yes,0.74744,566,765,0.71663,0.77824
1984,46-65 y.,4th Quintile,No,0.25256,199,765,0.22176,0.28337
1984,46-65 y.,5th Quintile,Yes,0.75801,659,879,0.72969,0.78634
1984,46-65 y.,5th Quintile,No,0.24199,220,879,0.21366,0.27031
1984,66 and older,1st Quintile,Yes,0.81562,285,351,0.77499,0.85625
1984,66 and older,1st Quintile,No,0.18438,66,351,0.14375,0.22501
1984,66 and older,2nd Quintile,Yes,0.87835,241,276,0.83971,0.91698
1984,66 and older,2nd Quintile,No,0.12165,35,276,0.08302,0.16029
1984,66 and older,3rd Quintile,Yes,0.86435,204,237,0.82066,0.90804
1984,66 and older,3rd Quintile,No,0.13565,33,237,0.09196,0.17934
1984,66 and older,4th Quintile,Yes,0.84478,175,175,0.79097,0.89858
1984,66 and older,5th Quintile,Yes,0.82549,162,195,0.77208,0.87890
1984,66 and older,5th Quintile,No,0.17451,33,195,0.12110,0.22792
1985,17-29 y.,1st Quintile,Yes,0.66616,474,777,0.63298,0.69934
1985,17-29 y.,1st Quintile,No,0.33384,303,777,0.30066,0.36702
1985,17-29 y.,2nd Quintile,Yes,0.66939,373,583,0.63117,0.70761
1985,17-29 y.,2nd Quintile,No,0.33061,210,583,0.29239,0.36883
1985,17-29 y.,3rd Quintile,Yes,0.63510,402,647,0.59797,0.67222
1985,17-29 y.,3rd Quintile,No,0.36490,245,647,0.32778,0.40203
1985,17-29 y.,4th Quintile,Yes,0.64935,407,630,0.61206,0.68664
1985,17-29 y.,4th Quintile,No,0.35065,223,630,0.31336,0.38794
1985,17-29 y.,5th Quintile,Yes,0.65830,318,500,0.61669,0.69992
1985,17-29 y.,5th Quintile,No,0.34170,182,500,0.30008,0.38331
1985,30-45 y.,1st Quintile,Yes,0.60425,420,688,0.56768,0.64082
1985,30-45 y.,1st Quintile,No,0.39575,268,688,0.35918,0.43232
1985,30-45 y.,2nd Quintile,Yes,0.66978,489,750,0.63609,0.70346
1985,30-45 y.,2nd Quintile,No,0.33022,261,750,0.29654,0.36391
1985,30-45 y.,3rd Quintile,Yes,0.66388,425,642,0.62731,0.70045
1985,30-45 y.,3rd Quintile,No,0.33612,217,642,0.29955,0.37269
1985,30-45 y.,4th Quintile,Yes,0.62703,432,682,0.59071,0.66335
1985,30-45 y.,4th Quintile,No,0.37297,250,682,0.33665,0.40929
1985,30-45 y.,5th Quintile,Yes,0.63207,445,711,0.59660,0.66754
1985,30-45 y.,5th Quintile,No,0.36793,266,711,0.33246,0.40340
1985,46-65 y.,1st Quintile,Yes,0.77219,395,534,0.73658,0.80779
1985,46-65 y.,1st Quintile,No,0.22781,139,534,0.19221,0.26342
1985,46-65 y.,2nd Quintile,Yes,0.76573,417,564,0.73075,0.80072
1985,46-65 y.,2nd Quintile,No,0.23427,147,564,0.19928,0.26925
1985,46-65 y.,3rd Quintile,Yes,0.78090,537,700,0.75023,0.81156
1985,46-65 y.,3rd Quintile,No,0.21910,163,700,0.18844,0.24977
1985,46-65 y.,4th Quintile,Yes,0.75389,532,705,0.72207,0.78571
1985,46-65 y.,4th Quintile,No,0.24611,173,705,0.21429,0.27793
1985,46-65 y.,5th Quintile,Yes,0.71613,575,798,0.68483,0.74744
1985,46-65 y.,5th Quintile,No,0.28387,223,798,0.25256,0.31517
1985,66 and older,1st Quintile,Yes,0.88368,226,258,0.84448,0.92288
1985,66 and older,1st Quintile,No,0.11632,32,258,0.07712,0.15552
1985,66 and older,2nd Quintile,Yes,0.85763,225,262,0.81524,0.90003
1985,66 and older,2nd Quintile,No,0.14237,37,262,0.09997,0.18476
1985,66 and older,3rd Quintile,Yes,0.86042,186,218,0.81431,0.90653
1985,66 and older,3rd Quintile,No,0.13958,32,218,0.09347,0.18569
1985,66 and older,4th Quintile,Yes,0.83316,165,196,0.78083,0.88549
1985,66 and older,4th Quintile,No,0.16684,31,196,0.11451,0.21917
1985,66 and older,5th Quintile,Yes,0.84304,147,147,0.78403,0.90205
1986,17-29 y.,1st Quintile,Yes,0.68655,410,663,0.65121,0.72189
1986,17-29 y.,1st Quintile,No,0.31345,253,663,0.27811,0.34879
1986,17-29 y.,2nd Quintile,Yes,0.63863,372,610,0.60047,0.67678
1986,17-29 y.,2nd Quintile,No,0.36137,238,610,0.32322,0.39953
