year,age_gr,bula_h,doctoryn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Schleswig-Holstein,Yes,0.63476,58,96,0.53793,0.73158
1984,17-29 y.,Schleswig-Holstein,No,0.36524,38,96,0.26842,0.46207
1984,17-29 y.,Hamburg,Yes,0.67313,41,41,0.52776,0.81849
1984,17-29 y.,Lower Saxony,Yes,0.59938,202,335,0.54683,0.65193
1984,17-29 y.,Lower Saxony,No,0.40062,133,335,0.34807,0.45317
1984,17-29 y.,North Rhine-Westphalia,Yes,0.62827,603,969,0.59783,0.65872
1984,17-29 y.,North Rhine-Westphalia,No,0.37173,366,969,0.34128,0.40217
1984,17-29 y.,Hesse,Yes,0.68976,250,378,0.64306,0.73646
1984,17-29 y.,Hesse,No,0.31024,128,378,0.26354,0.35694
1984,17-29 y.,"Rhineland-Palatinate, Saarland",Yes,0.66307,156,246,0.60388,0.72226
1984,17-29 y.,"Rhineland-Palatinate, Saarland",No,0.33693,90,246,0.27774,0.39612
1984,17-29 y.,Baden-Wuerttemberg,Yes,0.66132,394,650,0.62490,0.69773
1984,17-29 y.,Baden-Wuerttemberg,No,0.33868,256,650,0.30227,0.37510
1984,17-29 y.,Bavaria,Yes,0.63703,353,569,0.59748,0.67657
1984,17-29 y.,Bavaria,No,0.36297,216,569,0.32343,0.40252
1984,17-29 y.,Berlin,Yes,0.59472,57,100,0.49801,0.69143
1984,17-29 y.,Berlin,No,0.40528,43,100,0.30857,0.50199
1984,30-45 y.,Schleswig-Holstein,Yes,0.67855,98,143,0.60173,0.75536
1984,30-45 y.,Schleswig-Holstein,No,0.32145,45,143,0.24464,0.39827
1984,30-45 y.,Hamburg,Yes,0.69312,75,122,0.61094,0.77529
1984,30-45 y.,Hamburg,No,0.30688,47,122,0.22471,0.38906
1984,30-45 y.,Lower Saxony,Yes,0.65876,251,390,0.61164,0.70587
1984,30-45 y.,Lower Saxony,No,0.34124,139,390,0.29413,0.38836
1984,30-45 y.,North Rhine-Westphalia,Yes,0.63923,683,1092,0.61074,0.66773
1984,30-45 y.,North Rhine-Westphalia,No,0.36077,409,1092,0.33227,0.38926
1984,30-45 y.,Hesse,Yes,0.64068,227,369,0.59166,0.68971
1984,30-45 y.,Hesse,No,0.35932,142,369,0.31029,0.40834
1984,30-45 y.,"Rhineland-Palatinate, Saarland",Yes,0.55241,119,208,0.48467,0.62015
1984,30-45 y.,"Rhineland-Palatinate, Saarland",No,0.44759,89,208,0.37985,0.51533
1984,30-45 y.,Baden-Wuerttemberg,Yes,0.67004,481,741,0.63616,0.70391
1984,30-45 y.,Baden-Wuerttemberg,No,0.32996,260,741,0.29609,0.36384
1984,30-45 y.,Bavaria,Yes,0.64078,440,674,0.60453,0.67702
1984,30-45 y.,Bavaria,No,0.35922,234,674,0.32298,0.39547
1984,30-45 y.,Berlin,Yes,0.63845,89,136,0.55741,0.71950
1984,30-45 y.,Berlin,No,0.36155,47,136,0.28050,0.44259
1984,46-65 y.,Schleswig-Holstein,Yes,0.74461,75,75,0.64525,0.84397
1984,46-65 y.,Hamburg,Yes,0.76771,53,53,0.65293,0.88249
1984,46-65 y.,Lower Saxony,Yes,0.72030,255,356,0.67361,0.76699
1984,46-65 y.,Lower Saxony,No,0.27970,101,356,0.23301,0.32639
1984,46-65 y.,North Rhine-Westphalia,Yes,0.76437,672,911,0.73679,0.79194
1984,46-65 y.,North Rhine-Westphalia,No,0.23563,239,911,0.20806,0.26321
1984,46-65 y.,Hesse,Yes,0.74007,284,398,0.69693,0.78321
1984,46-65 y.,Hesse,No,0.25993,114,398,0.21679,0.30307
1984,46-65 y.,"Rhineland-Palatinate, Saarland",Yes,0.73864,209,285,0.68754,0.78974
1984,46-65 y.,"Rhineland-Palatinate, Saarland",No,0.26136,76,285,0.21026,0.31246
1984,46-65 y.,Baden-Wuerttemberg,Yes,0.74243,468,647,0.70871,0.77616
1984,46-65 y.,Baden-Wuerttemberg,No,0.25757,179,647,0.22384,0.29129
1984,46-65 y.,Bavaria,Yes,0.76252,462,614,0.72883,0.79620
1984,46-65 y.,Bavaria,No,0.23748,152,614,0.20380,0.27117
1984,46-65 y.,Berlin,Yes,0.77784,93,125,0.70467,0.85101
1984,46-65 y.,Berlin,No,0.22216,32,125,0.14899,0.29533
1984,66 and older,Schleswig-Holstein,Yes,0.91729,41,41,0.83192,1.00265
1984,66 and older,Hamburg,Yes,0.82364,38,38,0.70084,0.94645
1984,66 and older,Lower Saxony,Yes,0.85766,132,132,0.79783,0.91750
1984,66 and older,North Rhine-Westphalia,Yes,0.85496,238,282,0.81378,0.89613
1984,66 and older,North Rhine-Westphalia,No,0.14504,44,282,0.10387,0.18622
1984,66 and older,Hesse,Yes,0.81096,83,83,0.72621,0.89570
1984,66 and older,"Rhineland-Palatinate, Saarland",Yes,0.84999,96,96,0.77818,0.92180
1984,66 and older,Baden-Wuerttemberg,Yes,0.82669,177,214,0.77586,0.87752
1984,66 and older,Baden-Wuerttemberg,No,0.17331,37,214,0.12248,0.22414
1984,66 and older,Bavaria,Yes,0.84005,197,234,0.79298,0.88711
1984,66 and older,Bavaria,No,0.15995,37,234,0.11289,0.20702
1984,66 and older,Berlin,Yes,0.86636,41,41,0.76091,0.97181
1985,17-29 y.,Schleswig-Holstein,Yes,0.74137,59,59,0.62867,0.85406
1985,17-29 y.,Hamburg,Yes,0.71088,42,42,0.57211,0.84965
1985,17-29 y.,Lower Saxony,Yes,0.71149,208,302,0.66031,0.76267
1985,17-29 y.,Lower Saxony,No,0.28851,94,302,0.23733,0.33969
1985,17-29 y.,North Rhine-Westphalia,Yes,0.62874,525,863,0.59649,0.66100
1985,17-29 y.,North Rhine-Westphalia,No,0.37126,338,863,0.33900,0.40351
1985,17-29 y.,Hesse,Yes,0.64070,197,334,0.58917,0.69224
1985,17-29 y.,Hesse,No,0.35930,137,334,0.30776,0.41083
1985,17-29 y.,"Rhineland-Palatinate, Saarland",Yes,0.59443,145,241,0.53231,0.65655
1985,17-29 y.,"Rhineland-Palatinate, Saarland",No,0.40557,96,241,0.34345,0.46769
1985,17-29 y.,Baden-Wuerttemberg,Yes,0.65996,385,614,0.62246,0.69746
1985,17-29 y.,Baden-Wuerttemberg,No,0.34004,229,614,0.30254,0.37754
1985,17-29 y.,Bavaria,Yes,0.66950,346,523,0.62915,0.70986
1985,17-29 y.,Bavaria,No,0.33050,177,523,0.29014,0.37085
1985,17-29 y.,Berlin,Yes,0.63501,55,95,0.53769,0.73234
1985,17-29 y.,Berlin,No,0.36499,40,95,0.26766,0.46231
1985,30-45 y.,Schleswig-Holstein,Yes,0.69275,87,129,0.61283,0.77268
1985,30-45 y.,Schleswig-Holstein,No,0.30725,42,129,0.22732,0.38717
1985,30-45 y.,Hamburg,Yes,0.67146,72,72,0.56220,0.78071
1985,30-45 y.,Lower Saxony,Yes,0.64054,218,351,0.59027,0.69081
1985,30-45 y.,Lower Saxony,No,0.35946,133,351,0.30919,0.40973
1985,30-45 y.,North Rhine-Westphalia,Yes,0.64402,628,991,0.61420,0.67385
1985,30-45 y.,North Rhine-Westphalia,No,0.35598,363,991,0.32615,0.38580
1985,30-45 y.,Hesse,Yes,0.60992,213,337,0.55777,0.66208
1985,30-45 y.,Hesse,No,0.39008,124,337,0.33792,0.44223
1985,30-45 y.,"Rhineland-Palatinate, Saarland",Yes,0.51938,94,169,0.44383,0.59493
1985,30-45 y.,"Rhineland-Palatinate, Saarland",No,0.48062,75,169,0.40507,0.55617
1985,30-45 y.,Baden-Wuerttemberg,Yes,0.62326,401,644,0.58580,0.66071
1985,30-45 y.,Baden-Wuerttemberg,No,0.37674,243,644,0.33929,0.41420
1985,30-45 y.,Bavaria,Yes,0.66327,399,606,0.62561,0.70093
1985,30-45 y.,Bavaria,No,0.33673,207,606,0.29907,0.37439
1985,30-45 y.,Berlin,Yes,0.73153,86,120,0.65191,0.81116
1985,30-45 y.,Berlin,No,0.26847,34,120,0.18884,0.34809
1985,46-65 y.,Schleswig-Holstein,Yes,0.73792,70,70,0.63415,0.84168
1985,46-65 y.,Hamburg,Yes,0.66594,53,53,0.53774,0.79414
1985,46-65 y.,Lower Saxony,Yes,0.80271,256,327,0.75951,0.84591
1985,46-65 y.,Lower Saxony,No,0.19729,71,327,0.15409,0.24049
1985,46-65 y.,North Rhine-Westphalia,Yes,0.73920,621,860,0.70984,0.76857
1985,46-65 y.,North Rhine-Westphalia,No,0.26080,239,860,0.23143,0.29016
1985,46-65 y.,Hesse,Yes,0.76143,282,369,0.71789,0.80498
1985,46-65 y.,Hesse,No,0.23857,87,369,0.19502,0.28211
1985,46-65 y.,"Rhineland-Palatinate, Saarland",Yes,0.72558,190,265,0.67175,0.77941
1985,46-65 y.,"Rhineland-Palatinate, Saarland",No,0.27442,75,265,0.22059,0.32825
1985,46-65 y.,Baden-Wuerttemberg,Yes,0.74692,445,602,0.71216,0.78168
1985,46-65 y.,Baden-Wuerttemberg,No,0.25308,157,602,0.21832,0.28784
1985,46-65 y.,Bavaria,Yes,0.78534,438,561,0.75133,0.81935
1985,46-65 y.,Bavaria,No,0.21466,123,561,0.18065,0.24867
1985,46-65 y.,Berlin,Yes,0.69580,79,112,0.61021,0.78138
1985,46-65 y.,Berlin,No,0.30420,33,112,0.21862,0.38979
1985,66 and older,Schleswig-Holstein,Yes,0.84431,34,34,0.72060,0.96801
1985,66 and older,Hamburg,Yes,0.83800,37,37,0.71763,0.95836
1985,66 and older,Lower Saxony,Yes,0.85821,109,109,0.79241,0.92400
1985,66 and older,Bremen,Yes,0.94004,31,31,0.85509,1.02500
1985,66 and older,North Rhine-Westphalia,Yes,0.84398,208,247,0.79863,0.88933
1985,66 and older,North Rhine-Westphalia,No,0.15602,39,247,0.11067,0.20137
1985,66 and older,Hesse,Yes,0.90049,84,84,0.83609,0.96489
1985,66 and older,"Rhineland-Palatinate, Saarland",Yes,0.86725,85,85,0.79469,0.93981
1985,66 and older,Baden-Wuerttemberg,Yes,0.82606,148,181,0.77068,0.88143
1985,66 and older,Baden-Wuerttemberg,No,0.17394,33,181,0.11857,0.22932
1985,66 and older,Bavaria,Yes,0.89020,183,183,0.84478,0.93563
1986,17-29 y.,Schleswig-Holstein,Yes,0.73086,56,56,0.61365,0.84808
1986,17-29 y.,Hamburg,Yes,0.78303,41,41,0.65529,0.91077
1986,17-29 y.,Lower Saxony,Yes,0.69793,216,326,0.64801,0.74785
1986,17-29 y.,Lower Saxony,No,0.30207,110,326,0.25215,0.35199
1986,17-29 y.,North Rhine-Westphalia,Yes,0.66668,523,830,0.63459,0.69877
1986,17-29 y.,North Rhine-Westphalia,No,0.33332,307,830,0.30123,0.36541
1986,17-29 y.,Hesse,Yes,0.68479,195,310,0.63299,0.73660
1986,17-29 y.,Hesse,No,0.31521,115,310,0.26340,0.36701
1986,17-29 y.,"Rhineland-Palatinate, Saarland",Yes,0.65237,149,233,0.59109,0.71365
1986,17-29 y.,"Rhineland-Palatinate, Saarland",No,0.34763,84,233,0.28635,0.40891
1986,17-29 y.,Baden-Wuerttemberg,Yes,0.63423,381,615,0.59614,0.67233
1986,17-29 y.,Baden-Wuerttemberg,No,0.36577,234,615,0.32767,0.40386
1986,17-29 y.,Bavaria,Yes,0.73074,342,489,0.69139,0.77010
1986,17-29 y.,Bavaria,No,0.26926,147,489,0.22990,0.30861
1986,17-29 y.,Berlin,Yes,0.65801,57,90,0.55945,0.75656
1986,17-29 y.,Berlin,No,0.34199,33,90,0.24344,0.44055
1986,30-45 y.,Schleswig-Holstein,Yes,0.71493,80,116,0.63242,0.79744
1986,30-45 y.,Schleswig-Holstein,No,0.28507,36,116,0.20256,0.36758
1986,30-45 y.,Hamburg,Yes,0.65689,63,63,0.53871,0.77506
1986,30-45 y.,Lower Saxony,Yes,0.65199,204,323,0.59996,0.70401
1986,30-45 y.,Lower Saxony,No,0.34801,119,323,0.29599,0.40004
1986,30-45 y.,North Rhine-Westphalia,Yes,0.65641,608,935,0.62595,0.68687
1986,30-45 y.,North Rhine-Westphalia,No,0.34359,327,935,0.31313,0.37405
1986,30-45 y.,Hesse,Yes,0.70142,218,321,0.65128,0.75157
1986,30-45 y.,Hesse,No,0.29858,103,321,0.24843,0.34872
1986,30-45 y.,"Rhineland-Palatinate, Saarland",Yes,0.61755,113,179,0.54616,0.68895
1986,30-45 y.,"Rhineland-Palatinate, Saarland",No,0.38245,66,179,0.31105,0.45384
1986,30-45 y.,Baden-Wuerttemberg,Yes,0.62053,378,603,0.58177,0.65930
1986,30-45 y.,Baden-Wuerttemberg,No,0.37947,225,603,0.34070,0.41823
1986,30-45 y.,Bavaria,Yes,0.70866,403,569,0.67129,0.74602
1986,30-45 y.,Bavaria,No,0.29134,166,569,0.25398,0.32871
1986,30-45 y.,Berlin,Yes,0.66541,76,107,0.57559,0.75524
1986,30-45 y.,Berlin,No,0.33459,31,107,0.24476,0.42441
1986,46-65 y.,Schleswig-Holstein,Yes,0.83090,76,76,0.74607,0.91574
1986,46-65 y.,Hamburg,Yes,0.72565,51,51,0.60198,0.84933
1986,46-65 y.,Lower Saxony,Yes,0.77933,262,338,0.73506,0.82361
1986,46-65 y.,Lower Saxony,No,0.22067,76,338,0.17639,0.26494
1986,46-65 y.,North Rhine-Westphalia,Yes,0.75711,624,857,0.72838,0.78584
1986,46-65 y.,North Rhine-Westphalia,No,0.24289,233,857,0.21416,0.27162
1986,46-65 y.,Hesse,Yes,0.80696,260,327,0.76411,0.84980
1986,46-65 y.,Hesse,No,0.19304,67,327,0.15020,0.23589
1986,46-65 y.,"Rhineland-Palatinate, Saarland",Yes,0.71447,187,261,0.65956,0.76937
1986,46-65 y.,"Rhineland-Palatinate, Saarland",No,0.28553,74,261,0.23063,0.34044
1986,46-65 y.,Baden-Wuerttemberg,Yes,0.72002,452,610,0.68436,0.75568
1986,46-65 y.,Baden-Wuerttemberg,No,0.27998,158,610,0.24432,0.31564
1986,46-65 y.,Bavaria,Yes,0.79788,417,528,0.76359,0.83216
1986,46-65 y.,Bavaria,No,0.20212,111,528,0.16784,0.23641
1986,46-65 y.,Berlin,Yes,0.76840,91,91,0.68124,0.85555
1986,66 and older,Hamburg,Yes,0.89049,36,36,0.78704,0.99395
1986,66 and older,Lower Saxony,Yes,0.88800,108,108,0.82824,0.94775
1986,66 and older,North Rhine-Westphalia,Yes,0.83504,194,235,0.78749,0.88260
1986,66 and older,North Rhine-Westphalia,No,0.16496,41,235,0.11740,0.21251
1986,66 and older,Hesse,Yes,0.88836,81,81,0.81934,0.95737
1986,66 and older,"Rhineland-Palatinate, Saarland",Yes,0.86959,83,83,0.79669,0.94248
1986,66 and older,Baden-Wuerttemberg,Yes,0.83316,133,133,0.76955,0.89676
1986,66 and older,Bavaria,Yes,0.88760,165,165,0.83926,0.93594
1986,66 and older,Berlin,Yes,0.91601,33,33,0.81990,1.01211
1987,17-29 y.,Schleswig-Holstein,Yes,0.78113,63,63,0.67820,0.88405
1987,17-29 y.,Lower Saxony,Yes,0.72676,223,326,0.67832,0.77521
1987,17-29 y.,Lower Saxony,No,0.27324,103,326,0.22479,0.32168
1987,17-29 y.,North Rhine-Westphalia,Yes,0.65516,497,815,0.62250,0.68781
1987,17-29 y.,North Rhine-Westphalia,No,0.34484,318,815,0.31219,0.37750
1987,17-29 y.,Hesse,Yes,0.63326,192,310,0.57953,0.68699
1987,17-29 y.,Hesse,No,0.36674,118,310,0.31301,0.42047
