year,bula_h,chronill,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,Schleswig-Holstein,Yes,0.59449,392,648,0.55666,0.63233
2011,Schleswig-Holstein,No,0.40551,256,648,0.36767,0.44334
2011,Hamburg,Yes,0.55670,180,307,0.50103,0.61236
2011,Hamburg,No,0.44330,127,307,0.38764,0.49897
2011,Lower Saxony,Yes,0.62726,1165,1887,0.60543,0.64908
2011,Lower Saxony,No,0.37274,722,1887,0.35092,0.39457
2011,Bremen,Yes,0.63370,71,124,0.54855,0.71884
2011,Bremen,No,0.36630,53,124,0.28116,0.45145
2011,North Rhine-Westphalia,Yes,0.61646,2396,4079,0.60153,0.63138
2011,North Rhine-Westphalia,No,0.38354,1683,4079,0.36862,0.39847
2011,Hesse,Yes,0.62974,852,1395,0.60440,0.65509
2011,Hesse,No,0.37026,543,1395,0.34491,0.39560
2011,"Rhineland-Palatinate, Saarland",Yes,0.62437,732,1190,0.59684,0.65190
2011,"Rhineland-Palatinate, Saarland",No,0.37563,458,1190,0.34810,0.40316
2011,Baden-Wuerttemberg,Yes,0.58611,1386,2458,0.56663,0.60558
2011,Baden-Wuerttemberg,No,0.41389,1072,2458,0.39442,0.43337
2011,Bavaria,Yes,0.62109,1944,3137,0.60411,0.63807
2011,Bavaria,No,0.37891,1193,3137,0.36193,0.39589
2011,Berlin,Yes,0.64781,472,770,0.61405,0.68157
2011,Berlin,No,0.35219,298,770,0.31843,0.38595
2011,Brandenburg,Yes,0.65707,570,876,0.62562,0.68853
2011,Brandenburg,No,0.34293,306,876,0.31147,0.37438
2011,Mecklenburg-Western Pomerania,Yes,0.65465,311,509,0.61330,0.69600
2011,Mecklenburg-Western Pomerania,No,0.34535,198,509,0.30400,0.38670
2011,Saxony,Yes,0.64679,871,1385,0.62161,0.67197
2011,Saxony,No,0.35321,514,1385,0.32803,0.37839
2011,Saxony-Anhalt,Yes,0.65219,551,858,0.62030,0.68407
2011,Saxony-Anhalt,No,0.34781,307,858,0.31593,0.37970
2011,Thuringa,Yes,0.62669,543,875,0.59462,0.65875
2011,Thuringa,No,0.37331,332,875,0.34125,0.40538
2013,Schleswig-Holstein,Yes,0.64629,384,592,0.60774,0.68483
2013,Schleswig-Holstein,No,0.35371,208,592,0.31517,0.39226
2013,Hamburg,Yes,0.65406,188,307,0.60076,0.70736
2013,Hamburg,No,0.34594,119,307,0.29264,0.39924
2013,Lower Saxony,Yes,0.67445,1163,1768,0.65260,0.69630
2013,Lower Saxony,No,0.32555,605,1768,0.30370,0.34740
2013,Bremen,Yes,0.56466,63,118,0.47482,0.65450
2013,Bremen,No,0.43534,55,118,0.34550,0.52518
2013,North Rhine-Westphalia,Yes,0.66514,2329,3687,0.64990,0.68038
2013,North Rhine-Westphalia,No,0.33486,1358,3687,0.31962,0.35010
2013,Hesse,Yes,0.68305,845,1279,0.65754,0.70856
2013,Hesse,No,0.31695,434,1279,0.29144,0.34246
2013,"Rhineland-Palatinate, Saarland",Yes,0.66326,718,1091,0.63521,0.69132
2013,"Rhineland-Palatinate, Saarland",No,0.33674,373,1091,0.30868,0.36479
2013,Baden-Wuerttemberg,Yes,0.61892,1258,2103,0.59816,0.63969
2013,Baden-Wuerttemberg,No,0.38108,845,2103,0.36031,0.40184
2013,Bavaria,Yes,0.66223,1850,2893,0.64499,0.67947
2013,Bavaria,No,0.33777,1043,2893,0.32053,0.35501
2013,Berlin,Yes,0.67250,501,759,0.63909,0.70591
2013,Berlin,No,0.32750,258,759,0.29409,0.36091
2013,Brandenburg,Yes,0.63631,513,779,0.60250,0.67011
2013,Brandenburg,No,0.36369,266,779,0.32989,0.39750
2013,Mecklenburg-Western Pomerania,Yes,0.69711,300,452,0.65471,0.73952
2013,Mecklenburg-Western Pomerania,No,0.30289,152,452,0.26048,0.34529
2013,Saxony,Yes,0.64943,879,1324,0.62372,0.67514
2013,Saxony,No,0.35057,445,1324,0.32486,0.37628
2013,Saxony-Anhalt,Yes,0.69271,525,754,0.65976,0.72566
2013,Saxony-Anhalt,No,0.30729,229,754,0.27434,0.34024
2013,Thuringa,Yes,0.62255,504,795,0.58884,0.65627
2013,Thuringa,No,0.37745,291,795,0.34373,0.41116
2015,Schleswig-Holstein,Yes,0.65461,550,870,0.62300,0.68623
2015,Schleswig-Holstein,No,0.34539,320,870,0.31377,0.37700
2015,Hamburg,Yes,0.61506,226,424,0.56869,0.66143
2015,Hamburg,No,0.38494,198,424,0.33857,0.43131
2015,Lower Saxony,Yes,0.63849,1414,2403,0.61928,0.65771
2015,Lower Saxony,No,0.36151,989,2403,0.34229,0.38072
2015,Bremen,Yes,0.64711,101,171,0.57528,0.71895
2015,Bremen,No,0.35289,70,171,0.28105,0.42472
2015,North Rhine-Westphalia,Yes,0.62901,2971,5120,0.61578,0.64225
2015,North Rhine-Westphalia,No,0.37099,2149,5120,0.35775,0.38422
2015,Hesse,Yes,0.60436,981,1688,0.58103,0.62770
2015,Hesse,No,0.39564,707,1688,0.37230,0.41897
2015,"Rhineland-Palatinate, Saarland",Yes,0.62144,856,1481,0.59673,0.64615
2015,"Rhineland-Palatinate, Saarland",No,0.37856,625,1481,0.35385,0.40327
2015,Baden-Wuerttemberg,Yes,0.58384,1610,2949,0.56605,0.60164
2015,Baden-Wuerttemberg,No,0.41616,1339,2949,0.39836,0.43395
2015,Bavaria,Yes,0.62276,2259,3993,0.60773,0.63780
2015,Bavaria,No,0.37724,1734,3993,0.36220,0.39227
2015,Berlin,Yes,0.67153,567,900,0.64082,0.70223
2015,Berlin,No,0.32847,333,900,0.29777,0.35918
2015,Brandenburg,Yes,0.64510,629,979,0.61511,0.67508
2015,Brandenburg,No,0.35490,350,979,0.32492,0.38489
2015,Mecklenburg-Western Pomerania,Yes,0.64156,345,553,0.60156,0.68157
2015,Mecklenburg-Western Pomerania,No,0.35844,208,553,0.31843,0.39844
2015,Saxony,Yes,0.63872,944,1481,0.61425,0.66320
2015,Saxony,No,0.36128,537,1481,0.33680,0.38575
2015,Saxony-Anhalt,Yes,0.71699,595,880,0.68721,0.74677
2015,Saxony-Anhalt,No,0.28301,285,880,0.25323,0.31279
2015,Thuringa,Yes,0.63273,574,914,0.60146,0.66400
2015,Thuringa,No,0.36727,340,914,0.33600,0.39854
2017,Schleswig-Holstein,Yes,0.65244,566,944,0.62205,0.68284
2017,Schleswig-Holstein,No,0.34756,378,944,0.31716,0.37795
2017,Hamburg,Yes,0.62785,275,463,0.58377,0.67193
2017,Hamburg,No,0.37215,188,463,0.32807,0.41623
2017,Lower Saxony,Yes,0.65535,1593,2662,0.63729,0.67341
2017,Lower Saxony,No,0.34465,1069,2662,0.32659,0.36271
2017,Bremen,Yes,0.71233,133,219,0.65223,0.77242
2017,Bremen,No,0.28767,86,219,0.22758,0.34777
2017,North Rhine-Westphalia,Yes,0.63040,3282,5489,0.61763,0.64317
2017,North Rhine-Westphalia,No,0.36960,2207,5489,0.35683,0.38237
2017,Hesse,Yes,0.62749,1067,1775,0.60499,0.64999
2017,Hesse,No,0.37251,708,1775,0.35001,0.39501
2017,"Rhineland-Palatinate, Saarland",Yes,0.65123,869,1511,0.62719,0.67527
2017,"Rhineland-Palatinate, Saarland",No,0.34877,642,1511,0.32473,0.37281
2017,Baden-Wuerttemberg,Yes,0.58482,1665,3005,0.56720,0.60245
