"year","sampreg","mean","median","n","lower_confidence","upper_confidence"
"1984","Ostdeutschland, neue Bundeslaender","","","","",""
"1984","Westdeutschland, alte Bundeslaender","91.46","60","5311","88.72","94.2"
"1985","Ostdeutschland, neue Bundeslaender","","","","",""
"1985","Westdeutschland, alte Bundeslaender","55.65","37.5","5459","53.9","57.4"
"1986","Ostdeutschland, neue Bundeslaender","","","","",""
"1986","Westdeutschland, alte Bundeslaender","56.72","40.5","5337","54.84","58.6"
"1987","Ostdeutschland, neue Bundeslaender","","","","",""
"1987","Westdeutschland, alte Bundeslaender","56.41","40.5","5276","54.31","58.51"
"1988","Ostdeutschland, neue Bundeslaender","","","","",""
"1988","Westdeutschland, alte Bundeslaender","59.93","40.5","5029","56.74","63.12"
"1989","Ostdeutschland, neue Bundeslaender","","","","",""
"1989","Westdeutschland, alte Bundeslaender","60.51","40.5","4907","57.86","63.16"
"1990","Ostdeutschland, neue Bundeslaender","13.21","7.5","1902","12.53","13.89"
"1990","Westdeutschland, alte Bundeslaender","64.61","42.5","4899","60.33","68.89"
"1991","Ostdeutschland, neue Bundeslaender","31.63","19.5","1801","29.92","33.34"
"1991","Westdeutschland, alte Bundeslaender","62.14","50.5","4844","60.79","63.49"
"1992","Ostdeutschland, neue Bundeslaender","47.47","30","1647","45.31","49.63"
"1992","Westdeutschland, alte Bundeslaender","67.37","50.5","4805","65.99","68.75"
"1993","Ostdeutschland, neue Bundeslaender","47.71","35.5","1628","45.76","49.66"
"1993","Westdeutschland, alte Bundeslaender","73.22","55.5","4836","71.6","74.84"
"1994","Ostdeutschland, neue Bundeslaender","57.82","48","1679","55.56","60.08"
"1994","Westdeutschland, alte Bundeslaender","78.94","60.5","4809","77.21","80.67"
"1995","Ostdeutschland, neue Bundeslaender","75.61","50","1654","72.08","79.14"
"1995","Westdeutschland, alte Bundeslaender","83.07","65.5","4953","81.45","84.69"
"1996","Ostdeutschland, neue Bundeslaender","72.16","55","1725","69.56","74.76"
"1996","Westdeutschland, alte Bundeslaender","86.28","71.5","4857","84.61","87.95"
"1997","Ostdeutschland, neue Bundeslaender","82.37","71","1720","79.39","85.35"
"1997","Westdeutschland, alte Bundeslaender","85.61","65.5","5048","83.81","87.41"
"1998","Ostdeutschland, neue Bundeslaender","79.86","65","1858","77.49","82.23"
"1998","Westdeutschland, alte Bundeslaender","88.44","76","5830","86.9","89.98"
"1999","Ostdeutschland, neue Bundeslaender","76.33","60","1890","73.85","78.81"
"1999","Westdeutschland, alte Bundeslaender","80.62","63.5","5787","79.23","82.01"
"2000","Ostdeutschland, neue Bundeslaender","52.86","42.38","3112","51.62","54.1"
"2000","Westdeutschland, alte Bundeslaender","53.83","42.5","11516","53.19","54.47"
"2001","Ostdeutschland, neue Bundeslaender","57.67","51","2978","56.29","59.05"
"2001","Westdeutschland, alte Bundeslaender","56.22","46.79","10371","55.52","56.92"
"2002","Ostdeutschland, neue Bundeslaender","59.48","49.62","2930","57.97","60.99"
"2002","Westdeutschland, alte Bundeslaender","59.33","49.88","11639","58.56","60.1"
"2003","Ostdeutschland, neue Bundeslaender","60.15","49.58","2904","58.64","61.66"
"2003","Westdeutschland, alte Bundeslaender","61.48","49.83","10960","60.63","62.33"
"2004","Ostdeutschland, neue Bundeslaender","63.32","49.58","2856","61.55","65.09"
"2004","Westdeutschland, alte Bundeslaender","65.07","54.08","10839","64.2","65.94"
"2005","Ostdeutschland, neue Bundeslaender","65.04","54.08","2842","63.02","67.06"
"2005","Westdeutschland, alte Bundeslaender","66.62","54.08","10403","65.71","67.53"
"2006","Ostdeutschland, neue Bundeslaender","63.07","49.58","3000","61.48","64.66"
"2006","Westdeutschland, alte Bundeslaender","67.45","54.08","11267","66.55","68.35"
"2007","Ostdeutschland, neue Bundeslaender","66","54.12","2797","64.35","67.65"
"2007","Westdeutschland, alte Bundeslaender","66.42","55.42","10445","65.5","67.34"
"2008","Ostdeutschland, neue Bundeslaender","68.72","58.25","2672","66.97","70.47"
"2008","Westdeutschland, alte Bundeslaender","66.58","54.25","9812","65.68","67.48"
"2009","Ostdeutschland, neue Bundeslaender","63.04","53.12","2624","61.33","64.75"
"2009","Westdeutschland, alte Bundeslaender","67.3","54.5","9072","66.3","68.3"
"2010","Ostdeutschland, neue Bundeslaender","56.71","49.71","3206","55.39","58.03"
"2010","Westdeutschland, alte Bundeslaender","60.57","51.21","13028","59.89","61.25"
"2011","Ostdeutschland, neue Bundeslaender","55.93","49.58","3728","54.77","57.09"
"2011","Westdeutschland, alte Bundeslaender","59.84","49.83","16929","59.23","60.45"
"2012","Ostdeutschland, neue Bundeslaender","55.94","49.83","3536","54.8","57.08"
"2012","Westdeutschland, alte Bundeslaender","63.23","53.25","16573","62.61","63.85"
"2013","Ostdeutschland, neue Bundeslaender","55.07","49.92","3412","53.77","56.37"
"2013","Westdeutschland, alte Bundeslaender","62.38","51.62","16896","61.78","62.98"
"2014","Ostdeutschland, neue Bundeslaender","50.88","49.58","3473","49.65","52.11"
"2014","Westdeutschland, alte Bundeslaender","56.62","49.96","17719","55.99","57.25"
"2015","Ostdeutschland, neue Bundeslaender","3","3","1006","3","3"
"2015","Westdeutschland, alte Bundeslaender","3","3","5581","3","3"
"2016","Ostdeutschland, neue Bundeslaender","50.18","43.12","3301","48.69","51.67"
"2016","Westdeutschland, alte Bundeslaender","49.3","41.62","16421","48.65","49.95"
"2017","Ostdeutschland, neue Bundeslaender","51.95","47.79","3639","50.58","53.32"
"2017","Westdeutschland, alte Bundeslaender","52.75","41.58","17580","52.07","53.43"
"2018","Ostdeutschland, neue Bundeslaender","51.76","49.92","3511","50.43","53.09"
"2018","Westdeutschland, alte Bundeslaender","53.27","44.08","16659","52.58","53.96"
"2019","Ostdeutschland, neue Bundeslaender","54.38","49.83","4117","52.8","55.96"
"2019","Westdeutschland, alte Bundeslaender","55.69","45.75","17528","54.9","56.48"
"2020","Ostdeutschland, neue Bundeslaender","57.24","49.92","4491","55.45","59.03"
"2020","Westdeutschland, alte Bundeslaender","56.32","47.29","19206","55.56","57.08"
