year,bula_h,regtyp,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1985,Schleswig-Holstein,Urban regions,161,6.342723380632102,6.153582648115623,6.531864113148582,5.0,7.0,8.0,0.5,10.0,7.0,7.0,9.0
1985,Schleswig-Holstein,Rural regions,179,6.459729836272523,6.271290095153905,6.6481695773911405,5.0,7.0,8.0,0.5,10.0,7.0,6.0,8.0
1985,Hamburg,Urban regions,264,6.436419476724441,6.280728661190097,6.592110292258785,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0
1985,Hamburg,Rural regions,,,,,,,,,,,,
1985,Lower Saxony,Urban regions,489,6.471539305603881,6.369889275384977,6.573189335822785,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0
1985,Lower Saxony,Rural regions,564,6.2802648000108965,6.178323108078489,6.382206491943304,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0
1985,Bremen,Urban regions,114,5.645505483552925,5.345663934400321,5.945347032705529,3.0,6.0,8.0,0.0,10.0,6.0,5.0,7.0
1985,North Rhine-Westphalia,Urban regions,2781,6.502297888364656,6.45768990225467,6.546905874474642,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1985,North Rhine-Westphalia,Rural regions,70,6.052375210956586,5.714719395455908,6.390031026457264,4.0,6.536444791332483,8.0,0.0,10.0,6.0,5.0,7.0
1985,Hesse,Urban regions,938,6.6541338559335195,6.5780297564303964,6.7302379554366425,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1985,Hesse,Rural regions,147,5.9684925176890875,5.7565279784839225,6.1804570568942525,5.0,6.0,8.0,0.5,10.0,6.0,5.0,7.0
1985,"Rhineland-Palatinate, Saarland",Urban regions,608,6.8152194091450795,6.722903559039805,6.907535259250354,5.0,7.0,9.0,0.0,10.0,7.0,7.0,7.0
1985,"Rhineland-Palatinate, Saarland",Rural regions,135,6.568787337790623,6.3936739773515345,6.743900698229712,5.0,7.0,8.0,2.0,10.0,7.0,7.0,8.0
1985,Baden-Wuerttemberg,Urban regions,1677,6.460600726599682,6.406733548381746,6.514467904817618,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1985,Baden-Wuerttemberg,Rural regions,284,6.786024720375888,6.64822061814864,6.923828822603136,5.0,7.0,8.0,0.5,10.0,7.0,6.0,7.0
1985,Bavaria,Urban regions,942,6.515495991527269,6.4410766116530365,6.589915371401501,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1985,Bavaria,Rural regions,875,6.430679821905015,6.354290601937801,6.507069041872229,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0
