syear,sampreg,sex,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1984,West,male,6.3935121423141705,6.361460435161224,6.4255638494671174,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,5850.0
1984,West,female,6.545501400922861,6.513628821418683,6.577373980427039,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,6112.0
1985,West,male,6.447740486327026,6.416066371233965,6.479414601420087,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,5308.0
1985,West,female,6.532749445684671,6.500746081924754,6.564752809444589,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,5500.0
1986,West,male,6.543575946459832,6.513389273016826,6.573762619902838,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,5169.0
1986,West,female,6.577832865395642,6.546663547867416,6.609002182923868,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,5277.0
1987,West,male,6.542486652014787,6.512393667519608,6.572579636509967,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,5112.0
1987,West,female,6.592106731145614,6.561705321732292,6.622508140558935,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,5226.0
1988,West,male,6.529669890948164,6.4988806906953585,6.56045909120097,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,4878.0
1988,West,female,6.600142788123088,6.5691299745754845,6.631155601670691,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,4976.0
1989,West,male,6.618131671423818,6.587802817839694,6.648460525007942,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,4712.0
1989,West,female,6.6048121048387225,6.573806741344127,6.635817468333318,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,4841.0
1990,West,male,6.681656069708174,6.651988344110065,6.711323795306282,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,4622.0
1990,West,female,6.707006674737383,6.676345710613283,6.737667638861483,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,4748.0
1990,East,male,5.580683814716481,5.530004298338839,5.631363331094122,4.0,6.0,7.0,0.0,10.0,6.0,6.0,7.0,2080.0
