"hlf0071_h","year","hhtyp","quintil","n","percent","lower_confidence_percent","upper_confidence_percent"
"Viel zu klein","1995","1-Pers.- Haushalt","1 Einkommensschwächstes Quintil","","","",""
"Viel zu klein","1995","1-Pers.- Haushalt","2","6","0.00878513697921953","-0.000192917040772738","0.0177631909992118"
"Viel zu klein","1995","1-Pers.- Haushalt","3","1","","",""
"Viel zu klein","1995","1-Pers.- Haushalt","4","3","","",""
"Viel zu klein","1995","1-Pers.- Haushalt","5 Einkommensstärkstes Quintil","","","",""
"Viel zu klein","1995","(Ehe-)Paar ohne Kind(er)","1 Einkommensschwächstes Quintil","","","",""
"Viel zu klein","1995","(Ehe-)Paar ohne Kind(er)","2","18","","",""
"Viel zu klein","1995","(Ehe-)Paar ohne Kind(er)","3","16","","",""
"Viel zu klein","1995","(Ehe-)Paar ohne Kind(er)","4","12","","",""
"Viel zu klein","1995","(Ehe-)Paar ohne Kind(er)","5 Einkommensstärkstes Quintil","","","",""
"Viel zu klein","1995","Alleinerziehende","1 Einkommensschwächstes Quintil","","","",""
"Viel zu klein","1995","Alleinerziehende","2","7","0.0222648601953691","0.00196838275845927","0.0425613376322789"
"Viel zu klein","1995","Alleinerziehende","3","","","",""
"Viel zu klein","1995","Alleinerziehende","4","2","","",""
"Viel zu klein","1995","Alleinerziehende","5 Einkommensstärkstes Quintil","","","",""
"Viel zu klein","1995","Paar mit Kind(ern)","1 Einkommensschwächstes Quintil","","","",""
"Viel zu klein","1995","Paar mit Kind(ern)","2","138","","",""
"Viel zu klein","1995","Paar mit Kind(ern)","3","70","0.0430159445275047","0.0330960458714875","0.0529358431835219"
"Viel zu klein","1995","Paar mit Kind(ern)","4","24","","",""
"Viel zu klein","1995","Paar mit Kind(ern)","5 Einkommensstärkstes Quintil","","","",""
"Viel zu klein","1995","Sonstige","1 Einkommensschwächstes Quintil","","","",""
"Viel zu klein","1995","Sonstige","2","10","","",""
"Viel zu klein","1995","Sonstige","3","","","",""
"Viel zu klein","1995","Sonstige","4","","","",""
"Viel zu klein","1995","Sonstige","5 Einkommensstärkstes Quintil","","","",""
"Etwas zu klein","1995","1-Pers.- Haushalt","1 Einkommensschwächstes Quintil","","","",""
"Etwas zu klein","1995","1-Pers.- Haushalt","2","63","0.137141100385831","0.104044929599854","0.170237271171808"
"Etwas zu klein","1995","1-Pers.- Haushalt","3","24","","",""
"Etwas zu klein","1995","1-Pers.- Haushalt","4","15","","",""
"Etwas zu klein","1995","1-Pers.- Haushalt","5 Einkommensstärkstes Quintil","","","",""
"Etwas zu klein","1995","(Ehe-)Paar ohne Kind(er)","1 Einkommensschwächstes Quintil","","","",""
"Etwas zu klein","1995","(Ehe-)Paar ohne Kind(er)","2","92","0.101340371823548","0.0812874653972851","0.12139327824981"
"Etwas zu klein","1995","(Ehe-)Paar ohne Kind(er)","3","102","","",""
"Etwas zu klein","1995","(Ehe-)Paar ohne Kind(er)","4","96","0.113169529772268","0.0895658288745177","0.136773230670019"
"Etwas zu klein","1995","(Ehe-)Paar ohne Kind(er)","5 Einkommensstärkstes Quintil","","","",""
"Etwas zu klein","1995","Alleinerziehende","1 Einkommensschwächstes Quintil","","","",""
"Etwas zu klein","1995","Alleinerziehende","2","46","0.188257128273724","0.134481557506447","0.242032699041001"
"Etwas zu klein","1995","Alleinerziehende","3","14","","",""
"Etwas zu klein","1995","Alleinerziehende","4","4","0.0699050834766816","0.0042826835989441","0.135527483354419"
"Etwas zu klein","1995","Alleinerziehende","5 Einkommensstärkstes Quintil","","","",""
"Etwas zu klein","1995","Paar mit Kind(ern)","1 Einkommensschwächstes Quintil","","","",""
"Etwas zu klein","1995","Paar mit Kind(ern)","2","704","0.227437344659261","0.212607131596258","0.242267557722264"
"Etwas zu klein","1995","Paar mit Kind(ern)","3","356","0.213151019181886","0.193128000492198","0.233174037871573"
"Etwas zu klein","1995","Paar mit Kind(ern)","4","109","","",""
"Etwas zu klein","1995","Paar mit Kind(ern)","5 Einkommensstärkstes Quintil","","","",""
"Etwas zu klein","1995","Sonstige","1 Einkommensschwächstes Quintil","","","",""
"Etwas zu klein","1995","Sonstige","2","88","0.27766715562244","0.229565844834539","0.325768466410341"
"Etwas zu klein","1995","Sonstige","3","31","0.182908284043742","0.131823819913632","0.233992748173852"
"Etwas zu klein","1995","Sonstige","4","28","","",""
"Etwas zu klein","1995","Sonstige","5 Einkommensstärkstes Quintil","","","",""
"Gerade richtig","1995","1-Pers.- Haushalt","1 Einkommensschwächstes Quintil","","","",""
"Gerade richtig","1995","1-Pers.- Haushalt","2","301","0.746556326949722","0.704706269369689","0.788406384529754"
"Gerade richtig","1995","1-Pers.- Haushalt","3","172","","",""
"Gerade richtig","1995","1-Pers.- Haushalt","4","107","","",""
"Gerade richtig","1995","1-Pers.- Haushalt","5 Einkommensstärkstes Quintil","","","",""
"Gerade richtig","1995","(Ehe-)Paar ohne Kind(er)","1 Einkommensschwächstes Quintil","","","",""
"Gerade richtig","1995","(Ehe-)Paar ohne Kind(er)","2","654","0.75409071494294","0.725476111935158","0.782705317950722"
"Gerade richtig","1995","(Ehe-)Paar ohne Kind(er)","3","630","0.792690250231241","0.764944096588285","0.820436403874198"
"Gerade richtig","1995","(Ehe-)Paar ohne Kind(er)","4","502","0.751370998473372","0.719167863612611","0.783574133334133"
"Gerade richtig","1995","(Ehe-)Paar ohne Kind(er)","5 Einkommensstärkstes Quintil","","","",""
"Gerade richtig","1995","Alleinerziehende","1 Einkommensschwächstes Quintil","","","",""
"Gerade richtig","1995","Alleinerziehende","2","130","","",""
"Gerade richtig","1995","Alleinerziehende","3","86","0.75085079604896","0.670748372818287","0.830953219279632"
"Gerade richtig","1995","Alleinerziehende","4","48","0.752935942907139","0.641937242655715","0.863934643158564"
"Gerade richtig","1995","Alleinerziehende","5 Einkommensstärkstes Quintil","","","",""
"Gerade richtig","1995","Paar mit Kind(ern)","1 Einkommensschwächstes Quintil","","","",""
"Gerade richtig","1995","Paar mit Kind(ern)","2","2099","","",""
"Gerade richtig","1995","Paar mit Kind(ern)","3","1060","","",""
"Gerade richtig","1995","Paar mit Kind(ern)","4","573","0.728241379238439","0.696941218243918","0.759541540232959"
"Gerade richtig","1995","Paar mit Kind(ern)","5 Einkommensstärkstes Quintil","","","",""
"Gerade richtig","1995","Sonstige","1 Einkommensschwächstes Quintil","","","",""
"Gerade richtig","1995","Sonstige","2","220","","",""
"Gerade richtig","1995","Sonstige","3","171","","",""
"Gerade richtig","1995","Sonstige","4","73","0.801406132827596","0.72546022015174","0.877352045503453"
"Gerade richtig","1995","Sonstige","5 Einkommensstärkstes Quintil","","","",""
"Etwas zu gross","1995","1-Pers.- Haushalt","1 Einkommensschwächstes Quintil","","","",""
"Etwas zu gross","1995","1-Pers.- Haushalt","2","40","0.0908873632771695","0.0632316641290824","0.118543062425257"
"Etwas zu gross","1995","1-Pers.- Haushalt","3","20","","",""
"Etwas zu gross","1995","1-Pers.- Haushalt","4","16","","",""
"Etwas zu gross","1995","1-Pers.- Haushalt","5 Einkommensstärkstes Quintil","","","",""
