"pli0082","year","migback","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Taeglich","1990","kein Migrationshintergrund","Westdeutschland","22","","",""
"Taeglich","1990","kein Migrationshintergrund","Ostdeutschland","","","",""
"Taeglich","1990","direkter Migrationshintergrund","Westdeutschland","12","","",""
"Taeglich","1990","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Taeglich","1990","indirekter Migrationshintergrund","Westdeutschland","1","","",""
"Taeglich","1990","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Taeglich","1990","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Taeglich","1990","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Min 1x pro Woche","1990","kein Migrationshintergrund","Westdeutschland","547","0.0859067628711793","0.0791528142156016","0.0926607115267569"
"Min 1x pro Woche","1990","kein Migrationshintergrund","Ostdeutschland","","","",""
"Min 1x pro Woche","1990","direkter Migrationshintergrund","Westdeutschland","147","","",""
"Min 1x pro Woche","1990","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Min 1x pro Woche","1990","indirekter Migrationshintergrund","Westdeutschland","19","","",""
"Min 1x pro Woche","1990","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Min 1x pro Woche","1990","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Min 1x pro Woche","1990","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Min 1x pro Monat","1990","kein Migrationshintergrund","Westdeutschland","2253","","",""
"Min 1x pro Monat","1990","kein Migrationshintergrund","Ostdeutschland","","","",""
"Min 1x pro Monat","1990","direkter Migrationshintergrund","Westdeutschland","586","0.281725342028369","0.2641165666531","0.299334117403639"
"Min 1x pro Monat","1990","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Min 1x pro Monat","1990","indirekter Migrationshintergrund","Westdeutschland","93","0.339990953946046","0.285750551166972","0.394231356725121"
"Min 1x pro Monat","1990","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Min 1x pro Monat","1990","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Min 1x pro Monat","1990","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Seltener","1990","kein Migrationshintergrund","Westdeutschland","3268","0.485258811510586","0.473213168024329","0.497304454996842"
"Seltener","1990","kein Migrationshintergrund","Ostdeutschland","","","",""
"Seltener","1990","direkter Migrationshintergrund","Westdeutschland","1180","","",""
"Seltener","1990","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Seltener","1990","indirekter Migrationshintergrund","Westdeutschland","145","","",""
"Seltener","1990","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Seltener","1990","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Seltener","1990","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Nie","1990","kein Migrationshintergrund","Westdeutschland","523","0.0904332472449055","0.0835208262418322","0.0973456682479789"
"Nie","1990","kein Migrationshintergrund","Ostdeutschland","","","",""
"Nie","1990","direkter Migrationshintergrund","Westdeutschland","582","0.174562571395918","0.159703606106612","0.189421536685223"
"Nie","1990","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Nie","1990","indirekter Migrationshintergrund","Westdeutschland","35","0.0985940260980494","0.0644590347163381","0.132729017479761"
"Nie","1990","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Nie","1990","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Nie","1990","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Taeglich","1991","kein Migrationshintergrund","Westdeutschland","","","",""
"Taeglich","1991","kein Migrationshintergrund","Ostdeutschland","","","",""
"Taeglich","1991","direkter Migrationshintergrund","Westdeutschland","","","",""
"Taeglich","1991","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Taeglich","1991","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Taeglich","1991","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Taeglich","1991","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Taeglich","1991","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Min 1x pro Woche","1991","kein Migrationshintergrund","Westdeutschland","","","",""
