"year","regtyp","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2004","Ländlicher Raum","5.42","5.5","7075","1","4","8","9","10","5.36","5.48","0","10","6","6"
"2004","Städtischer Raum","5.6","5.5","13733","2","4","8","9","10","5.56","5.64","0","10","6","6"
"2005","Ländlicher Raum","5.41","5.5","6765","1","3","8","9","10","5.35","5.47","0","10","6","6"
"2005","Städtischer Raum","5.59","5.5","13182","2","4","8","9","10","5.54","5.64","0","10","6","6"
"2006","Ländlicher Raum","5.44","5.5","7363","2","4","8","9","10","5.38","5.5","0","10","6","6"
"2006","Städtischer Raum","5.58","5.5","13931","2","4","8","9","10","5.54","5.62","0","10","6","6"
"2007","Ländlicher Raum","5.39","5.5","6926","2","3","8","8","10","5.33","5.45","0","10","6","6"
"2007","Städtischer Raum","5.57","5.5","12989","2","4","8","9","10","5.53","5.61","0","10","6","6"
"2008","Ländlicher Raum","5.46","5.5","6524","2","4","8","8","10","5.4","5.52","0","10","6","6"
"2008","Städtischer Raum","5.65","5.5","12249","2","4","8","9","10","5.6","5.7","0","10","6","6"
"2009","Ländlicher Raum","5.52","5.5","6224","2","4","8","9","10","5.46","5.58","0","10","6","6"
"2009","Städtischer Raum","5.69","5.5","11393","2","4","8","9","10","5.64","5.74","0","10","6","6"
"2010","Ländlicher Raum","5.64","5.5","8210","2","4","8","9","10","5.58","5.7","0","10","6","6"
"2010","Städtischer Raum","5.82","5.5","15197","2","4","8","9","10","5.78","5.86","0","10","6","6"
"2011","Ländlicher Raum","5.75","5.5","8981","2","4","8","9","10","5.7","5.8","0","10","6","6"
"2011","Städtischer Raum","6.03","6.5","15898","2","5","8","9","10","5.99","6.07","0","10","6","7"
"2012","Ländlicher Raum","5.9","5.5","9399","2","4","8","9","10","5.85","5.95","0","10","6","6"
"2012","Städtischer Raum","6.11","6.5","16126","2","5","8","9","10","6.07","6.15","0","10","7","7"
"2013","Ländlicher Raum","6","6.5","9087","2","4","8","9","10","5.95","6.05","0","10","6","7"
"2013","Städtischer Raum","6.25","6.5","15634","3","5","8","9","10","6.21","6.29","0","10","7","7"
"2014","Ländlicher Raum","6.05","6.5","9196","2","5","8","9","10","6","6.1","0","10","6","7"
"2014","Städtischer Raum","6.2","6.5","16917","2","5","8","9","10","6.16","6.24","0","10","7","7"
"2015","Ländlicher Raum","6.21","6.5","9051","3","5","8","9","10","6.16","6.26","0","10","7","7"
"2015","Städtischer Raum","6.34","6.5","16782","3","5","8","9","10","6.3","6.38","0","10","7","7"
"2016","Ländlicher Raum","6.34","6.5","8423","3","5","8","9","10","6.29","6.39","0","10","7","7"
"2016","Städtischer Raum","6.42","6.5","15424","3","5","8","9","10","6.38","6.46","0","10","7","7"
"2017","Ländlicher Raum","6.37","6.5","9844","3","5","8","9","10","6.32","6.42","0","10","7","7"
"2017","Städtischer Raum","6.45","6.5","18085","3","5","8","9","10","6.41","6.49","0","10","7","7"
"2018","Ländlicher Raum","6.28","6.5","9668","3","5","8","9","10","6.23","6.33","0","10","7","7"
"2018","Städtischer Raum","6.46","6.5","18449","3","5","8","9","10","6.42","6.5","0","10","7","7"
"2019","Ländlicher Raum","6.51","6.5","9534","3","5","8","9","10","6.46","6.56","0","10","7","7"
"2019","Städtischer Raum","6.66","6.5","18226","3","5","8","9","10","6.63","6.69","0","10","7","7"
"2020","Ländlicher Raum","6.53","6.5","9317","3","5","8","9","10","6.48","6.58","0","10","7","7"
"2020","Städtischer Raum","6.59","6.5","18903","3","5","8","9","10","6.56","6.62","0","10","7","7"
