"year","regtyp","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2004","Laendlicher Raum","5.42","5.5","7075","1","4","8","9","10","5.36","5.48","0","10","6","6"
"2004","Staedtischer Raum","","","","","","","","","","","","","",""
"2005","Laendlicher Raum","5.41","5.5","6765","1","3","8","9","10","5.35","5.47","0","10","6","6"
"2005","Staedtischer Raum","","","","","","","","","","","","","",""
"2006","Laendlicher Raum","5.44","5.5","7363","2","4","8","9","10","5.38","5.5","0","10","6","6"
"2006","Staedtischer Raum","","","","","","","","","","","","","",""
"2007","Laendlicher Raum","5.39","5.5","6926","2","3","8","8","10","5.33","5.45","0","10","6","6"
"2007","Staedtischer Raum","","","","","","","","","","","","","",""
"2008","Laendlicher Raum","5.46","5.5","6524","2","4","8","8","10","5.4","5.52","0","10","6","6"
"2008","Staedtischer Raum","","","","","","","","","","","","","",""
"2009","Laendlicher Raum","5.52","5.5","6224","2","4","8","9","10","5.46","5.58","0","10","6","6"
"2009","Staedtischer Raum","","","","","","","","","","","","","",""
"2010","Laendlicher Raum","5.64","5.5","8210","2","4","8","9","10","5.58","5.7","0","10","6","6"
"2010","Staedtischer Raum","","","","","","","","","","","","","",""
"2011","Laendlicher Raum","5.75","5.5","8981","2","4","8","9","10","5.7","5.8","0","10","6","6"
"2011","Staedtischer Raum","","","","","","","","","","","","","",""
"2012","Laendlicher Raum","5.9","5.5","9399","2","4","8","9","10","5.85","5.95","0","10","6","6"
"2012","Staedtischer Raum","","","","","","","","","","","","","",""
"2013","Laendlicher Raum","6","6.5","9087","2","4","8","9","10","5.95","6.05","0","10","6","7"
"2013","Staedtischer Raum","","","","","","","","","","","","","",""
"2014","Laendlicher Raum","6.05","6.5","9196","2","5","8","9","10","6","6.1","0","10","6","7"
"2014","Staedtischer Raum","","","","","","","","","","","","","",""
"2015","Laendlicher Raum","6.21","6.5","9051","3","5","8","9","10","6.16","6.26","0","10","7","7"
"2015","Staedtischer Raum","","","","","","","","","","","","","",""
"2016","Laendlicher Raum","6.34","6.5","8423","3","5","8","9","10","6.29","6.39","0","10","7","7"
"2016","Staedtischer Raum","","","","","","","","","","","","","",""
"2017","Laendlicher Raum","6.37","6.5","9844","3","5","8","9","10","6.32","6.42","0","10","7","7"
"2017","Staedtischer Raum","","","","","","","","","","","","","",""
"2018","Laendlicher Raum","6.28","6.5","9668","3","5","8","9","10","6.23","6.33","0","10","7","7"
"2018","Staedtischer Raum","","","","","","","","","","","","","",""
"2019","Laendlicher Raum","6.51","6.5","9534","3","5","8","9","10","6.46","6.56","0","10","7","7"
"2019","Staedtischer Raum","","","","","","","","","","","","","",""
"2020","Laendlicher Raum","6.53","6.5","9317","3","5","8","9","10","6.48","6.58","0","10","7","7"
"2020","Staedtischer Raum","","","","","","","","","","","","","",""
