"year","sampreg","mean","median","n","lower_confidence","upper_confidence"
"2004","Ostdeutschland, neue Bundeslaender","4.91","5","5159","4.84","4.98"
"2004","Westdeutschland, alte Bundeslaender","","","","",""
"2005","Ostdeutschland, neue Bundeslaender","5.05","5","4964","4.98","5.12"
"2005","Westdeutschland, alte Bundeslaender","","","","",""
"2006","Ostdeutschland, neue Bundeslaender","4.99","5","5230","4.92","5.06"
"2006","Westdeutschland, alte Bundeslaender","","","","",""
"2007","Ostdeutschland, neue Bundeslaender","5.01","5","4951","4.94","5.08"
"2007","Westdeutschland, alte Bundeslaender","","","","",""
"2008","Ostdeutschland, neue Bundeslaender","5.07","5","4721","5","5.14"
"2008","Westdeutschland, alte Bundeslaender","","","","",""
"2009","Ostdeutschland, neue Bundeslaender","5.21","5","4503","5.14","5.28"
"2009","Westdeutschland, alte Bundeslaender","","","","",""
"2010","Ostdeutschland, neue Bundeslaender","5.37","6","5420","5.3","5.44"
"2010","Westdeutschland, alte Bundeslaender","","","","",""
"2011","Ostdeutschland, neue Bundeslaender","5.46","6","5752","5.39","5.53"
"2011","Westdeutschland, alte Bundeslaender","","","","",""
"2012","Ostdeutschland, neue Bundeslaender","5.58","6","5898","5.51","5.65"
"2012","Westdeutschland, alte Bundeslaender","","","","",""
"2013","Ostdeutschland, neue Bundeslaender","5.71","6","5679","5.64","5.78"
"2013","Westdeutschland, alte Bundeslaender","","","","",""
"2014","Ostdeutschland, neue Bundeslaender","5.76","6","5530","5.69","5.83"
"2014","Westdeutschland, alte Bundeslaender","","","","",""
"2015","Ostdeutschland, neue Bundeslaender","5.95","6","5365","5.88","6.02"
"2015","Westdeutschland, alte Bundeslaender","","","","",""
"2016","Ostdeutschland, neue Bundeslaender","6.06","6","5075","5.99","6.13"
"2016","Westdeutschland, alte Bundeslaender","","","","",""
"2017","Ostdeutschland, neue Bundeslaender","6.07","7","6024","6.01","6.13"
"2017","Westdeutschland, alte Bundeslaender","","","","",""
"2018","Ostdeutschland, neue Bundeslaender","6.04","7","6005","5.98","6.1"
"2018","Westdeutschland, alte Bundeslaender","","","","",""
"2019","Ostdeutschland, neue Bundeslaender","6.28","7","6003","6.22","6.34"
"2019","Westdeutschland, alte Bundeslaender","","","","",""
