"ple0012","year","bildungsniveau","bula_h","n","percent","lower_confidence","upper_confidence"
"Ja","2009","(noch) kein Abschluss","Schleswig-Holstein","1","","",""
"Ja","2009","(noch) kein Abschluss","Hamburg","","","",""
"Ja","2009","(noch) kein Abschluss","Niedersachsen","1","","",""
"Ja","2009","(noch) kein Abschluss","Bremen","","","",""
"Ja","2009","(noch) kein Abschluss","Nordrhein-Westfalen","8","","",""
"Ja","2009","(noch) kein Abschluss","Hessen","1","","",""
"Ja","2009","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","","","",""
"Ja","2009","(noch) kein Abschluss","Baden-Wuerttemberg","3","","",""
"Ja","2009","(noch) kein Abschluss","Bayern","1","","",""
"Ja","2009","(noch) kein Abschluss","Saarland","","","",""
"Ja","2009","(noch) kein Abschluss","Berlin","","","",""
"Ja","2009","(noch) kein Abschluss","Brandenburg","","","",""
"Ja","2009","(noch) kein Abschluss","Mecklenburg-Vorpommern","1","","",""
"Ja","2009","(noch) kein Abschluss","Sachsen","","","",""
"Ja","2009","(noch) kein Abschluss","Sachsen-Anhalt","","","",""
"Ja","2009","(noch) kein Abschluss","Thueringen","","","",""
"Ja","2009","Hauptschule","Schleswig-Holstein","18","","",""
"Ja","2009","Hauptschule","Hamburg","12","","",""
"Ja","2009","Hauptschule","Niedersachsen","70","0.104632482925331","0.0799765652901584","0.129288400560503"
"Ja","2009","Hauptschule","Bremen","2","","",""
"Ja","2009","Hauptschule","Nordrhein-Westfalen","171","0.118106580478917","0.101103596532198","0.135109564425635"
"Ja","2009","Hauptschule","Hessen","44","0.140516814235279","0.105575508306486","0.175458120164073"
"Ja","2009","Hauptschule","Rheinland-Pfalz,Saarland","44","0.0902714977849316","0.0650518813137597","0.115491114256103"
"Ja","2009","Hauptschule","Baden-Wuerttemberg","69","0.086513415830513","0.0668478666396606","0.106178965021365"
"Ja","2009","Hauptschule","Bayern","78","0.0691991468067488","0.0542689560039668","0.0841293376095309"
"Ja","2009","Hauptschule","Saarland","","","",""
"Ja","2009","Hauptschule","Berlin","21","","",""
"Ja","2009","Hauptschule","Brandenburg","40","0.220529524310492","0.161263967138964","0.279795081482019"
"Ja","2009","Hauptschule","Mecklenburg-Vorpommern","15","","",""
"Ja","2009","Hauptschule","Sachsen","67","0.216373646510433","0.170756026753607","0.261991266267258"
"Ja","2009","Hauptschule","Sachsen-Anhalt","47","0.191989003018396","0.138334060894668","0.245643945142124"
"Ja","2009","Hauptschule","Thueringen","44","0.174284056602697","0.12799456583192","0.220573547373474"
"Ja","2009","Realschule","Schleswig-Holstein","5","","",""
"Ja","2009","Realschule","Hamburg","3","","",""
"Ja","2009","Realschule","Niedersachsen","29","","",""
"Ja","2009","Realschule","Bremen","2","","",""
"Ja","2009","Realschule","Nordrhein-Westfalen","36","0.0578600729724","0.0411282028346627","0.0745919431101373"
"Ja","2009","Realschule","Hessen","16","","",""
"Ja","2009","Realschule","Rheinland-Pfalz,Saarland","7","","",""
"Ja","2009","Realschule","Baden-Wuerttemberg","20","","",""
"Ja","2009","Realschule","Bayern","28","","",""
"Ja","2009","Realschule","Saarland","","","",""
"Ja","2009","Realschule","Berlin","18","","",""
"Ja","2009","Realschule","Brandenburg","15","","",""
"Ja","2009","Realschule","Mecklenburg-Vorpommern","8","","",""
"Ja","2009","Realschule","Sachsen","14","","",""
