"year","age_gr","bildungsniveau","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1986","17-34","(Fach-)Abitur","15.17","12.5","87","4","6","20","28","90","12.24","18.1","1","90","10","15"
"1986","17-34","(noch) kein Abschluss","","","","","","","","","","","","","",""
"1986","17-34","AkademikerIn","18.71","15.5","80","4","10","20","35","80","14.95","22.47","0","99","11","20"
"1986","17-34","Hauptschule","17.9","11.5","391","4","7","22","40","90","16.34","19.46","0","99","12","15"
"1986","17-34","Realschule","16.1","10.5","221","3","6","20","40","80","14.16","18.04","0","80","10","12"
"1986","35-65","(Fach-)Abitur","24.71","19","52","4","10","30","60","88","18.84","30.58","3","88","12","20"
"1986","35-65","(noch) kein Abschluss","23.59","15.5","63","5","8","35","60","88","18.3","28.88","2","99","12","20"
"1986","35-65","AkademikerIn","23.84","19","159","5","10","30","50","90","20.47","27.21","1","99","15","20"
"1986","35-65","Hauptschule","19.18","14.5","595","5","8","20","40","80","17.8","20.56","1","99","12","16"
"1986","35-65","Realschule","20.4","14.5","161","5","8","30","49","80","17.58","23.22","1","99","12","20"
"1986","66 +","(Fach-)Abitur","","","","","","","","","","","","","",""
"1986","66 +","(noch) kein Abschluss","","","","","","","","","","","","","",""
"1986","66 +","AkademikerIn","","","","","","","","","","","","","",""
"1986","66 +","Hauptschule","","","","","","","","","","","","","",""
"1986","66 +","Realschule","","","","","","","","","","","","","",""
"1987","17-34","(Fach-)Abitur","","","","","","","","","","","","","",""
"1987","17-34","(noch) kein Abschluss","","","","","","","","","","","","","",""
"1987","17-34","AkademikerIn","","","","","","","","","","","","","",""
"1987","17-34","Hauptschule","","","","","","","","","","","","","",""
"1987","17-34","Realschule","","","","","","","","","","","","","",""
"1987","35-65","(Fach-)Abitur","","","","","","","","","","","","","",""
"1987","35-65","(noch) kein Abschluss","","","","","","","","","","","","","",""
"1987","35-65","AkademikerIn","","","","","","","","","","","","","",""
"1987","35-65","Hauptschule","","","","","","","","","","","","","",""
"1987","35-65","Realschule","","","","","","","","","","","","","",""
"1987","66 +","(Fach-)Abitur","","","","","","","","","","","","","",""
"1987","66 +","(noch) kein Abschluss","","","","","","","","","","","","","",""
"1987","66 +","AkademikerIn","","","","","","","","","","","","","",""
"1987","66 +","Hauptschule","","","","","","","","","","","","","",""
"1987","66 +","Realschule","","","","","","","","","","","","","",""
"1988","17-34","(Fach-)Abitur","16.39","10.5","96","3","6","22","35","60","13.47","19.31","2","80","10","16"
"1988","17-34","(noch) kein Abschluss","","","","","","","","","","","","","",""
