year,regtyp,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1985,Urban regions,,,,,,,,,,,,
1985,Rural regions,,,,,,,,,,,,
1986,Urban regions,,,,,,,,,,,,
1986,Rural regions,,,,,,,,,,,,
1987,Urban regions,,,,,,,,,,,,
1987,Rural regions,,,,,,,,,,,,
1988,Urban regions,,,,,,,,,,,,
1988,Rural regions,,,,,,,,,,,,
1989,Urban regions,,,,,,,,,,,,
1989,Rural regions,,,,,,,,,,,,
1990,Urban regions,,,,,,,,,,,,
1990,Rural regions,,,,,,,,,,,,
1991,Urban regions,,,,,,,,,,,,
1991,Rural regions,,,,,,,,,,,,
1992,Urban regions,,,,,,,,,,,,
1992,Rural regions,,,,,,,,,,,,
1993,Urban regions,,,,,,,,,,,,
1993,Rural regions,,,,,,,,,,,,
1994,Urban regions,,,,,,,,,,,,
1994,Rural regions,,,,,,,,,,,,
1995,Urban regions,,,,,,,,,,,,
1995,Rural regions,,,,,,,,,,,,
1996,Urban regions,,,,,,,,,,,,
1996,Rural regions,,,,,,,,,,,,
1997,Urban regions,,,,,,,,,,,,
1997,Rural regions,,,,,,,,,,,,
1998,Urban regions,,,,,,,,,,,,
1998,Rural regions,,,,,,,,,,,,
1999,Urban regions,,,,,,,,,,,,
1999,Rural regions,,,,,,,,,,,,
2000,Urban regions,,,,,,,,,,,,
2000,Rural regions,,,,,,,,,,,,
2001,Urban regions,,,,,,,,,,,,
2001,Rural regions,,,,,,,,,,,,
2002,Urban regions,14924,74.5537435790683,74.43771376281892,74.66977339531768,64.0,74.0,84.0,35.0,114.0,74.0,74.0,75.0
2002,Rural regions,7547,75.15106289375086,74.99282967761083,75.3092961098909,65.0,75.0,84.0,36.5,112.5,75.0,75.0,76.0
2003,Urban regions,,,,,,,,,,,,
2003,Rural regions,,,,,,,,,,,,
2004,Urban regions,13976,75.1626102563365,75.0404054646148,75.2848150480582,65.0,74.0,85.0,35.0,115.0,74.0,73.0,74.0
2004,Rural regions,7047,75.87937040585312,75.70850265665419,76.05023815505206,65.0,75.0,85.0,37.0,115.0,75.0,75.0,75.0
2005,Urban regions,,,,,,,,,,,,
2005,Rural regions,,,,,,,,,,,,
2006,Urban regions,14287,75.64975069068701,75.52502732903788,75.77447405233615,65.0,75.0,85.0,35.0,115.0,75.0,75.0,76.0
2006,Rural regions,7442,76.82800567041765,76.65622267164898,76.99978866918633,65.0,75.0,85.0,35.0,115.0,75.0,74.0,75.0
2007,Urban regions,,,,,,,,,,,,
2007,Rural regions,,,,,,,,,,,,
2008,Urban regions,12522,76.33163464881216,76.19309546833846,76.47017382928586,65.0,75.0,85.0,36.0,115.0,75.0,75.0,75.0
2008,Rural regions,6592,77.49405490369024,77.30705381966388,77.6810559877166,66.0,76.0,87.0,35.0,118.5,76.0,75.0,77.0
2009,Urban regions,,,,,,,,,,,,
2009,Rural regions,,,,,,,,,,,,
2010,Urban regions,10792,77.01163286230063,76.85396752465128,77.16929819994998,65.0,75.0,86.0,36.0,117.5,75.0,75.0,75.0
2010,Rural regions,5686,78.1720478352705,77.9671731233048,78.3769225472362,66.0,77.0,88.0,35.0,121.0,77.0,76.0,78.0
2011,Urban regions,,,,,,,,,,,,
2011,Rural regions,,,,,,,,,,,,
2012,Urban regions,12894,76.9695013486797,76.82861069699342,77.11039200036598,65.0,75.0,86.0,33.5,117.5,75.0,75.0,75.0
2012,Rural regions,7332,78.60682972418499,78.42224271421424,78.79141673415575,66.0,78.0,89.0,35.0,123.5,78.0,78.0,79.0
2013,Urban regions,,,,,,,,,,,,
2013,Rural regions,,,,,,,,,,,,
2014,Urban regions,17388,77.3171320672542,77.19307405182265,77.44119008268576,65.0,75.0,87.0,32.0,120.0,75.0,75.0,75.0
2014,Rural regions,9326,78.85736969061517,78.68933908311037,79.02540029811998,67.0,78.0,89.0,35.0,122.0,78.0,78.0,79.0
2015,Urban regions,,,,,,,,,,,,
2015,Rural regions,,,,,,,,,,,,
2016,Urban regions,15403,77.98171848688436,77.84645617285408,78.11698080091465,65.0,75.0,88.0,30.5,122.5,75.0,74.0,75.0
2016,Rural regions,8370,79.24646492466542,79.06658666762424,79.4263431817066,67.0,79.0,90.0,36.0,124.5,79.0,78.0,80.0
2017,Urban regions,,,,,,,,,,,,
2017,Rural regions,,,,,,,,,,,,
2018,Urban regions,18580,78.28669525167156,78.16138015364123,78.41201034970189,65.0,76.0,88.0,30.5,122.5,76.0,76.0,77.0
2018,Rural regions,9636,80.00744165202835,79.83637120906134,80.17851209499536,68.0,79.0,90.0,35.0,123.0,79.0,78.0,80.0
2019,Urban regions,,,,,,,,,,,,
2019,Rural regions,,,,,,,,,,,,
2020,Urban regions,16776,79.01100965428593,78.87584554805775,79.1461737605141,66.0,77.0,90.0,36.0,126.0,77.0,76.0,78.0
2020,Rural regions,8495,80.59691201087583,80.40980837069894,80.78401565105271,68.0,80.0,90.0,38.0,123.0,80.0,80.0,81.0
2021,Urban regions,,,,,,,,,,,,
2021,Rural regions,,,,,,,,,,,,
