year,regtyp,hlf0613,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
2016,Urban regions,Yes,0.61466,6451,16360,0,0.59770,0,0.62908
2016,Urban regions,No,0.38534,4342,16360,0,0.36915,0,0.39869
2016,Rural regions,Yes,0.54632,3039,16360,0,0.52043,0,0.56993
2016,Rural regions,No,0.45368,2528,16360,0,0.43000,0,0.47658
2017,Urban regions,Yes,0.64414,7426,18233,0,0.62918,0,0.65917
2017,Urban regions,No,0.35586,4557,18233,0,0.34392,0,0.36893
2017,Rural regions,Yes,0.59161,3589,18233,0,0.56892,0,0.61135
2017,Rural regions,No,0.40839,2661,18233,0,0.38811,0,0.42910
2018,Urban regions,Yes,0.66868,7604,17835,0,0.65198,0,0.68692
2018,Urban regions,No,0.33132,4292,17835,0,0.31570,0,0.34314
2018,Rural regions,Yes,0.60709,3550,17835,0,0.58346,0,0.63233
2018,Rural regions,No,0.39291,2389,17835,0,0.37125,0,0.41837
2019,Urban regions,Yes,0.68252,7543,15658,0,0.66502,0,0.69993
2019,Urban regions,No,0.31748,2748,15658,0,0.30357,0,0.33150
2019,Rural regions,Yes,0.64994,3677,15658,0,0.62419,0,0.67873
2019,Rural regions,No,0.35006,1690,15658,0,0.32974,0,0.36797
2021,Urban regions,Yes,0.52026,4627,12534,0,0.49970,0,0.54074
2021,Urban regions,No,0.47974,3960,12534,0,0.46017,0,0.50322
2021,Rural regions,Yes,0.48707,1969,12534,0,0.46126,0,0.51061
2021,Rural regions,No,0.51293,1978,12534,0,0.48432,0,0.54702
