year,migback,overyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1986,No migration background,Yes,0.33803,1418,4230,0.32378,0.35229
1986,No migration background,No,0.66197,2812,4230,0.64771,0.67622
1986,Direct migration background,Yes,0.26163,412,1834,0.24151,0.28175
1986,Direct migration background,No,0.73837,1422,1834,0.71825,0.75849
1986,Indirect migration background,No,0.77305,70,70,0.67422,0.87188
1988,No migration background,Yes,0.34698,1389,4031,0.33228,0.36167
1988,No migration background,No,0.65302,2642,4031,0.63833,0.66772
1988,Direct migration background,Yes,0.28033,418,1697,0.25896,0.30171
1988,Direct migration background,No,0.71967,1279,1697,0.69829,0.74104
1988,Indirect migration background,No,0.72540,89,89,0.63215,0.81865
1989,No migration background,Yes,0.36796,1438,3969,0.35296,0.38297
1989,No migration background,No,0.63204,2531,3969,0.61703,0.64704
1989,Direct migration background,Yes,0.30398,438,1648,0.28177,0.32620
1989,Direct migration background,No,0.69602,1210,1648,0.67380,0.71823
1989,Indirect migration background,Yes,0.32297,32,130,0.24228,0.40367
1989,Indirect migration background,No,0.67703,98,130,0.59633,0.75772
1990,No migration background,Yes,0.36852,2523,7128,0.35732,0.37972
1990,No migration background,No,0.63148,4605,7128,0.62028,0.64268
1990,Direct migration background,Yes,0.30263,463,1713,0.28087,0.32439
1990,Direct migration background,No,0.69737,1250,1713,0.67561,0.71913
1990,Indirect migration background,Yes,0.31467,42,162,0.24294,0.38641
1990,Indirect migration background,No,0.68533,120,162,0.61359,0.75706
1991,No migration background,Yes,0.37856,2385,6644,0.36690,0.39023
1991,No migration background,No,0.62144,4259,6644,0.60977,0.63310
1991,Direct migration background,Yes,0.30627,452,1692,0.28430,0.32824
1991,Direct migration background,No,0.69373,1240,1692,0.67176,0.71570
1991,Indirect migration background,Yes,0.29351,57,205,0.23102,0.35600
1991,Indirect migration background,No,0.70649,148,205,0.64400,0.76898
1992,No migration background,Yes,0.41056,2502,6179,0.39829,0.42283
1992,No migration background,No,0.58944,3677,6179,0.57717,0.60171
1992,Direct migration background,Yes,0.29227,404,1584,0.26986,0.31467
1992,Direct migration background,No,0.70773,1180,1584,0.68533,0.73014
1992,Indirect migration background,Yes,0.32833,61,228,0.26724,0.38942
1992,Indirect migration background,No,0.67167,167,228,0.61058,0.73276
1993,No migration background,Yes,0.38880,2398,5987,0.37645,0.40115
1993,No migration background,No,0.61120,3589,5987,0.59885,0.62355
1993,Direct migration background,Yes,0.25747,334,1495,0.23529,0.27964
1993,Direct migration background,No,0.74253,1161,1495,0.72036,0.76471
1993,Indirect migration background,Yes,0.30207,84,278,0.24800,0.35614
1993,Indirect migration background,No,0.69793,194,278,0.64386,0.75200
1994,No migration background,Yes,0.40994,2460,5840,0.39733,0.42256
1994,No migration background,No,0.59006,3380,5840,0.57744,0.60267
1994,Direct migration background,Yes,0.28831,333,1339,0.26404,0.31259
1994,Direct migration background,No,0.71169,1006,1339,0.68741,0.73596
1994,Indirect migration background,Yes,0.30762,88,290,0.25441,0.36083
1994,Indirect migration background,No,0.69238,202,290,0.63917,0.74559
1995,No migration background,Yes,0.43619,2622,5943,0.42359,0.44880
1995,No migration background,No,0.56381,3321,5943,0.55120,0.57641
1995,Direct migration background,Yes,0.33645,455,1522,0.31270,0.36019
1995,Direct migration background,No,0.66355,1067,1522,0.63981,0.68730
1995,Indirect migration background,Yes,0.32614,105,299,0.27292,0.37937
1995,Indirect migration background,No,0.67386,194,299,0.62063,0.72708
1996,No migration background,Yes,0.43639,2568,5837,0.42367,0.44912
1996,No migration background,No,0.56361,3269,5837,0.55088,0.57633
1996,Direct migration background,Yes,0.33760,433,1415,0.31295,0.36225
1996,Direct migration background,No,0.66240,982,1415,0.63775,0.68705
1996,Indirect migration background,Yes,0.36823,116,313,0.31471,0.42175
1996,Indirect migration background,No,0.63177,197,313,0.57825,0.68529
1997,No migration background,Yes,0.70582,2565,3687,0.69111,0.72053
1997,No migration background,No,0.29418,1122,3687,0.27947,0.30889
1997,Direct migration background,Yes,0.67875,437,677,0.64355,0.71395
1997,Direct migration background,No,0.32125,240,677,0.28605,0.35645
1997,Indirect migration background,Yes,0.71223,125,188,0.64734,0.77712
1997,Indirect migration background,No,0.28777,63,188,0.22288,0.35266
1998,No migration background,Yes,0.71149,2957,4207,0.69779,0.72518
1998,No migration background,No,0.28851,1250,4207,0.27482,0.30221
1998,Direct migration background,Yes,0.68243,413,617,0.64567,0.71919
1998,Direct migration background,No,0.31757,204,617,0.28081,0.35433
1998,Indirect migration background,Yes,0.73894,131,178,0.67423,0.80364
1998,Indirect migration background,No,0.26106,47,178,0.19636,0.32577
1999,No migration background,Yes,0.71470,2960,4141,0.70095,0.72846
1999,No migration background,No,0.28530,1181,4141,0.27154,0.29905
1999,Direct migration background,Yes,0.73921,391,560,0.70282,0.77561
1999,Direct migration background,No,0.26079,169,560,0.22439,0.29718
1999,Indirect migration background,Yes,0.67719,142,199,0.61207,0.74232
1999,Indirect migration background,No,0.32281,57,199,0.25768,0.38793
2000,No migration background,Yes,0.68894,4887,7007,0.67810,0.69978
2000,No migration background,No,0.31106,2120,7007,0.30022,0.32190
2000,Direct migration background,Yes,0.63509,548,868,0.60304,0.66713
2000,Direct migration background,No,0.36491,320,868,0.33287,0.39696
2000,Indirect migration background,Yes,0.73406,183,254,0.67962,0.78851
2000,Indirect migration background,No,0.26594,71,254,0.21149,0.32038
2002,No migration background,Yes,0.69930,4956,6965,0.68853,0.71007
2002,No migration background,No,0.30070,2009,6965,0.28993,0.31147
2002,Direct migration background,Yes,0.62301,461,712,0.58739,0.65863
2002,Direct migration background,No,0.37699,251,712,0.34137,0.41261
2002,Indirect migration background,Yes,0.68484,179,252,0.62737,0.74232
2002,Indirect migration background,No,0.31516,73,252,0.25768,0.37263
2003,No migration background,Yes,0.70180,4715,6652,0.69080,0.71279
2003,No migration background,No,0.29820,1937,6652,0.28721,0.30920
2003,Direct migration background,Yes,0.65619,413,647,0.61956,0.69282
2003,Direct migration background,No,0.34381,234,647,0.30718,0.38044
2003,Indirect migration background,Yes,0.67838,171,257,0.62116,0.73560
2003,Indirect migration background,No,0.32162,86,257,0.26440,0.37884
2004,No migration background,Yes,0.70554,4590,6427,0.69439,0.71668
2004,No migration background,No,0.29446,1837,6427,0.28332,0.30561
2004,Direct migration background,Yes,0.65563,403,611,0.61792,0.69334
2004,Direct migration background,No,0.34437,208,611,0.30666,0.38208
2004,Indirect migration background,Yes,0.72708,175,242,0.67084,0.78332
2004,Indirect migration background,No,0.27292,67,242,0.21668,0.32916
2005,No migration background,Yes,0.70556,4227,5929,0.69396,0.71717
2005,No migration background,No,0.29444,1702,5929,0.28283,0.30604
2005,Direct migration background,Yes,0.63925,384,568,0.59972,0.67878
2005,Direct migration background,No,0.36075,184,568,0.32122,0.40028
2005,Indirect migration background,Yes,0.76377,186,250,0.71101,0.81653
2005,Indirect migration background,No,0.23623,64,250,0.18347,0.28899
2006,No migration background,Yes,0.72307,4791,6554,0.71223,0.73390
2006,No migration background,No,0.27693,1763,6554,0.26610,0.28777
2006,Direct migration background,Yes,0.68280,429,617,0.64605,0.71955
2006,Direct migration background,No,0.31720,188,617,0.28045,0.35395
2006,Indirect migration background,Yes,0.75202,221,279,0.70126,0.80279
2006,Indirect migration background,No,0.24798,58,279,0.19721,0.29874
2007,No migration background,Yes,0.74154,4548,6139,0.73059,0.75249
2007,No migration background,No,0.25846,1591,6139,0.24751,0.26941
2007,Direct migration background,Yes,0.75602,385,520,0.71907,0.79297
2007,Direct migration background,No,0.24398,135,520,0.20703,0.28093
2007,Indirect migration background,Yes,0.74176,215,284,0.69076,0.79275
2007,Indirect migration background,No,0.25824,69,284,0.20725,0.30924
2008,No migration background,Yes,0.72071,4390,6041,0.70939,0.73202
2008,No migration background,No,0.27929,1651,6041,0.26798,0.29061
2008,Direct migration background,Yes,0.74030,379,511,0.70224,0.77835
2008,Direct migration background,No,0.25970,132,511,0.22165,0.29776
2008,Indirect migration background,Yes,0.76395,196,272,0.71339,0.81451
2008,Indirect migration background,No,0.23605,76,272,0.18549,0.28661
2009,No migration background,Yes,0.71543,3841,5382,0.70337,0.72748
2009,No migration background,No,0.28457,1541,5382,0.27252,0.29663
2009,Direct migration background,Yes,0.66205,259,397,0.61546,0.70864
2009,Direct migration background,No,0.33795,138,397,0.29136,0.38454
2009,Indirect migration background,Yes,0.70081,183,258,0.64483,0.75680
2009,Indirect migration background,No,0.29919,75,258,0.24320,0.35517
2010,No migration background,Yes,0.67880,4981,7217,0.66802,0.68957
2010,No migration background,No,0.32120,2236,7217,0.31043,0.33198
2010,Direct migration background,Yes,0.70320,544,779,0.67110,0.73530
2010,Direct migration background,No,0.29680,235,779,0.26470,0.32890
2010,Indirect migration background,Yes,0.69810,252,365,0.65094,0.74527
2010,Indirect migration background,No,0.30190,113,365,0.25473,0.34906
2011,No migration background,Yes,0.73819,6427,8701,0.72895,0.74743
2011,No migration background,No,0.26181,2274,8701,0.25257,0.27105
2011,Direct migration background,Yes,0.75629,726,968,0.72923,0.78335
2011,Direct migration background,No,0.24371,242,968,0.21665,0.27077
2011,Indirect migration background,Yes,0.76622,345,455,0.72729,0.80515
2011,Indirect migration background,No,0.23378,110,455,0.19485,0.27271
2012,No migration background,Yes,0.71948,6376,8851,0.71012,0.72884
2012,No migration background,No,0.28052,2475,8851,0.27116,0.28988
2012,Direct migration background,Yes,0.67457,695,1015,0.64574,0.70341
2012,Direct migration background,No,0.32543,320,1015,0.29659,0.35426
2012,Indirect migration background,Yes,0.77789,350,477,0.74054,0.81523
2012,Indirect migration background,No,0.22211,127,477,0.18477,0.25946
2013,No migration background,Yes,0.72574,5963,8164,0.71606,0.73542
2013,No migration background,No,0.27426,2201,8164,0.26458,0.28394
2013,Direct migration background,Yes,0.69790,1461,2089,0.67821,0.71760
2013,Direct migration background,No,0.30210,628,2089,0.28240,0.32179
2013,Indirect migration background,Yes,0.76423,543,731,0.73344,0.79502
2013,Indirect migration background,No,0.23577,188,731,0.20498,0.26656
2014,No migration background,Yes,0.72724,5527,7640,0.71725,0.73723
2014,No migration background,No,0.27276,2113,7640,0.26277,0.28275
2014,Direct migration background,Yes,0.72267,1173,1682,0.70127,0.74407
2014,Direct migration background,No,0.27733,509,1682,0.25593,0.29873
2014,Indirect migration background,Yes,0.76877,475,643,0.73616,0.80139
2014,Indirect migration background,No,0.23123,168,643,0.19861,0.26384
2015,No migration background,Yes,0.76372,5494,7094,0.75383,0.77360
2015,No migration background,No,0.23628,1600,7094,0.22640,0.24617
2015,Direct migration background,Yes,0.75723,1338,1827,0.73757,0.77690
2015,Direct migration background,No,0.24277,489,1827,0.22310,0.26243
2015,Indirect migration background,Yes,0.75980,424,578,0.72494,0.79466
2015,Indirect migration background,No,0.24020,154,578,0.20534,0.27506
2016,No migration background,Yes,0.76433,5261,6859,0.75429,0.77438
2016,No migration background,No,0.23567,1598,6859,0.22562,0.24571
2016,Direct migration background,Yes,0.74881,1203,1621,0.72769,0.76993
2016,Direct migration background,No,0.25119,418,1621,0.23007,0.27231
2016,Indirect migration background,Yes,0.76890,412,546,0.73351,0.80429
2016,Indirect migration background,No,0.23110,134,546,0.19571,0.26649
2017,No migration background,Yes,0.76404,5804,7598,0.75449,0.77359
2017,No migration background,No,0.23596,1794,7598,0.22641,0.24551
2017,Direct migration background,Yes,0.75219,1156,1580,0.73089,0.77348
2017,Direct migration background,No,0.24781,424,1580,0.22652,0.26911
2017,Indirect migration background,Yes,0.76074,428,557,0.72528,0.79620
2017,Indirect migration background,No,0.23926,129,557,0.20380,0.27472
2018,No migration background,Yes,0.75029,5711,7735,0.74064,0.75993
2018,No migration background,No,0.24971,2024,7735,0.24007,0.25936
2018,Direct migration background,Yes,0.74216,1286,1808,0.72199,0.76233
2018,Direct migration background,No,0.25784,522,1808,0.23767,0.27801
2018,Indirect migration background,Yes,0.80240,467,615,0.77091,0.83390
2018,Indirect migration background,No,0.19760,148,615,0.16610,0.22909
2019,No migration background,Yes,0.77197,5462,7128,0.76222,0.78171
2019,No migration background,No,0.22803,1666,7128,0.21829,0.23778
2019,Direct migration background,Yes,0.76541,1125,1533,0.74419,0.78663
2019,Direct migration background,No,0.23459,408,1533,0.21337,0.25581
2019,Indirect migration background,Yes,0.75045,409,555,0.71441,0.78649
2019,Indirect migration background,No,0.24955,146,555,0.21351,0.28559
2020,No migration background,Yes,0.67050,4816,7316,0.65973,0.68127
2020,No migration background,No,0.32950,2500,7316,0.31873,0.34027
2020,Direct migration background,Yes,0.58839,1337,2279,0.56818,0.60860
2020,Direct migration background,No,0.41161,942,2279,0.39140,0.43182
2020,Indirect migration background,Yes,0.60222,372,613,0.56345,0.64100
2020,Indirect migration background,No,0.39778,241,613,0.35900,0.43655
2021,No migration background,Yes,0.74238,3824,5203,0.73050,0.75427
2021,No migration background,No,0.25762,1379,5203,0.24573,0.26950
2021,Direct migration background,Yes,0.71434,1069,1536,0.69174,0.73694
2021,Direct migration background,No,0.28566,467,1536,0.26306,0.30826
2021,Indirect migration background,Yes,0.74177,271,373,0.69730,0.78625
2021,Indirect migration background,No,0.25823,102,373,0.21375,0.30270
2022,No migration background,Yes,0.73480,6112,8369,0.72534,0.74426
2022,No migration background,No,0.26520,2257,8369,0.25574,0.27466
2022,Direct migration background,Yes,0.67191,2199,3245,0.65576,0.68807
2022,Direct migration background,No,0.32809,1046,3245,0.31193,0.34424
2022,Indirect migration background,Yes,0.76300,490,680,0.73102,0.79499
2022,Indirect migration background,No,0.23700,190,680,0.20501,0.26898
