year,hlc0178,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
2016,Yes,0.01959,304,14277,0,0.01711,0,0.02166
2016,No,0.98041,13973,14277,0,0.96326,0,0.99700
2017,Yes,0.02407,372,15657,0,0.02132,0,0.02689
2017,No,0.97593,15285,15657,0,0.95981,0,0.99130
2018,Yes,0.02198,348,15433,0,0.01971,0,0.02476
2018,No,0.97802,15085,15433,0,0.96067,0,0.99510
2019,Yes,0.02167,410,16117,0,0.01881,0,0.02450
2019,No,0.97833,15707,16117,0,0.96042,0,0.99712
2020,Yes,0.02535,400,16271,0,0.02172,0,0.02801
2020,No,0.97465,15871,16271,0,0.95279,0,0.98934
2021,Yes,0.02422,323,11064,0,0.02085,0,0.02798
2021,No,0.97578,10741,11064,0,0.95370,0,0.99434
