"hlc0178","year","quintil","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"ja","2016","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"ja","2016","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"ja","2016","2","Staedtischer Raum","39","0.0108293802815367","0.00756389216048997","0.0140948684025835"
"ja","2016","2","Laendlicher Raum","25","","",""
"ja","2016","3","Staedtischer Raum","79","0.0202075201918236","0.0159326728071553","0.024482367576492"
"ja","2016","3","Laendlicher Raum","51","0.011662106439484","0.00755823240610547","0.0157659804728625"
"ja","2016","4","Staedtischer Raum","153","","",""
"ja","2016","4","Laendlicher Raum","77","0.0191055191933264","0.0144711924170108","0.023739845969642"
"ja","2016","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"ja","2016","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"nein","2016","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"nein","2016","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"nein","2016","2","Staedtischer Raum","3820","0.989170619718463","0.985905131597417","0.99243610783951"
"nein","2016","2","Laendlicher Raum","2290","","",""
"nein","2016","3","Staedtischer Raum","4083","0.979792479808177","0.975517632423508","0.984067327192845"
"nein","2016","3","Laendlicher Raum","2578","","",""
"nein","2016","4","Staedtischer Raum","5748","0.979154173270159","0.975508981466019","0.982799365074299"
"nein","2016","4","Laendlicher Raum","3275","0.980894480806674","0.976260154030358","0.985528807582989"
"nein","2016","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"nein","2016","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"ja","2017","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"ja","2017","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"ja","2017","2","Staedtischer Raum","45","0.0140670286966892","0.0101990240592225","0.0179350333341558"
"ja","2017","2","Laendlicher Raum","30","0.0238561380161916","0.0173785775743541","0.030333698458029"
"ja","2017","3","Staedtischer Raum","94","0.0215380097377649","0.0172573569821816","0.0258186624933481"
