"plb0195_h","year","bildungsniveau","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Abgefeiert","1984","(noch) kein Abschluss","Westdeutschland","21","","",""
"Abgefeiert","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"Abgefeiert","1984","Hauptschule","Westdeutschland","610","0.266174139165625","0.249003611835703","0.283344666495548"
"Abgefeiert","1984","Hauptschule","Ostdeutschland","","","",""
"Abgefeiert","1984","Realschule","Westdeutschland","302","0.392434433670891","0.35790037594121","0.426968491400573"
"Abgefeiert","1984","Realschule","Ostdeutschland","","","",""
"Abgefeiert","1984","(Fach-)Abitur","Westdeutschland","83","0.334957389065522","0.280729697888118","0.389185080242927"
"Abgefeiert","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"Abgefeiert","1984","AkademikerIn","Westdeutschland","60","0.15081275099982","0.116829567960627","0.184795934039012"
"Abgefeiert","1984","AkademikerIn","Ostdeutschland","","","",""
"Teils, teils","1984","(noch) kein Abschluss","Westdeutschland","20","","",""
"Teils, teils","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"Teils, teils","1984","Hauptschule","Westdeutschland","256","","",""
"Teils, teils","1984","Hauptschule","Ostdeutschland","","","",""
"Teils, teils","1984","Realschule","Westdeutschland","95","0.118138905566646","0.0953111063443122","0.14096670478898"
"Teils, teils","1984","Realschule","Ostdeutschland","","","",""
"Teils, teils","1984","(Fach-)Abitur","Westdeutschland","29","","",""
"Teils, teils","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"Teils, teils","1984","AkademikerIn","Westdeutschland","60","0.119450778621268","0.0886533396952056","0.150248217547331"
"Teils, teils","1984","AkademikerIn","Ostdeutschland","","","",""
"Bezahlt","1984","(noch) kein Abschluss","Westdeutschland","236","","",""
"Bezahlt","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"Bezahlt","1984","Hauptschule","Westdeutschland","1273","","",""
"Bezahlt","1984","Hauptschule","Ostdeutschland","","","",""
"Bezahlt","1984","Realschule","Westdeutschland","156","","",""
"Bezahlt","1984","Realschule","Ostdeutschland","","","",""
"Bezahlt","1984","(Fach-)Abitur","Westdeutschland","105","","",""
"Bezahlt","1984","(Fach-)Abitur","Ostdeutschland","","","",""
