"plb0195_h","year","bildungsniveau","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Abgefeiert","1985","(noch) kein Abschluss","Staedtischer Raum","12","","",""
"Abgefeiert","1985","(noch) kein Abschluss","Laendlicher Raum","1","","",""
"Abgefeiert","1985","Hauptschule","Staedtischer Raum","355","0.255626761518624","0.234124670760543","0.277128852276704"
"Abgefeiert","1985","Hauptschule","Laendlicher Raum","117","","",""
"Abgefeiert","1985","Realschule","Staedtischer Raum","203","","",""
"Abgefeiert","1985","Realschule","Laendlicher Raum","66","0.395694932583601","0.321970217810944","0.469419647356259"
"Abgefeiert","1985","(Fach-)Abitur","Staedtischer Raum","61","0.373222357792523","0.304268627918446","0.442176087666601"
"Abgefeiert","1985","(Fach-)Abitur","Laendlicher Raum","12","","",""
"Abgefeiert","1985","AkademikerIn","Staedtischer Raum","55","0.166214932526832","0.127379976868576","0.205049888185088"
"Abgefeiert","1985","AkademikerIn","Laendlicher Raum","12","","",""
"Teils, teils","1985","(noch) kein Abschluss","Staedtischer Raum","11","","",""
"Teils, teils","1985","(noch) kein Abschluss","Laendlicher Raum","1","","",""
"Teils, teils","1985","Hauptschule","Staedtischer Raum","169","","",""
"Teils, teils","1985","Hauptschule","Laendlicher Raum","55","0.105126405368257","0.0791363051574411","0.131116505579073"
"Teils, teils","1985","Realschule","Staedtischer Raum","76","0.137686769432812","0.109224303523567","0.166149235342057"
"Teils, teils","1985","Realschule","Laendlicher Raum","18","","",""
"Teils, teils","1985","(Fach-)Abitur","Staedtischer Raum","12","","",""
"Teils, teils","1985","(Fach-)Abitur","Laendlicher Raum","7","0.198280064039003","0.0747226067888964","0.32183752128911"
"Teils, teils","1985","AkademikerIn","Staedtischer Raum","53","0.145361481724109","0.108592920147038","0.182130043301179"
"Teils, teils","1985","AkademikerIn","Laendlicher Raum","1","","",""
"Bezahlt","1985","(noch) kein Abschluss","Staedtischer Raum","128","","",""
"Bezahlt","1985","(noch) kein Abschluss","Laendlicher Raum","18","","",""
"Bezahlt","1985","Hauptschule","Staedtischer Raum","804","0.453568431189564","0.429028606449366","0.478108255929762"
