year,sampreg,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,West,,,,,,,,,,,,
1985,West,,,,,,,,,,,,
1986,West,,,,,,,,,,,,
1987,West,,,,,,,,,,,,
1988,West,,,,,,,,,,,,
1989,West,,,,,,,,,,,,
1990,West,,,,,,,,,,,,
1990,East,4381,7.421623726518176,7.391966991724618,7.451280461311733,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1991,West,9197,7.2051389139272315,7.186723544524407,7.223554283330056,6.0,8.0,8.0,3.0,10.0,8.0,8.0,8.0
1991,East,4075,7.209282020312,7.179850583318626,7.238713457305374,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0
1992,West,9122,7.010986268990797,6.991163604778201,7.030808933203392,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0
1992,East,3925,6.890661935191186,6.861283579074463,6.9200402913079095,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0
1993,West,9097,6.853919792532814,6.833533938483756,6.874305646581872,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0
1993,East,3797,6.639909724247766,6.608271966487142,6.67154748200839,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1994,West,8928,6.934582870801409,6.914689944584872,6.954475797017945,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0
1994,East,3741,6.415133830678932,6.383230594735071,6.4470370666227925,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1995,West,9417,6.959067275045665,6.939323862246793,6.978810687844536,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0
1995,East,3664,6.520342893213471,6.488920566798705,6.551765219628236,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1996,West,9246,6.855378070314784,6.835270524301803,6.875485616327765,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0
1996,East,3667,6.320230372770333,6.288365119395264,6.3520956261454025,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
