year,bula_h,pgisced97,ple0097,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,Schleswig-Holstein,Lower Secondary Level,Statutory health insurance,0.94362,39,39,0.87028,1.01696
1999,Schleswig-Holstein,Upper Secondary Level,Statutory health insurance,0.89443,166,166,0.84755,0.94132
1999,Hamburg,Upper Secondary Level,Statutory health insurance,0.91272,71,71,0.84661,0.97884
1999,Lower Saxony,Lower Secondary Level,Statutory health insurance,0.95729,228,228,0.93098,0.98359
1999,Lower Saxony,Upper Secondary Level,Statutory health insurance,0.91108,535,575,0.88779,0.93436
1999,Lower Saxony,Upper Secondary Level,Private health insurance,0.06319,40,575,0.04329,0.08310
1999,Lower Saxony,Post-secondary Non-tertiary Level,Statutory health insurance,0.88951,59,59,0.80883,0.97019
1999,Lower Saxony,First Stage of Tertiary Education,Statutory health insurance,0.89274,59,59,0.81310,0.97238
1999,Lower Saxony,Second Stage of Tertiary Education,Statutory health insurance,0.59016,78,126,0.50394,0.67637
1999,Lower Saxony,Second Stage of Tertiary Education,Private health insurance,0.40639,48,126,0.32028,0.49249
1999,Bremen,Upper Secondary Level,Statutory health insurance,0.96335,46,46,0.90844,1.01825
1999,North Rhine-Westphalia,Pre-primary Level,Statutory health insurance,0.69576,55,55,0.57304,0.81847
1999,North Rhine-Westphalia,Primary Level,Statutory health insurance,0.99734,118,118,0.98800,1.00667
1999,North Rhine-Westphalia,Lower Secondary Level,Statutory health insurance,0.95368,480,480,0.93486,0.97250
1999,North Rhine-Westphalia,Upper Secondary Level,Statutory health insurance,0.90564,1187,1308,0.88979,0.92149
1999,North Rhine-Westphalia,Upper Secondary Level,Private health insurance,0.08427,121,1308,0.06921,0.09933
1999,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Statutory health insurance,0.89632,121,121,0.84178,0.95087
1999,North Rhine-Westphalia,First Stage of Tertiary Education,Statutory health insurance,0.78281,127,161,0.71892,0.84670
1999,North Rhine-Westphalia,First Stage of Tertiary Education,Private health insurance,0.21258,34,161,0.14919,0.27598
1999,North Rhine-Westphalia,Second Stage of Tertiary Education,Statutory health insurance,0.67335,219,307,0.62080,0.72590
1999,North Rhine-Westphalia,Second Stage of Tertiary Education,Private health insurance,0.32129,88,307,0.26897,0.37362
1999,Hesse,Lower Secondary Level,Statutory health insurance,0.96952,185,185,0.94468,0.99436
1999,Hesse,Upper Secondary Level,Statutory health insurance,0.89564,386,421,0.86640,0.92488
1999,Hesse,Upper Secondary Level,Private health insurance,0.09458,35,421,0.06659,0.12256
1999,Hesse,Post-secondary Non-tertiary Level,Statutory health insurance,0.88142,37,37,0.77581,0.98703
1999,Hesse,Second Stage of Tertiary Education,Statutory health insurance,0.71594,89,121,0.63525,0.79663
1999,Hesse,Second Stage of Tertiary Education,Private health insurance,0.28406,32,121,0.20337,0.36475
1999,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Statutory health insurance,0.92748,187,187,0.89020,0.96475
1999,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Statutory health insurance,0.86318,342,383,0.82872,0.89764
1999,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Private health insurance,0.13087,41,383,0.09705,0.16470
1999,"Rhineland-Palatinate, Saarland",First Stage of Tertiary Education,Statutory health insurance,0.88099,40,40,0.77936,0.98261
1999,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,Statutory health insurance,0.53245,36,36,0.36715,0.69775
1999,Baden-Wuerttemberg,Primary Level,Statutory health insurance,0.99742,125,125,0.98850,1.00635
1999,Baden-Wuerttemberg,Lower Secondary Level,Statutory health insurance,0.97198,421,421,0.95619,0.98776
1999,Baden-Wuerttemberg,Upper Secondary Level,Statutory health insurance,0.92230,713,769,0.90336,0.94123
