"ple0097","year","bildungsniveau","bula_h","n","percent","lower_confidence_percent","upper_confidence_percent"
"Gesetzliche KV","1999","(noch) kein Abschluss","Schleswig-Holstein","14","","",""
"Gesetzliche KV","1999","(noch) kein Abschluss","Hamburg","8","1","1","1"
"Gesetzliche KV","1999","(noch) kein Abschluss","Niedersachsen","60","0.959168281222925","0.909907819141101","1.00842874330475"
"Gesetzliche KV","1999","(noch) kein Abschluss","Bremen","5","1","1","1"
"Gesetzliche KV","1999","(noch) kein Abschluss","Nordrhein-Westfalen","190","","",""
"Gesetzliche KV","1999","(noch) kein Abschluss","Hessen","70","0.954598622672335","0.906511725098076","1.00268552024659"
"Gesetzliche KV","1999","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","36","0.828556491025469","0.711757341406433","0.945355640644504"
"Gesetzliche KV","1999","(noch) kein Abschluss","Baden-Wuerttemberg","158","","",""
"Gesetzliche KV","1999","(noch) kein Abschluss","Bayern","67","0.930120160892731","0.871232091020322","0.989008230765141"
"Gesetzliche KV","1999","(noch) kein Abschluss","Saarland","","","",""
"Gesetzliche KV","1999","(noch) kein Abschluss","Berlin","23","","",""
"Gesetzliche KV","1999","(noch) kein Abschluss","Brandenburg","15","","",""
"Gesetzliche KV","1999","(noch) kein Abschluss","Mecklenburg-Vorpommern","12","","",""
"Gesetzliche KV","1999","(noch) kein Abschluss","Sachsen","35","0.899404541529362","0.803768185973965","0.995040897084758"
"Gesetzliche KV","1999","(noch) kein Abschluss","Sachsen-Anhalt","22","","",""
"Gesetzliche KV","1999","(noch) kein Abschluss","Thueringen","19","","",""
"Gesetzliche KV","1999","Hauptschule","Schleswig-Holstein","131","","",""
"Gesetzliche KV","1999","Hauptschule","Hamburg","65","0.903411244683279","0.8337117585232","0.973110730843359"
"Gesetzliche KV","1999","Hauptschule","Niedersachsen","499","0.945830055743557","0.926595683156223","0.965064428330892"
"Gesetzliche KV","1999","Hauptschule","Bremen","42","0.97513449257076","0.929124445747836","1.02114453939368"
"Gesetzliche KV","1999","Hauptschule","Nordrhein-Westfalen","1183","","",""
"Gesetzliche KV","1999","Hauptschule","Hessen","399","0.940149326427649","0.91743635155947","0.962862301295828"
