year,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,n
1984,,,,,,,,,
1985,,,,,,,,,
1986,,,,,,,,,
1987,,,,,,,,,
1988,,,,,,,,,
1989,,,,,,,,,
1990,,,,,,,,,
1991,,,,,,,,,
1992,,,,,,,,,
1993,,,,,,,,,
1994,,,,,,,,,
1995,,,,,,,,,
1996,,,,,,,,,
1997,,,,,,,,,
1998,,,,,,,,,
1999,,,,,,,,,
2000,,,,,,,,,
2001,,,,,,,,,
2002,,,,,,,,,
2003,,,,,,,,,
2004,,,,,,,,,
2005,3.20261,3.17848,3.22673,2.00000,3.00000,4.00000,1.00000,7.00000,20540.00000
2006,,,,,,,,,
2007,,,,,,,,,
2008,,,,,,,,,
2009,,,,,,,,,
2010,3.23153,3.20544,3.25762,2.00000,3.00000,4.00000,1.00000,7.00000,16566.00000
2011,,,,,,,,,
2012,,,,,,,,,
2013,,,,,,,,,
2014,,,,,,,,,
2015,2.83875,2.81876,2.85873,1.00000,2.00000,4.00000,1.00000,7.00000,26534.00000
2016,,,,,,,,,
2017,,,,,,,,,
2018,,,,,,,,,
2019,,,,,,,,,
2020,2.73074,2.71259,2.74889,1.00000,2.00000,4.00000,1.00000,7.00000,29220.00000
2021,,,,,,,,,
2022,,,,,,,,,
