"year","bildungsniveau","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"2005","(Fach-)Abitur","3.13","2.5","2284","3.06","3.2"
"2005","(noch) kein Abschluss","3.29","2.5","894","3.17","3.41"
"2005","AkademikerIn","2.97","2.5","4148","2.92","3.02"
"2005","Hauptschule","3.22","2.5","7493","3.18","3.26"
"2005","Realschule","3.3","2.5","5354","3.25","3.35"
"2006","(Fach-)Abitur","","","","",""
"2006","(noch) kein Abschluss","","","","",""
"2006","AkademikerIn","","","","",""
"2006","Hauptschule","","","","",""
"2006","Realschule","","","","",""
"2007","(Fach-)Abitur","","","","",""
"2007","(noch) kein Abschluss","","","","",""
"2007","AkademikerIn","","","","",""
"2007","Hauptschule","","","","",""
"2007","Realschule","","","","",""
"2008","(Fach-)Abitur","","","","",""
"2008","(noch) kein Abschluss","","","","",""
"2008","AkademikerIn","","","","",""
"2008","Hauptschule","","","","",""
"2008","Realschule","","","","",""
"2009","(Fach-)Abitur","","","","",""
"2009","(noch) kein Abschluss","","","","",""
"2009","AkademikerIn","","","","",""
"2009","Hauptschule","","","","",""
"2009","Realschule","","","","",""
"2010","(Fach-)Abitur","3.15","2.5","1892","3.08","3.22"
"2010","(noch) kein Abschluss","3.42","2.5","410","3.25","3.59"
"2010","AkademikerIn","3.01","2.5","3822","2.96","3.06"
"2010","Hauptschule","3.29","2.5","5569","3.24","3.34"
"2010","Realschule","3.32","2.5","4456","3.27","3.37"
"2011","(Fach-)Abitur","","","","",""
"2011","(noch) kein Abschluss","","","","",""
"2011","AkademikerIn","","","","",""
"2011","Hauptschule","","","","",""
"2011","Realschule","","","","",""
"2012","(Fach-)Abitur","","","","",""
"2012","(noch) kein Abschluss","","","","",""
"2012","AkademikerIn","","","","",""
"2012","Hauptschule","","","","",""
"2012","Realschule","","","","",""
"2013","(Fach-)Abitur","","","","",""
"2013","(noch) kein Abschluss","","","","",""
"2013","AkademikerIn","","","","",""
"2013","Hauptschule","","","","",""
"2013","Realschule","","","","",""
"2014","(Fach-)Abitur","","","","",""
"2014","(noch) kein Abschluss","","","","",""
"2014","AkademikerIn","","","","",""
"2014","Hauptschule","","","","",""
"2014","Realschule","","","","",""
"2015","(Fach-)Abitur","2.67","1.5","4108","2.62","2.72"
"2015","(noch) kein Abschluss","3.06","2.5","934","2.94","3.18"
"2015","AkademikerIn","2.62","1.5","6371","2.58","2.66"
"2015","Hauptschule","2.96","2.5","7728","2.92","3"
"2015","Realschule","2.93","2.5","6550","2.89","2.97"
"2016","(Fach-)Abitur","1.88","1","509","1.76","2"
"2016","(noch) kein Abschluss","2.59","1","987","2.47","2.71"
"2016","AkademikerIn","2.3","1","593","2.19","2.41"
"2016","Hauptschule","2.47","1.5","627","2.34","2.6"
"2016","Realschule","","","","",""
"2017","(Fach-)Abitur","1.64","1","301","1.5","1.78"
"2017","(noch) kein Abschluss","1.71","1","710","1.59","1.83"
"2017","AkademikerIn","1.67","1","311","1.53","1.81"
"2017","Hauptschule","1.6","1","396","1.47","1.73"
"2017","Realschule","","","","",""
"2018","(Fach-)Abitur","2.15","1","57","1.71","2.59"
"2018","(noch) kein Abschluss","2.09","1","145","1.81","2.37"
"2018","AkademikerIn","1.28","1","45","0.87","1.69"
"2018","Hauptschule","1.93","1","84","1.61","2.25"
"2018","Realschule","","","","",""
"2019","(Fach-)Abitur","","","","",""
"2019","(noch) kein Abschluss","1.93","1","128","1.63","2.23"
"2019","AkademikerIn","","","","",""
"2019","Hauptschule","2.12","1.5","43","1.5","2.74"
"2019","Realschule","","","","",""
"2020","(Fach-)Abitur","2.53","1.5","5040","2.49","2.57"
"2020","(noch) kein Abschluss","2.94","1.5","2244","2.87","3.01"
"2020","AkademikerIn","2.58","1.5","7756","2.55","2.61"
"2020","Hauptschule","2.9","1.5","6708","2.86","2.94"
"2020","Realschule","2.78","1.5","6248","2.74","2.82"
