year,quintil_oecd,regtyp,ple0008,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1992,1st Quintile,Urban regions,Very good,0.11693,210,13136,0.11669,0.11717
1992,1st Quintile,Urban regions,Good,0.32809,521,13136,0.32774,0.32845
1992,1st Quintile,Urban regions,Satisfactory,0.29762,394,13136,0.29728,0.29797
1992,1st Quintile,Urban regions,Poor,0.16117,199,13136,0.16089,0.16144
1992,1st Quintile,Urban regions,Bad,0.09619,88,13136,0.09597,0.09641
1992,1st Quintile,Rural regions,Very good,0.12077,175,13136,0.12051,0.12104
1992,1st Quintile,Rural regions,Good,0.29053,470,13136,0.29015,0.29090
1992,1st Quintile,Rural regions,Satisfactory,0.35713,426,13136,0.35673,0.35752
1992,1st Quintile,Rural regions,Poor,0.15115,171,13136,0.15086,0.15145
1992,1st Quintile,Rural regions,Bad,0.08042,77,13136,0.08019,0.08064
1992,2nd Quintile,Urban regions,Very good,0.11654,247,13136,0.11631,0.11677
1992,2nd Quintile,Urban regions,Good,0.37620,701,13136,0.37585,0.37654
1992,2nd Quintile,Urban regions,Satisfactory,0.32678,444,13136,0.32644,0.32711
1992,2nd Quintile,Urban regions,Poor,0.13370,188,13136,0.13346,0.13394
1992,2nd Quintile,Urban regions,Bad,0.04678,64,13136,0.04663,0.04693
1992,2nd Quintile,Rural regions,Very good,0.13558,195,13136,0.13527,0.13590
1992,2nd Quintile,Rural regions,Good,0.41510,542,13136,0.41464,0.41555
1992,2nd Quintile,Rural regions,Satisfactory,0.29594,309,13136,0.29551,0.29636
1992,2nd Quintile,Rural regions,Poor,0.11451,91,13136,0.11421,0.11480
1992,2nd Quintile,Rural regions,Bad,0.03887,32,13136,0.03870,0.03905
1992,3rd Quintile,Urban regions,Very good,0.16544,313,13136,0.16520,0.16569
1992,3rd Quintile,Urban regions,Good,0.37186,703,13136,0.37153,0.37218
1992,3rd Quintile,Urban regions,Satisfactory,0.30513,482,13136,0.30482,0.30544
1992,3rd Quintile,Urban regions,Poor,0.11891,192,13136,0.11869,0.11913
1992,3rd Quintile,Urban regions,Bad,0.03866,52,13136,0.03853,0.03879
1992,3rd Quintile,Rural regions,Very good,0.12632,134,13136,0.12600,0.12665
1992,3rd Quintile,Rural regions,Good,0.41533,404,13136,0.41486,0.41581
1992,3rd Quintile,Rural regions,Satisfactory,0.28973,243,13136,0.28929,0.29017
1992,3rd Quintile,Rural regions,Poor,0.12346,88,13136,0.12314,0.12378
1992,3rd Quintile,Rural regions,Bad,0.04515,36,13136,0.04495,0.04535
1992,4th Quintile,Urban regions,Very good,0.14904,318,13136,0.14882,0.14926
1992,4th Quintile,Urban regions,Good,0.39765,791,13136,0.39735,0.39795
1992,4th Quintile,Urban regions,Satisfactory,0.29966,524,13136,0.29938,0.29995
1992,4th Quintile,Urban regions,Poor,0.11469,207,13136,0.11449,0.11488
1992,4th Quintile,Urban regions,Bad,0.03896,65,13136,0.03884,0.03908
1992,4th Quintile,Rural regions,Very good,0.16493,129,13136,0.16455,0.16532
1992,4th Quintile,Rural regions,Good,0.44437,297,13136,0.44386,0.44489
1992,4th Quintile,Rural regions,Satisfactory,0.30708,208,13136,0.30660,0.30756
1992,4th Quintile,Rural regions,Poor,0.08361,51,13136,0.08332,0.08390
1992,5th Quintile,Urban regions,Very good,0.13446,295,13136,0.13426,0.13465
1992,5th Quintile,Urban regions,Good,0.44186,846,13136,0.44157,0.44215
1992,5th Quintile,Urban regions,Satisfactory,0.29152,551,13136,0.29126,0.29178
1992,5th Quintile,Urban regions,Poor,0.10885,197,13136,0.10867,0.10903
1992,5th Quintile,Urban regions,Bad,0.02331,41,13136,0.02323,0.02340
1992,5th Quintile,Rural regions,Very good,0.15716,74,13136,0.15671,0.15761
1992,5th Quintile,Rural regions,Good,0.45659,192,13136,0.45597,0.45720
1992,5th Quintile,Rural regions,Satisfactory,0.30042,122,13136,0.29985,0.30098
1992,5th Quintile,Rural regions,Poor,0.08584,37,13136,0.08549,0.08618
1994,1st Quintile,Urban regions,Very good,0.08131,165,12780,0.08112,0.08150
1994,1st Quintile,Urban regions,Good,0.30555,553,12780,0.30523,0.30587
1994,1st Quintile,Urban regions,Satisfactory,0.30617,404,12780,0.30585,0.30649
1994,1st Quintile,Urban regions,Poor,0.21048,292,12780,0.21019,0.21076
1994,1st Quintile,Urban regions,Bad,0.09650,115,12780,0.09629,0.09670
1994,1st Quintile,Rural regions,Very good,0.07008,86,12780,0.06985,0.07032
1994,1st Quintile,Rural regions,Good,0.29067,342,12780,0.29026,0.29108
1994,1st Quintile,Rural regions,Satisfactory,0.38116,345,12780,0.38072,0.38160
1994,1st Quintile,Rural regions,Poor,0.17779,145,12780,0.17744,0.17814
1994,1st Quintile,Rural regions,Bad,0.08030,61,12780,0.08005,0.08055
1994,2nd Quintile,Urban regions,Very good,0.07717,160,12780,0.07698,0.07735
1994,2nd Quintile,Urban regions,Good,0.36758,683,12780,0.36724,0.36791
1994,2nd Quintile,Urban regions,Satisfactory,0.34535,511,12780,0.34501,0.34568
1994,2nd Quintile,Urban regions,Poor,0.16244,230,12780,0.16218,0.16270
1994,2nd Quintile,Urban regions,Bad,0.04747,54,12780,0.04732,0.04762
1994,2nd Quintile,Rural regions,Very good,0.09168,103,12780,0.09142,0.09194
1994,2nd Quintile,Rural regions,Good,0.35797,409,12780,0.35754,0.35841
1994,2nd Quintile,Rural regions,Satisfactory,0.37018,381,12780,0.36974,0.37062
1994,2nd Quintile,Rural regions,Poor,0.13333,128,12780,0.13302,0.13364
1994,2nd Quintile,Rural regions,Bad,0.04684,36,12780,0.04664,0.04703
1994,3rd Quintile,Urban regions,Very good,0.09833,192,12780,0.09813,0.09853
1994,3rd Quintile,Urban regions,Good,0.38763,679,12780,0.38730,0.38795
1994,3rd Quintile,Urban regions,Satisfactory,0.31942,506,12780,0.31911,0.31973
1994,3rd Quintile,Urban regions,Poor,0.15150,229,12780,0.15126,0.15174
1994,3rd Quintile,Urban regions,Bad,0.04312,57,12780,0.04299,0.04326
1994,3rd Quintile,Rural regions,Very good,0.09526,110,12780,0.09498,0.09554
1994,3rd Quintile,Rural regions,Good,0.41715,451,12780,0.41669,0.41762
