year,sampreg,ple0008,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1992,West,Very good,0.11252,1502,9324,0.10611,0.11894
1992,West,Good,0.31459,3718,9324,0.30517,0.32402
1992,West,Satisfactory,0.25324,2628,9324,0.24441,0.26206
1992,West,Poor,0.10489,1095,9324,0.09867,0.11111
1992,West,Bad,0.04001,381,9324,0.03603,0.04399
1992,East,Very good,0.11819,623,3966,0.10815,0.12824
1992,East,Good,0.34077,1800,3966,0.32602,0.35553
1992,East,Satisfactory,0.24154,1099,3966,0.22821,0.25486
1992,East,Poor,0.08081,334,3966,0.07233,0.08930
1992,East,Bad,0.03035,110,3966,0.02501,0.03568
1994,West,Very good,0.07409,1012,9073,0.06870,0.07948
1994,West,Good,0.31027,3666,9073,0.30075,0.31979
1994,West,Satisfactory,0.27035,2748,9073,0.26121,0.27949
1994,West,Poor,0.12874,1300,9073,0.12184,0.13563
1994,West,Bad,0.03721,347,9073,0.03332,0.04111
1994,East,Very good,0.06648,328,3774,0.05853,0.07443
1994,East,Good,0.31342,1556,3774,0.29862,0.32823
1994,East,Satisfactory,0.30097,1322,3774,0.28633,0.31561
1994,East,Poor,0.10515,450,3774,0.09537,0.11494
1994,East,Bad,0.03204,118,3774,0.02642,0.03766
1995,West,Very good,0.07009,1017,9561,0.06497,0.07521
1995,West,Good,0.31509,3958,9561,0.30577,0.32440
1995,West,Satisfactory,0.27220,2909,9561,0.26328,0.28112
1995,West,Poor,0.12486,1319,9561,0.11823,0.13148
1995,West,Bad,0.03520,358,9561,0.03151,0.03890
1995,East,Very good,0.05569,286,3682,0.04828,0.06309
1995,East,Good,0.31726,1501,3682,0.30222,0.33229
1995,East,Satisfactory,0.30111,1311,3682,0.28629,0.31593
1995,East,Poor,0.11393,470,3682,0.10367,0.12420
1995,East,Bad,0.03389,114,3682,0.02805,0.03974
1996,West,Very good,0.07401,1036,9340,0.06870,0.07932
1996,West,Good,0.30665,3744,9340,0.29730,0.31600
1996,West,Satisfactory,0.28016,2963,9340,0.27105,0.28927
1996,West,Poor,0.12132,1250,9340,0.11470,0.12794
1996,West,Bad,0.03586,347,9340,0.03208,0.03963
1996,East,Very good,0.04703,252,3681,0.04019,0.05387
1996,East,Good,0.31689,1492,3681,0.30186,0.33193
1996,East,Satisfactory,0.32598,1389,3681,0.31083,0.34112
1996,East,Poor,0.10805,441,3681,0.09802,0.11808
1996,East,Bad,0.02994,107,3681,0.02444,0.03545
1997,West,Very good,0.07194,921,9179,0.06665,0.07722
1997,West,Good,0.31270,3888,9179,0.30322,0.32219
1997,West,Satisfactory,0.28176,2862,9179,0.27256,0.29096
1997,West,Poor,0.11815,1179,9179,0.11155,0.12476
1997,West,Bad,0.03495,329,9179,0.03119,0.03871
1997,East,Very good,0.05489,251,3631,0.04748,0.06230
1997,East,Good,0.32686,1542,3631,0.31160,0.34212
1997,East,Satisfactory,0.31369,1298,3631,0.29859,0.32878
1997,East,Poor,0.10462,416,3631,0.09466,0.11457
1997,East,Bad,0.03614,124,3631,0.03007,0.04222
1998,West,Very good,0.08541,1168,10345,0.08002,0.09079
1998,West,Good,0.32736,4448,10345,0.31831,0.33640
1998,West,Satisfactory,0.25816,3069,10345,0.24973,0.26660
1998,West,Poor,0.11335,1285,10345,0.10724,0.11946
1998,West,Bad,0.03645,375,10345,0.03284,0.04007
1998,East,Very good,0.06390,306,3861,0.05619,0.07162
1998,East,Good,0.33296,1649,3861,0.31809,0.34782
1998,East,Satisfactory,0.30129,1323,3861,0.28681,0.31576
1998,East,Poor,0.10317,444,3861,0.09357,0.11276
1998,East,Bad,0.03455,139,3861,0.02879,0.04031
1999,West,Very good,0.07922,1047,9864,0.07389,0.08455
1999,West,Good,0.31932,4152,9864,0.31012,0.32852
1999,West,Satisfactory,0.26940,3071,9864,0.26064,0.27815
1999,West,Poor,0.11653,1237,9864,0.11020,0.12287
1999,West,Bad,0.03607,357,9864,0.03239,0.03975
1999,East,Very good,0.05143,250,3780,0.04439,0.05847
1999,East,Good,0.32983,1535,3780,0.31484,0.34482
1999,East,Satisfactory,0.31426,1389,3780,0.29946,0.32906
1999,East,Poor,0.11263,471,3780,0.10255,0.12271
1999,East,Bad,0.03699,135,3780,0.03097,0.04300
2000,West,Very good,0.09541,2194,18226,0.09114,0.09968
2000,West,Good,0.31419,7382,18226,0.30745,0.32093
2000,West,Satisfactory,0.27206,5782,18226,0.26559,0.27852
2000,West,Poor,0.10743,2237,18226,0.10294,0.11193
2000,West,Bad,0.03227,631,18226,0.02970,0.03483
2000,East,Very good,0.06937,479,5840,0.06286,0.07589
2000,East,Good,0.32182,2370,5840,0.30984,0.33380
2000,East,Satisfactory,0.30336,2025,5840,0.29157,0.31515
2000,East,Poor,0.11616,751,5840,0.10794,0.12438
2000,East,Bad,0.03620,215,5840,0.03141,0.04099
2001,West,Very good,0.09681,2009,16462,0.09229,0.10133
2001,West,Good,0.31230,6616,16462,0.30522,0.31938
2001,West,Satisfactory,0.26877,5225,16462,0.26200,0.27554
2001,West,Poor,0.11101,2050,16462,0.10622,0.11581
2001,West,Bad,0.03203,562,16462,0.02934,0.03472
2001,East,Very good,0.05963,410,5428,0.05333,0.06593
2001,East,Good,0.32556,2184,5428,0.31309,0.33803
2001,East,Satisfactory,0.31117,1913,5428,0.29885,0.32349
2001,East,Poor,0.12281,709,5428,0.11407,0.13154
2001,East,Bad,0.03738,212,5428,0.03233,0.04242
2002,West,Very good,0.07971,1918,17565,0.07570,0.08371
2002,West,Good,0.31348,7259,17565,0.30662,0.32034
2002,West,Satisfactory,0.28157,5642,17565,0.27492,0.28822
2002,West,Poor,0.11307,2173,17565,0.10839,0.11776
2002,West,Bad,0.03399,573,17565,0.03131,0.03667
2002,East,Very good,0.06385,428,5419,0.05734,0.07036
2002,East,Good,0.32736,2203,5419,0.31486,0.33985
2002,East,Satisfactory,0.31013,1885,5419,0.29781,0.32244
2002,East,Poor,0.12564,716,5419,0.11682,0.13447
2002,East,Bad,0.03552,187,5419,0.03059,0.04045
2003,West,Very good,0.08082,1852,16798,0.07670,0.08494
2003,West,Good,0.32505,7052,16798,0.31797,0.33214
2003,West,Satisfactory,0.26703,5216,16798,0.26033,0.27372
2003,West,Poor,0.11623,2117,16798,0.11138,0.12107
2003,West,Bad,0.03397,561,16798,0.03123,0.03671
2003,East,Very good,0.05817,391,5329,0.05188,0.06445
2003,East,Good,0.33811,2219,5329,0.32540,0.35081
2003,East,Satisfactory,0.30397,1803,5329,0.29162,0.31632
2003,East,Poor,0.12126,714,5329,0.11249,0.13002
2003,East,Bad,0.04430,202,5329,0.03877,0.04982
2004,West,Very good,0.08658,1823,16362,0.08227,0.09089
2004,West,Good,0.31466,6810,16362,0.30755,0.32178
2004,West,Satisfactory,0.26232,5003,16362,0.25558,0.26906
2004,West,Poor,0.12473,2120,16362,0.11967,0.12980
2004,West,Bad,0.03868,606,16362,0.03573,0.04164
