year,sampreg,sex,ple0008,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1992,West,male,Very good,0.12485,837,4566,0.11526,0.13444
1992,West,male,Good,0.33653,1909,4566,0.32283,0.35024
1992,West,male,Satisfactory,0.23511,1202,4566,0.22281,0.24741
1992,West,male,Poor,0.08505,458,4566,0.07696,0.09315
1992,West,male,Bad,0.03345,160,4566,0.02823,0.03866
1992,West,female,Very good,0.10085,665,4758,0.09229,0.10941
1992,West,female,Good,0.29383,1809,4758,0.28089,0.30678
1992,West,female,Satisfactory,0.27039,1426,4758,0.25777,0.28301
1992,West,female,Poor,0.12366,637,4758,0.11431,0.13302
1992,West,female,Bad,0.04623,221,4758,0.04026,0.05219
1992,East,male,Very good,0.13527,332,1886,0.11983,0.15071
1992,East,male,Good,0.35795,881,1886,0.33631,0.37959
1992,East,male,Satisfactory,0.22203,499,1886,0.20326,0.24079
1992,East,male,Poor,0.06157,126,1886,0.05072,0.07242
1992,East,male,Bad,0.02650,48,1886,0.01925,0.03376
1992,East,female,Very good,0.10225,291,2080,0.08922,0.11527
1992,East,female,Good,0.32473,919,2080,0.30460,0.34486
1992,East,female,Satisfactory,0.25976,600,2080,0.24091,0.27861
1992,East,female,Poor,0.09878,208,2080,0.08596,0.11161
1992,East,female,Bad,0.03393,62,2080,0.02615,0.04172
1994,West,male,Very good,0.08413,549,4405,0.07593,0.09233
1994,West,male,Good,0.33429,1908,4405,0.32036,0.34823
1994,West,male,Satisfactory,0.25264,1262,4405,0.23980,0.26547
1994,West,male,Poor,0.10733,538,4405,0.09818,0.11647
1994,West,male,Bad,0.03010,148,4405,0.02506,0.03515
1994,West,female,Very good,0.06457,463,4668,0.05752,0.07162
1994,West,female,Good,0.28750,1758,4668,0.27451,0.30048
1994,West,female,Satisfactory,0.28715,1486,4668,0.27417,0.30013
1994,West,female,Poor,0.14903,762,4668,0.13881,0.15925
1994,West,female,Bad,0.04395,199,4668,0.03807,0.04983
1994,East,male,Very good,0.07450,176,1795,0.06235,0.08665
1994,East,male,Good,0.32830,767,1795,0.30657,0.35003
1994,East,male,Satisfactory,0.29911,634,1795,0.27792,0.32030
1994,East,male,Poor,0.08138,165,1795,0.06873,0.09403
1994,East,male,Bad,0.02478,53,1795,0.01759,0.03198
1994,East,female,Very good,0.05880,152,1979,0.04844,0.06917
1994,East,female,Good,0.29919,789,1979,0.27901,0.31937
1994,East,female,Satisfactory,0.30275,688,1979,0.28250,0.32300
1994,East,female,Poor,0.12791,285,1979,0.11319,0.14263
1994,East,female,Bad,0.03899,65,1979,0.03046,0.04753
1995,West,male,Very good,0.08056,566,4639,0.07273,0.08839
1995,West,male,Good,0.32848,1992,4639,0.31496,0.34200
1995,West,male,Satisfactory,0.26459,1382,4639,0.25189,0.27728
1995,West,male,Poor,0.10330,551,4639,0.09454,0.11206
1995,West,male,Bad,0.02810,148,4639,0.02334,0.03286
1995,West,female,Very good,0.06011,451,4922,0.05347,0.06675
1995,West,female,Good,0.30232,1966,4922,0.28949,0.31515
1995,West,female,Satisfactory,0.27946,1527,4922,0.26692,0.29200
1995,West,female,Poor,0.14540,768,4922,0.13555,0.15525
1995,West,female,Bad,0.04198,210,4922,0.03637,0.04758
1995,East,male,Very good,0.06002,146,1746,0.04888,0.07117
1995,East,male,Good,0.34798,771,1746,0.32563,0.37033
1995,East,male,Satisfactory,0.29033,607,1746,0.26903,0.31163
1995,East,male,Poor,0.09036,183,1746,0.07691,0.10381
1995,East,male,Bad,0.02224,39,1746,0.01532,0.02916
1995,East,female,Very good,0.05159,140,1936,0.04174,0.06145
1995,East,female,Good,0.28825,730,1936,0.26807,0.30843
1995,East,female,Satisfactory,0.31130,704,1936,0.29067,0.33193
1995,East,female,Poor,0.13619,287,1936,0.12091,0.15147
1995,East,female,Bad,0.04489,75,1936,0.03567,0.05412
1996,West,male,Very good,0.07544,539,4525,0.06775,0.08314
1996,West,male,Good,0.32771,1911,4525,0.31404,0.34139
1996,West,male,Satisfactory,0.27072,1388,4525,0.25777,0.28366
1996,West,male,Poor,0.10096,530,4525,0.09218,0.10974
1996,West,male,Bad,0.03175,157,4525,0.02664,0.03686
1996,West,female,Very good,0.07264,497,4815,0.06531,0.07997
1996,West,female,Good,0.28655,1833,4815,0.27378,0.29932
1996,West,female,Satisfactory,0.28917,1575,4815,0.27636,0.30198
1996,West,female,Poor,0.14074,720,4815,0.13092,0.15057
1996,West,female,Bad,0.03977,190,4815,0.03425,0.04529
1996,East,male,Very good,0.04671,123,1754,0.03683,0.05658
1996,East,male,Good,0.34299,759,1754,0.32077,0.36521
1996,East,male,Satisfactory,0.32351,671,1754,0.30161,0.34541
1996,East,male,Poor,0.07657,154,1754,0.06413,0.08902
1996,East,male,Bad,0.02504,47,1754,0.01773,0.03236
1996,East,female,Very good,0.04735,129,1927,0.03786,0.05683
1996,East,female,Good,0.29203,733,1927,0.27173,0.31234
1996,East,female,Satisfactory,0.32833,718,1927,0.30736,0.34930
1996,East,female,Poor,0.13805,287,1927,0.12264,0.15345
1996,East,female,Bad,0.03461,60,1927,0.02645,0.04277
1997,West,male,Very good,0.07832,520,4455,0.07043,0.08621
1997,West,male,Good,0.33340,1991,4455,0.31956,0.34725
1997,West,male,Satisfactory,0.27018,1320,4455,0.25714,0.28323
1997,West,male,Poor,0.09481,485,4455,0.08621,0.10342
1997,West,male,Bad,0.03077,139,4455,0.02569,0.03584
1997,West,female,Very good,0.06584,401,4724,0.05877,0.07292
