year,quintil_oecd,ple0008,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1992,1st Quintile,Very good,0.09382,396,2764,0.08294,0.10469
1992,1st Quintile,Good,0.24483,1002,2764,0.22879,0.26086
1992,1st Quintile,Satisfactory,0.25496,823,2764,0.23870,0.27121
1992,1st Quintile,Poor,0.12407,376,2764,0.11178,0.13637
1992,1st Quintile,Bad,0.06914,167,2764,0.05968,0.07860
1992,2nd Quintile,Very good,0.09893,464,2865,0.08799,0.10986
1992,2nd Quintile,Good,0.29172,1256,2865,0.27507,0.30837
1992,2nd Quintile,Satisfactory,0.23622,761,2865,0.22066,0.25178
1992,2nd Quintile,Poor,0.09704,286,2865,0.08620,0.10788
1992,2nd Quintile,Bad,0.03581,98,2865,0.02901,0.04262
1992,3rd Quintile,Very good,0.11906,441,2661,0.10675,0.13137
1992,3rd Quintile,Good,0.31295,1116,2661,0.29533,0.33057
1992,3rd Quintile,Satisfactory,0.24955,745,2661,0.23311,0.26600
1992,3rd Quintile,Poor,0.09291,269,2661,0.08188,0.10394
1992,3rd Quintile,Bad,0.03238,90,2661,0.02565,0.03911
1992,4th Quintile,Very good,0.13015,443,2601,0.11722,0.14308
1992,4th Quintile,Good,0.35457,1098,2601,0.33618,0.37296
1992,4th Quintile,Satisfactory,0.25274,714,2601,0.23604,0.26945
1992,4th Quintile,Poor,0.09064,258,2601,0.07960,0.10167
1992,4th Quintile,Bad,0.03252,88,2601,0.02570,0.03933
1992,5th Quintile,Very good,0.12643,380,2396,0.11312,0.13974
1992,5th Quintile,Good,0.39571,1045,2396,0.37613,0.41530
1992,5th Quintile,Satisfactory,0.26082,684,2396,0.24324,0.27841
1992,5th Quintile,Poor,0.09512,239,2396,0.08337,0.10687
1992,5th Quintile,Bad,0.02030,48,2396,0.01465,0.02595
1994,1st Quintile,Very good,0.06025,255,2516,0.05095,0.06955
1994,1st Quintile,Good,0.22941,904,2516,0.21298,0.24584
1994,1st Quintile,Satisfactory,0.25549,746,2516,0.23844,0.27253
1994,1st Quintile,Poor,0.15229,434,2516,0.13824,0.16633
1994,1st Quintile,Bad,0.07137,177,2516,0.06131,0.08143
1994,2nd Quintile,Very good,0.06697,259,2663,0.05748,0.07647
1994,2nd Quintile,Good,0.29090,1102,2663,0.27364,0.30815
1994,2nd Quintile,Satisfactory,0.27091,867,2663,0.25402,0.28779
1994,2nd Quintile,Poor,0.11254,348,2663,0.10054,0.12455
1994,2nd Quintile,Bad,0.03339,87,2663,0.02656,0.04021
1994,3rd Quintile,Very good,0.07656,304,2708,0.06655,0.08658
1994,3rd Quintile,Good,0.31406,1113,2708,0.29658,0.33155
1994,3rd Quintile,Satisfactory,0.27498,864,2708,0.25816,0.29180
1994,3rd Quintile,Poor,0.11622,341,2708,0.10414,0.12829
1994,3rd Quintile,Bad,0.03181,86,2708,0.02520,0.03842
1994,4th Quintile,Very good,0.07276,259,2534,0.06264,0.08287
1994,4th Quintile,Good,0.34450,1063,2534,0.32599,0.36300
1994,4th Quintile,Satisfactory,0.28211,823,2534,0.26459,0.29964
1994,4th Quintile,Poor,0.12065,327,2534,0.10796,0.13333
1994,4th Quintile,Bad,0.02613,62,2534,0.01991,0.03234
1994,5th Quintile,Very good,0.08613,262,2419,0.07494,0.09731
1994,5th Quintile,Good,0.37566,1037,2419,0.35636,0.39496
1994,5th Quintile,Satisfactory,0.29918,769,2419,0.28093,0.31744
1994,5th Quintile,Poor,0.11785,298,2419,0.10500,0.13071
1994,5th Quintile,Bad,0.01828,53,2419,0.01294,0.02363
1995,1st Quintile,Very good,0.07323,300,2531,0.06308,0.08338
1995,1st Quintile,Good,0.24683,946,2531,0.23003,0.26363
1995,1st Quintile,Satisfactory,0.23843,746,2531,0.22183,0.25503
1995,1st Quintile,Poor,0.13212,404,2531,0.11893,0.14532
1995,1st Quintile,Bad,0.04844,135,2531,0.04007,0.05681
1995,2nd Quintile,Very good,0.05917,267,2878,0.05055,0.06779
1995,2nd Quintile,Good,0.27273,1135,2878,0.25645,0.28900
1995,2nd Quintile,Satisfactory,0.26992,912,2878,0.25370,0.28615
1995,2nd Quintile,Poor,0.13507,431,2878,0.12258,0.14756
1995,2nd Quintile,Bad,0.05012,133,2878,0.04215,0.05810
1995,3rd Quintile,Very good,0.06959,264,2718,0.06002,0.07916
1995,3rd Quintile,Good,0.30232,1093,2718,0.28505,0.31959
1995,3rd Quintile,Satisfactory,0.29698,938,2718,0.27980,0.31416
1995,3rd Quintile,Poor,0.11569,344,2718,0.10366,0.12772
1995,3rd Quintile,Bad,0.02769,79,2718,0.02152,0.03386
1995,4th Quintile,Very good,0.06470,249,2654,0.05534,0.07406
1995,4th Quintile,Good,0.35741,1164,2654,0.33917,0.37564
1995,4th Quintile,Satisfactory,0.28647,847,2654,0.26927,0.30367
1995,4th Quintile,Poor,0.12553,332,2654,0.11292,0.13813
1995,4th Quintile,Bad,0.02521,62,2654,0.01925,0.03118
1995,5th Quintile,Very good,0.07000,223,2458,0.05991,0.08009
1995,5th Quintile,Good,0.39837,1120,2458,0.37901,0.41773
1995,5th Quintile,Satisfactory,0.29776,777,2458,0.27968,0.31584
1995,5th Quintile,Poor,0.10458,276,2458,0.09248,0.11668
1995,5th Quintile,Bad,0.02279,62,2458,0.01689,0.02869
1996,1st Quintile,Very good,0.06145,258,2569,0.05216,0.07074
1996,1st Quintile,Good,0.25336,953,2569,0.23653,0.27018
1996,1st Quintile,Satisfactory,0.25061,810,2569,0.23385,0.26737
1996,1st Quintile,Poor,0.13087,405,2569,0.11782,0.14391
1996,1st Quintile,Bad,0.05650,143,2569,0.04757,0.06543
1996,2nd Quintile,Very good,0.05518,251,2624,0.04645,0.06392
1996,2nd Quintile,Good,0.26360,1005,2624,0.24674,0.28046
1996,2nd Quintile,Satisfactory,0.28776,910,2624,0.27043,0.30508
1996,2nd Quintile,Poor,0.12722,361,2624,0.11447,0.13997
1996,2nd Quintile,Bad,0.03823,97,2624,0.03090,0.04557
1996,3rd Quintile,Very good,0.06314,242,2678,0.05393,0.07235
1996,3rd Quintile,Good,0.30188,1069,2678,0.28449,0.31927
1996,3rd Quintile,Satisfactory,0.30305,953,2678,0.28564,0.32046
1996,3rd Quintile,Poor,0.11702,326,2678,0.10484,0.12919
