"year","age_gr","bildungsniveau","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1984","17-34","(Fach-)Abitur","6.91","7.5","565","3","5","9","10","10","6.68","7.14","0","10","7","8"
"1984","17-34","(noch) kein Abschluss","7.38","7.5","508","3","6","10","10","10","7.13","7.63","0","10","7","8"
"1984","17-34","AkademikerIn","","","","","","","","","","","","","",""
"1984","17-34","Hauptschule","","","","","","","","","","","","","",""
"1984","17-34","Realschule","7.72","7.5","987","4","6","10","10","10","7.57","7.87","0","10","8","8"
"1984","35-65","(Fach-)Abitur","","","","","","","","","","","","","",""
"1984","35-65","(noch) kein Abschluss","6.39","6.5","747","2","4","9","10","10","6.18","6.6","0","10","7","8"
"1984","35-65","AkademikerIn","8.14","8.5","480","5","7","10","10","10","7.95","8.33","0","10","8","9"
"1984","35-65","Hauptschule","8.11","8.5","4049","5","7","10","10","10","8.04","8.18","0","10","8","9"
"1984","35-65","Realschule","8.21","8.5","698","5","7","10","10","10","8.05","8.37","0","10","9","9"
"1984","66 +","(Fach-)Abitur","8.71","9.5","48","6","8","10","10","10","8.13","9.29","0","10","8","10"
"1984","66 +","(noch) kein Abschluss","","","","","","","","","","","","","",""
"1984","66 +","AkademikerIn","9.09","9.5","63","7","9","10","10","10","8.67","9.51","2","10","9","10"
"1984","66 +","Hauptschule","8.39","8.5","953","5","8","10","10","10","8.27","8.51","0","10","9","9"
"1984","66 +","Realschule","","","","","","","","","","","","","",""
"1985","17-34","(Fach-)Abitur","7.09","7.5","511","3","6","9","10","10","6.86","7.32","0","10","7","8"
"1985","17-34","(noch) kein Abschluss","7.71","7.5","422","4","6","10","10","10","7.45","7.97","0","10","8","8"
"1985","17-34","AkademikerIn","","","","","","","","","","","","","",""
"1985","17-34","Hauptschule","","","","","","","","","","","","","",""
"1985","17-34","Realschule","7.61","7.5","951","5","6","9","10","10","7.47","7.75","0","10","8","8"
"1985","35-65","(Fach-)Abitur","","","","","","","","","","","","","",""
"1985","35-65","(noch) kein Abschluss","6.64","6.5","632","2","5","9","10","10","6.42","6.86","0","10","7","8"
"1985","35-65","AkademikerIn","8.12","7.5","460","5","7","10","10","10","7.94","8.3","1","10","8","9"
"1985","35-65","Hauptschule","7.98","7.5","3669","5","7","10","10","10","7.91","8.05","0","10","8","8"
"1985","35-65","Realschule","8.12","7.5","678","5","7","10","10","10","7.98","8.26","0","10","8","9"
"1985","66 +","(Fach-)Abitur","8.6","9.5","43","6","8","10","10","10","7.95","9.25","0","10","9","10"
"1985","66 +","(noch) kein Abschluss","","","","","","","","","","","","","",""
"1985","66 +","AkademikerIn","9.11","9.5","56","7","8","10","10","10","8.71","9.51","2","10","9","10"
"1985","66 +","Hauptschule","8.23","7.5","816","5","7","10","10","10","8.1","8.36","1","10","8","9"
"1985","66 +","Realschule","","","","","","","","","","","","","",""
"1986","17-34","(Fach-)Abitur","7.12","7.5","549","4","5","9","10","10","6.92","7.32","0","10","7","8"
"1986","17-34","(noch) kein Abschluss","7.49","7.5","416","4","6","9","10","10","7.23","7.75","0","10","7","8"
"1986","17-34","AkademikerIn","","","","","","","","","","","","","",""
"1986","17-34","Hauptschule","","","","","","","","","","","","","",""
"1986","17-34","Realschule","7.46","7.5","948","5","6","9","10","10","7.32","7.6","0","10","8","8"
"1986","35-65","(Fach-)Abitur","","","","","","","","","","","","","",""
"1986","35-65","(noch) kein Abschluss","6.63","6.5","584","3","5","9","10","10","6.41","6.85","0","10","7","7"
"1986","35-65","AkademikerIn","7.97","7.5","468","5","7","9","10","10","7.8","8.14","0","10","8","8"
"1986","35-65","Hauptschule","7.94","7.5","3477","5","7","10","10","10","7.87","8.01","0","10","8","8"
"1986","35-65","Realschule","8.01","7.5","653","5","7","10","10","10","7.86","8.16","0","10","8","9"
"1986","66 +","(Fach-)Abitur","8.28","8.5","45","5","7","10","10","10","7.61","8.95","0","10","8","10"
"1986","66 +","(noch) kein Abschluss","","","","","","","","","","","","","",""
"1986","66 +","AkademikerIn","8.71","8.5","53","6","8","10","10","10","8.21","9.21","2","10","9","10"
"1986","66 +","Hauptschule","8.3","7.5","746","6","7","10","10","10","8.17","8.43","0","10","8","9"
"1986","66 +","Realschule","","","","","","","","","","","","","",""
"1987","17-34","(Fach-)Abitur","7.22","7.5","416","4","6","9","10","10","7.01","7.43","0","10","8","8"
"1987","17-34","(noch) kein Abschluss","","","","","","","","","","","","","",""
"1987","17-34","AkademikerIn","","","","","","","","","","","","","",""
"1987","17-34","Hauptschule","","","","","","","","","","","","","",""
"1987","17-34","Realschule","7.55","7.5","883","5","6","9","10","10","7.41","7.69","0","10","8","8"
"1987","35-65","(Fach-)Abitur","","","","","","","","","","","","","",""
"1987","35-65","(noch) kein Abschluss","","","","","","","","","","","","","",""
"1987","35-65","AkademikerIn","8.07","7.5","429","6","7","9","10","10","7.9","8.24","0","10","8","9"
"1987","35-65","Hauptschule","","","","","","","","","","","","","",""
"1987","35-65","Realschule","7.9","7.5","625","5","7","9","10","10","7.75","8.05","0","10","8","8"
"1987","66 +","(Fach-)Abitur","8.15","8.5","44","5","8","10","10","10","7.45","8.85","0","10","8","10"
"1987","66 +","(noch) kein Abschluss","","","","","","","","","","","","","",""
"1987","66 +","AkademikerIn","8.77","9.5","58","7","8","10","10","10","8.27","9.27","2","10","9","10"
"1987","66 +","Hauptschule","8.26","8.5","773","5","8","10","10","10","8.13","8.39","0","10","8","9"
"1987","66 +","Realschule","","","","","","","","","","","","","",""
"1988","17-34","(Fach-)Abitur","7.22","7.5","493","4","6","9","10","10","7.02","7.42","0","10","7","8"
"1988","17-34","(noch) kein Abschluss","7.53","7.5","342","4","6","9","10","10","7.26","7.8","0","10","7","8"
"1988","17-34","AkademikerIn","","","","","","","","","","","","","",""
"1988","17-34","Hauptschule","","","","","","","","","","","","","",""
"1988","17-34","Realschule","7.41","7.5","911","4","6","9","10","10","7.27","7.55","0","10","8","8"
"1988","35-65","(Fach-)Abitur","","","","","","","","","","","","","",""
"1988","35-65","(noch) kein Abschluss","6.71","6.5","539","3","5","8","10","10","6.49","6.93","0","10","7","7"
"1988","35-65","AkademikerIn","7.88","7.5","442","5","7","9","10","10","7.71","8.05","2","10","8","8"
"1988","35-65","Hauptschule","7.86","7.5","3223","5","7","10","10","10","7.79","7.93","0","10","8","8"
"1988","35-65","Realschule","7.92","7.5","620","5","7","9","10","10","7.78","8.06","1","10","8","8"
"1988","66 +","(Fach-)Abitur","8.21","7.5","44","5","8","10","10","10","7.54","8.88","0","10","8","10"
"1988","66 +","(noch) kein Abschluss","","","","","","","","","","","","","",""
"1988","66 +","AkademikerIn","8.76","8.5","56","7","8","10","10","10","8.33","9.19","3","10","9","10"
"1988","66 +","Hauptschule","8.17","7.5","753","5","7","10","10","10","8.04","8.3","0","10","8","9"
"1988","66 +","Realschule","","","","","","","","","","","","","",""
"1989","17-34","(Fach-)Abitur","7.13","7.5","505","4","6","8","10","10","6.94","7.32","0","10","7","8"
"1989","17-34","(noch) kein Abschluss","7.74","7.5","342","5","7","10","10","10","7.46","8.02","0","10","8","8"
"1989","17-34","AkademikerIn","","","","","","","","","","","","","",""
"1989","17-34","Hauptschule","","","","","","","","","","","","","",""
"1989","17-34","Realschule","7.42","7.5","889","5","6","9","10","10","7.28","7.56","0","10","8","8"
"1989","35-65","(Fach-)Abitur","","","","","","","","","","","","","",""
"1989","35-65","(noch) kein Abschluss","6.63","6.5","518","3","5","8","10","10","6.42","6.84","0","10","7","7"
"1989","35-65","AkademikerIn","7.71","7.5","437","5","7","9","10","10","7.52","7.9","0","10","8","8"
"1989","35-65","Hauptschule","7.84","7.5","3067","5","7","9","10","10","7.77","7.91","0","10","8","8"
"1989","35-65","Realschule","7.93","7.5","597","5","7","9","10","10","7.78","8.08","0","10","8","8"
"1989","66 +","(Fach-)Abitur","8.86","8.5","47","7","8","10","10","10","8.48","9.24","5","10","9","10"
"1989","66 +","(noch) kein Abschluss","","","","","","","","","","","","","",""
"1989","66 +","AkademikerIn","8.76","8.5","56","6","8","10","10","10","8.35","9.17","5","10","9","10"
"1989","66 +","Hauptschule","8.18","7.5","732","5","7","10","10","10","8.05","8.31","0","10","8","9"
"1989","66 +","Realschule","","","","","","","","","","","","","",""
"1990","17-34","(Fach-)Abitur","6.94","6.5","597","4","6","8","9","10","6.76","7.12","0","10","7","7"
"1990","17-34","(noch) kein Abschluss","7.64","7.5","344","5","7","10","10","10","7.37","7.91","0","10","7","8"
"1990","17-34","AkademikerIn","6.84","6.5","515","3","5","9","10","10","6.61","7.07","0","10","7","8"
"1990","17-34","Hauptschule","","","","","","","","","","","","","",""
"1990","17-34","Realschule","","","","","","","","","","","","","",""
"1990","35-65","(Fach-)Abitur","","","","","","","","","","","","","",""
"1990","35-65","(noch) kein Abschluss","6.84","6.5","513","3","5","9","10","10","6.63","7.05","0","10","7","7"
"1990","35-65","AkademikerIn","","","","","","","","","","","","","",""
"1990","35-65","Hauptschule","7.74","7.5","4126","5","7","10","10","10","7.67","7.81","0","10","8","8"
"1990","35-65","Realschule","","","","","","","","","","","","","",""
"1990","66 +","(Fach-)Abitur","8.51","8.5","46","6","8","10","10","10","7.99","9.03","3","10","8","10"
"1990","66 +","(noch) kein Abschluss","","","","","","","","","","","","","",""
"1990","66 +","AkademikerIn","","","","","","","","","","","","","",""
"1990","66 +","Hauptschule","","","","","","","","","","","","","",""
"1990","66 +","Realschule","","","","","","","","","","","","","",""
"1991","17-34","(Fach-)Abitur","6.74","6.5","605","3","5","8","9","10","6.55","6.93","0","10","7","7"
"1991","17-34","(noch) kein Abschluss","7.38","7.5","353","4","6","9","10","10","7.11","7.65","0","10","7","8"
"1991","17-34","AkademikerIn","6.62","6.5","472","3","5","9","9","10","6.39","6.85","0","10","7","7"
"1991","17-34","Hauptschule","","","","","","","","","","","","","",""
"1991","17-34","Realschule","","","","","","","","","","","","","",""
"1991","35-65","(Fach-)Abitur","","","","","","","","","","","","","",""
"1991","35-65","(noch) kein Abschluss","7.01","6.5","495","4","6","9","10","10","6.8","7.22","0","10","7","7"
"1991","35-65","AkademikerIn","","","","","","","","","","","","","",""
"1991","35-65","Hauptschule","7.8","7.5","3977","5","7","9","10","10","7.73","7.87","0","10","8","8"
"1991","35-65","Realschule","","","","","","","","","","","","","",""
"1991","66 +","(Fach-)Abitur","8.77","8.5","45","7","8","10","10","10","8.41","9.13","5","10","8","10"
"1991","66 +","(noch) kein Abschluss","","","","","","","","","","","","","",""
"1991","66 +","AkademikerIn","","","","","","","","","","","","","",""
"1991","66 +","Hauptschule","","","","","","","","","","","","","",""
"1991","66 +","Realschule","","","","","","","","","","","","","",""
"1992","17-34","(Fach-)Abitur","7.04","6.5","602","4","6","9","10","10","6.85","7.23","0","10","7","7"
"1992","17-34","(noch) kein Abschluss","7.2","7.5","343","4","6","9","10","10","6.93","7.47","0","10","7","8"
"1992","17-34","AkademikerIn","6.33","6.5","441","3","5","8","9","10","6.11","6.55","0","10","6","7"
"1992","17-34","Hauptschule","","","","","","","","","","","","","",""
"1992","17-34","Realschule","","","","","","","","","","","","","",""
"1992","35-65","(Fach-)Abitur","","","","","","","","","","","","","",""
"1992","35-65","(noch) kein Abschluss","6.79","6.5","481","4","5","8","10","10","6.57","7.01","0","10","7","7"
"1992","35-65","AkademikerIn","","","","","","","","","","","","","",""
"1992","35-65","Hauptschule","7.63","7.5","3824","5","7","9","10","10","7.56","7.7","0","10","8","8"
"1992","35-65","Realschule","","","","","","","","","","","","","",""
"1992","66 +","(Fach-)Abitur","8.3","8.5","45","6","8","10","10","10","7.75","8.85","2","10","8","10"
"1992","66 +","(noch) kein Abschluss","","","","","","","","","","","","","",""
"1992","66 +","AkademikerIn","","","","","","","","","","","","","",""
"1992","66 +","Hauptschule","","","","","","","","","","","","","",""
"1992","66 +","Realschule","","","","","","","","","","","","","",""
"1993","17-34","(Fach-)Abitur","7.11","6.5","617","4","6","9","10","10","6.93","7.29","0","10","7","8"
"1993","17-34","(noch) kein Abschluss","7.49","7.5","338","4","6","9","10","10","7.22","7.76","0","10","7","8"
"1993","17-34","AkademikerIn","6.46","6.5","410","3","5","8","9","10","6.24","6.68","0","10","7","7"
"1993","17-34","Hauptschule","","","","","","","","","","","","","",""
"1993","17-34","Realschule","","","","","","","","","","","","","",""
