year,migback,sex,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1984,kein Migrationshintergrund,maennlich,7.969472242448591,7.936782276514273,8.002162208382908,7.0,8.0,10.0,2.5,10.0,8.0,8.0,8.0,4001.0
1984,kein Migrationshintergrund,weiblich,8.037487817438457,8.005245899143757,8.069729735733157,7.0,9.0,10.0,2.5,10.0,9.0,9.0,9.0,4432.0
1984,direkter Migrationshintergrund,maennlich,6.9393860807045025,6.873495536031114,7.005276625377891,5.0,8.0,10.0,0.0,10.0,8.0,8.0,8.0,1733.0
1984,direkter Migrationshintergrund,weiblich,7.265574545388012,7.198942852071253,7.332206238704771,5.0,8.0,10.0,0.0,10.0,8.0,8.0,8.0,1545.0
1984,indirekter Migrationshintergrund,maennlich,6.53939370464768,6.178878988653356,6.899908420642005,5.112921728453703,7.0,8.852567681827592,0.0,10.0,7.0,5.974999999999994,9.0,49.0
1984,indirekter Migrationshintergrund,weiblich,6.5483954156984465,6.161281505326169,6.935509326070724,5.0,7.09642713465172,9.0,0.0,10.0,7.0,5.974999999999994,9.0,56.0
1985,kein Migrationshintergrund,maennlich,7.893080970724117,7.860210796934884,7.925951144513351,7.0,8.0,10.0,2.5,10.0,8.0,8.0,8.0,3676.0
1985,kein Migrationshintergrund,weiblich,7.9445858985060385,7.912580572291683,7.976591224720394,7.0,8.0,10.0,2.5,10.0,8.0,8.0,8.0,4054.0
1985,direkter Migrationshintergrund,maennlich,6.979798172643011,6.912988260470113,7.046608084815908,5.0,8.0,9.0,0.0,10.0,8.0,8.0,8.0,1492.0
1985,direkter Migrationshintergrund,weiblich,7.222723681168556,7.152596901412815,7.292850460924297,5.0,8.0,10.0,0.0,10.0,8.0,8.0,8.0,1332.0
1985,indirekter Migrationshintergrund,maennlich,7.816628162895119,7.521338089066954,8.111918236723284,7.0,8.0,10.0,2.5,10.0,8.0,6.0,9.0,50.0
