year,bula_h,regtyp,m11126,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1992,Schleswig-Holstein,Urban regions,Good,0.36081,50,87,0.25931,0.46231
1992,Schleswig-Holstein,Urban regions,Satisfactory,0.28604,37,87,0.19052,0.38155
1992,Schleswig-Holstein,Rural regions,Good,0.38767,52,86,0.28409,0.49125
1992,Schleswig-Holstein,Rural regions,Satisfactory,0.26400,34,86,0.17029,0.35771
1992,Hamburg,Urban regions,Good,0.31910,58,102,0.22819,0.41000
1992,Hamburg,Urban regions,Satisfactory,0.28875,44,102,0.20037,0.37713
1992,Lower Saxony,Urban regions,Very good,0.16064,88,452,0.12675,0.19453
1992,Lower Saxony,Urban regions,Good,0.35038,167,452,0.30635,0.39441
1992,Lower Saxony,Urban regions,Satisfactory,0.31397,136,452,0.27113,0.35680
1992,Lower Saxony,Urban regions,Poor,0.13898,61,452,0.10705,0.17090
1992,Lower Saxony,Rural regions,Very good,0.12398,67,471,0.09418,0.15377
1992,Lower Saxony,Rural regions,Good,0.35822,194,471,0.31487,0.40157
1992,Lower Saxony,Rural regions,Satisfactory,0.33903,157,471,0.29623,0.38183
1992,Lower Saxony,Rural regions,Poor,0.12081,53,471,0.09134,0.15027
1992,Bremen,Urban regions,Good,0.35806,36,36,0.19923,0.51690
1992,North Rhine-Westphalia,Urban regions,Very good,0.14498,425,2451,0.13104,0.15892
1992,North Rhine-Westphalia,Urban regions,Good,0.38906,986,2451,0.36976,0.40837
1992,North Rhine-Westphalia,Urban regions,Satisfactory,0.30768,679,2451,0.28941,0.32596
1992,North Rhine-Westphalia,Urban regions,Poor,0.12452,285,2451,0.11145,0.13760
1992,North Rhine-Westphalia,Urban regions,Bad,0.03375,76,2451,0.02660,0.04090
1992,Hesse,Urban regions,Very good,0.13542,130,809,0.11182,0.15901
1992,Hesse,Urban regions,Good,0.41911,351,809,0.38509,0.45313
1992,Hesse,Urban regions,Satisfactory,0.26528,203,809,0.23484,0.29572
1992,Hesse,Urban regions,Poor,0.12566,89,809,0.10281,0.14852
1992,Hesse,Urban regions,Bad,0.05454,36,809,0.03888,0.07019
1992,Hesse,Rural regions,Good,0.30938,45,85,0.21053,0.40823
1992,Hesse,Rural regions,Satisfactory,0.32525,40,85,0.22507,0.42543
1992,"Rhineland-Palatinate, Saarland",Urban regions,Very good,0.13295,83,527,0.10393,0.16196
1992,"Rhineland-Palatinate, Saarland",Urban regions,Good,0.36784,210,527,0.32663,0.40905
1992,"Rhineland-Palatinate, Saarland",Urban regions,Satisfactory,0.31470,168,527,0.27501,0.35438
1992,"Rhineland-Palatinate, Saarland",Urban regions,Poor,0.13021,66,527,0.10145,0.15897
1992,"Rhineland-Palatinate, Saarland",Rural regions,Good,0.33741,41,81,0.23380,0.44103
1992,"Rhineland-Palatinate, Saarland",Rural regions,Satisfactory,0.43460,40,81,0.32598,0.54323
1992,Baden-Wuerttemberg,Urban regions,Very good,0.12652,233,1519,0.10979,0.14324
1992,Baden-Wuerttemberg,Urban regions,Good,0.39699,625,1519,0.37238,0.42160
1992,Baden-Wuerttemberg,Urban regions,Satisfactory,0.30950,427,1519,0.28625,0.33276
1992,Baden-Wuerttemberg,Urban regions,Poor,0.12410,185,1519,0.10752,0.14069
1992,Baden-Wuerttemberg,Urban regions,Bad,0.04289,49,1519,0.03270,0.05308
1992,Baden-Wuerttemberg,Rural regions,Very good,0.12456,38,220,0.08083,0.16830
1992,Baden-Wuerttemberg,Rural regions,Good,0.38315,90,220,0.31876,0.44754
1992,Baden-Wuerttemberg,Rural regions,Satisfactory,0.27015,60,220,0.21134,0.32896
