year,age_gr,bula_h,m11126,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1992,17-29 y.,Lower Saxony,Very good,0.28415,83,265,0.22974,0.33855
1992,17-29 y.,Lower Saxony,Good,0.44942,126,265,0.38942,0.50943
1992,17-29 y.,Lower Saxony,Satisfactory,0.23568,56,265,0.18448,0.28688
1992,17-29 y.,North Rhine-Westphalia,Very good,0.31739,241,686,0.28253,0.35224
1992,17-29 y.,North Rhine-Westphalia,Good,0.47907,344,686,0.44166,0.51648
1992,17-29 y.,North Rhine-Westphalia,Satisfactory,0.16031,101,686,0.13284,0.18779
1992,17-29 y.,Hesse,Very good,0.33005,90,246,0.27117,0.38893
1992,17-29 y.,Hesse,Good,0.47971,125,246,0.41715,0.54227
1992,17-29 y.,Hesse,Satisfactory,0.13060,31,246,0.08841,0.17280
1992,17-29 y.,"Rhineland-Palatinate, Saarland",Very good,0.22888,44,165,0.16459,0.29318
1992,17-29 y.,"Rhineland-Palatinate, Saarland",Good,0.52050,85,165,0.44404,0.59696
1992,17-29 y.,"Rhineland-Palatinate, Saarland",Satisfactory,0.20553,36,165,0.14368,0.26737
1992,17-29 y.,Baden-Wuerttemberg,Very good,0.26684,174,517,0.22867,0.30500
1992,17-29 y.,Baden-Wuerttemberg,Good,0.51434,258,517,0.47121,0.55746
1992,17-29 y.,Baden-Wuerttemberg,Satisfactory,0.16570,85,517,0.13362,0.19778
1992,17-29 y.,Bavaria,Very good,0.31819,162,464,0.27576,0.36061
1992,17-29 y.,Bavaria,Good,0.51533,239,464,0.46981,0.56086
1992,17-29 y.,Bavaria,Satisfactory,0.12311,63,464,0.09318,0.15304
1992,17-29 y.,Berlin,Very good,0.21703,41,122,0.14358,0.29048
1992,17-29 y.,Berlin,Good,0.55902,81,122,0.47055,0.64749
1992,17-29 y.,Brandenburg,Very good,0.32386,52,122,0.24048,0.40724
1992,17-29 y.,Brandenburg,Good,0.50335,70,122,0.41426,0.59244
1992,17-29 y.,Mecklenburg-Western Pomerania,Very good,0.31668,34,83,0.21599,0.41737
1992,17-29 y.,Mecklenburg-Western Pomerania,Good,0.54370,49,83,0.43590,0.65151
1992,17-29 y.,Saxony,Very good,0.35875,89,217,0.29478,0.42271
1992,17-29 y.,Saxony,Good,0.51518,128,217,0.44853,0.58183
1992,17-29 y.,Saxony-Anhalt,Very good,0.38428,69,156,0.30770,0.46086
1992,17-29 y.,Saxony-Anhalt,Good,0.43250,87,156,0.35451,0.51050
1992,17-29 y.,Thuringa,Very good,0.35349,61,150,0.27673,0.43025
1992,17-29 y.,Thuringa,Good,0.47803,89,150,0.39782,0.55823
1992,30-45 y.,Schleswig-Holstein,Good,0.47433,40,40,0.31761,0.63105
1992,30-45 y.,Lower Saxony,Very good,0.20013,47,221,0.14726,0.25301
1992,30-45 y.,Lower Saxony,Good,0.44139,112,221,0.37577,0.50700
1992,30-45 y.,Lower Saxony,Satisfactory,0.20997,62,221,0.15615,0.26379
1992,30-45 y.,North Rhine-Westphalia,Very good,0.15686,142,818,0.13192,0.18180
1992,30-45 y.,North Rhine-Westphalia,Good,0.47712,385,818,0.44287,0.51137
1992,30-45 y.,North Rhine-Westphalia,Satisfactory,0.26259,216,818,0.23242,0.29277
1992,30-45 y.,North Rhine-Westphalia,Poor,0.08144,75,818,0.06268,0.10019
1992,30-45 y.,Hesse,Very good,0.15973,48,263,0.11537,0.20409
1992,30-45 y.,Hesse,Good,0.48533,146,263,0.42482,0.54585
1992,30-45 y.,Hesse,Satisfactory,0.29120,69,263,0.23618,0.34621
1992,30-45 y.,"Rhineland-Palatinate, Saarland",Good,0.52837,104,146,0.44712,0.60962
1992,30-45 y.,"Rhineland-Palatinate, Saarland",Satisfactory,0.23961,42,146,0.17014,0.30909
1992,30-45 y.,Baden-Wuerttemberg,Very good,0.15825,73,513,0.12663,0.18986
1992,30-45 y.,Baden-Wuerttemberg,Good,0.48083,246,513,0.43756,0.52411
1992,30-45 y.,Baden-Wuerttemberg,Satisfactory,0.25635,139,513,0.21853,0.29417
1992,30-45 y.,Baden-Wuerttemberg,Poor,0.07648,55,513,0.05346,0.09950
1992,30-45 y.,Bavaria,Very good,0.15954,77,476,0.12661,0.19247
1992,30-45 y.,Bavaria,Good,0.51539,242,476,0.47044,0.56033
1992,30-45 y.,Bavaria,Satisfactory,0.23444,121,476,0.19634,0.27254
1992,30-45 y.,Bavaria,Poor,0.07191,36,476,0.04868,0.09514
1992,30-45 y.,Berlin,Very good,0.18021,38,179,0.12374,0.23667
1992,30-45 y.,Berlin,Good,0.47521,94,179,0.40185,0.54857
1992,30-45 y.,Berlin,Satisfactory,0.24552,47,179,0.18229,0.30875
1992,30-45 y.,Brandenburg,Very good,0.16719,45,233,0.11917,0.21520
1992,30-45 y.,Brandenburg,Good,0.55119,133,233,0.48719,0.61519
1992,30-45 y.,Brandenburg,Satisfactory,0.21688,55,233,0.16385,0.26991
1992,30-45 y.,Mecklenburg-Western Pomerania,Good,0.65030,97,97,0.55490,0.74569
1992,30-45 y.,Saxony,Very good,0.12054,51,395,0.08839,0.15269
1992,30-45 y.,Saxony,Good,0.64470,259,395,0.59744,0.69196
1992,30-45 y.,Saxony,Satisfactory,0.19183,85,395,0.15295,0.23071
1992,30-45 y.,Saxony-Anhalt,Very good,0.17880,42,252,0.13139,0.22620
1992,30-45 y.,Saxony-Anhalt,Good,0.50788,148,252,0.44603,0.56973
1992,30-45 y.,Saxony-Anhalt,Satisfactory,0.22778,62,252,0.17590,0.27967
1992,30-45 y.,Thuringa,Very good,0.15920,38,220,0.11074,0.20765
1992,30-45 y.,Thuringa,Good,0.59705,140,220,0.53209,0.66202
1992,30-45 y.,Thuringa,Satisfactory,0.16977,42,220,0.12005,0.21949
1992,46-65 y.,Schleswig-Holstein,Good,0.36851,31,31,0.19589,0.54114
1992,46-65 y.,Lower Saxony,Good,0.31623,103,282,0.26186,0.37060
1992,46-65 y.,Lower Saxony,Satisfactory,0.41226,127,282,0.35471,0.46982
1992,46-65 y.,Lower Saxony,Poor,0.12833,52,282,0.08923,0.16744
1992,46-65 y.,North Rhine-Westphalia,Very good,0.06979,50,721,0.05118,0.08840
1992,46-65 y.,North Rhine-Westphalia,Good,0.34106,243,721,0.30643,0.37569
1992,46-65 y.,North Rhine-Westphalia,Satisfactory,0.38479,264,721,0.34925,0.42033
1992,46-65 y.,North Rhine-Westphalia,Poor,0.15620,126,721,0.12968,0.18272
1992,46-65 y.,North Rhine-Westphalia,Bad,0.04441,38,721,0.02937,0.05946
1992,46-65 y.,Hesse,Good,0.37330,100,254,0.31370,0.43290
1992,46-65 y.,Hesse,Satisfactory,0.33660,103,254,0.27837,0.39482
