"m11126","year","bildungsniveau","sampreg","n","percent","lower_confidence","upper_confidence"
"Sehr gut","1992","(noch) kein Abschluss","Westdeutschland","136","0.232068584417148","0.202833710385317","0.261303458448979"
"Sehr gut","1992","(noch) kein Abschluss","Ostdeutschland","","","",""
"Sehr gut","1992","Hauptschule","Westdeutschland","649","0.100511549452312","0.092269059087942","0.108754039816683"
"Sehr gut","1992","Hauptschule","Ostdeutschland","108","0.0696121074216366","0.0563473961216371","0.0828768187216361"
"Sehr gut","1992","Realschule","Westdeutschland","316","0.151036055326054","0.133867063003901","0.168205047648206"
"Sehr gut","1992","Realschule","Ostdeutschland","312","0.22027785450053","0.198790283233841","0.24176542576722"
"Sehr gut","1992","(Fach-)Abitur","Westdeutschland","188","0.214918424207685","0.186073222597472","0.243763625817899"
"Sehr gut","1992","(Fach-)Abitur","Ostdeutschland","30","0.207241994620182","0.133480739794436","0.281003249445929"
"Sehr gut","1992","AkademikerIn","Westdeutschland","147","0.182638525160554","0.154744086588635","0.210532963732473"
"Sehr gut","1992","AkademikerIn","Ostdeutschland","141","0.151785614409658","0.128511089453043","0.175060139366274"
"Gut","1992","(noch) kein Abschluss","Westdeutschland","275","0.358133052034567","0.324930111979676","0.391335992089459"
"Gut","1992","(noch) kein Abschluss","Ostdeutschland","","","",""
"Gut","1992","Hauptschule","Westdeutschland","1880","0.334383725288284","0.321451084932025","0.347316365644543"
"Gut","1992","Hauptschule","Ostdeutschland","487","0.312271579956183","0.288117077149492","0.336426082762874"
"Gut","1992","Realschule","Westdeutschland","774","0.442997487237114","0.4191803765676","0.466814597906627"
"Gut","1992","Realschule","Ostdeutschland","755","0.516082048360249","0.490171463295066","0.541992633425432"
"Gut","1992","(Fach-)Abitur","Westdeutschland","356","0.474887666009089","0.43982048001528","0.509954852002898"
"Gut","1992","(Fach-)Abitur","Ostdeutschland","55","0.480144732927842","0.389227459020074","0.571062006835609"
"Gut","1992","AkademikerIn","Westdeutschland","350","0.459514022160304","0.423534453959068","0.49549359036154"
"Gut","1992","AkademikerIn","Ostdeutschland","474","0.484541489918279","0.452124323950009","0.516958655886549"
"Zufriedenstellend","1992","(noch) kein Abschluss","Westdeutschland","203","0.214041536718162","0.185637461073856","0.242445612362469"
"Zufriedenstellend","1992","(noch) kein Abschluss","Ostdeutschland","","","",""
"Zufriedenstellend","1992","Hauptschule","Westdeutschland","1635","0.350457941332495","0.337378949760921","0.36353693290407"
"Zufriedenstellend","1992","Hauptschule","Ostdeutschland","548","0.39681519980621","0.371315050078805","0.422315349533615"
"Zufriedenstellend","1992","Realschule","Westdeutschland","414","0.284170636633525","0.262545731008777","0.305795542258273"
"Zufriedenstellend","1992","Realschule","Ostdeutschland","281","0.199851875503284","0.17911843921406","0.220585311792508"
"Zufriedenstellend","1992","(Fach-)Abitur","Westdeutschland","155","0.199109060481429","0.171066893955981","0.227151227006877"
