"m11126","year","bula_h","migback","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Sehr gut","1992","Schleswig-Holstein","kein Migrationshintergrund","38","0.15324984076832","0.107290927704342","0.199208753832298"
"Sehr gut","1992","Schleswig-Holstein","direkter Migrationshintergrund","8","","",""
"Sehr gut","1992","Schleswig-Holstein","indirekter Migrationshintergrund","1","","",""
"Sehr gut","1992","Schleswig-Holstein","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr gut","1992","Hamburg","kein Migrationshintergrund","15","","",""
"Sehr gut","1992","Hamburg","direkter Migrationshintergrund","4","","",""
"Sehr gut","1992","Hamburg","indirekter Migrationshintergrund","1","","",""
"Sehr gut","1992","Hamburg","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr gut","1992","Niedersachsen","kein Migrationshintergrund","124","0.140560335124118","0.116460515615254","0.164660154632981"
"Sehr gut","1992","Niedersachsen","direkter Migrationshintergrund","16","","",""
"Sehr gut","1992","Niedersachsen","indirekter Migrationshintergrund","17","","",""
"Sehr gut","1992","Niedersachsen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr gut","1992","Bremen","kein Migrationshintergrund","9","","",""
"Sehr gut","1992","Bremen","direkter Migrationshintergrund","2","","",""
"Sehr gut","1992","Bremen","indirekter Migrationshintergrund","1","","",""
"Sehr gut","1992","Bremen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr gut","1992","Nordrhein-Westfalen","kein Migrationshintergrund","281","0.13607521828642","0.120111144808478","0.152039291764361"
"Sehr gut","1992","Nordrhein-Westfalen","direkter Migrationshintergrund","111","0.171257840020165","0.141909659375845","0.200606020664486"
"Sehr gut","1992","Nordrhein-Westfalen","indirekter Migrationshintergrund","45","0.405202992425173","0.313874285011385","0.49653169983896"
"Sehr gut","1992","Nordrhein-Westfalen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr gut","1992","Hessen","kein Migrationshintergrund","81","0.126906167744805","0.100001275751658","0.153811059737951"
"Sehr gut","1992","Hessen","direkter Migrationshintergrund","50","0.130938138122903","0.0938621309555626","0.168014145290244"
"Sehr gut","1992","Hessen","indirekter Migrationshintergrund","24","","",""
"Sehr gut","1992","Hessen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr gut","1992","Rheinland-Pfalz,Saarland","kein Migrationshintergrund","65","0.109401220722051","0.082851927612558","0.135950513831544"
"Sehr gut","1992","Rheinland-Pfalz,Saarland","direkter Migrationshintergrund","20","","",""
"Sehr gut","1992","Rheinland-Pfalz,Saarland","indirekter Migrationshintergrund","7","","",""
"Sehr gut","1992","Rheinland-Pfalz,Saarland","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr gut","1992","Baden-Wuerttemberg","kein Migrationshintergrund","131","0.114607754604402","0.0947548157885232","0.134460693420281"
"Sehr gut","1992","Baden-Wuerttemberg","direkter Migrationshintergrund","98","0.152930432637085","0.125738062881711","0.180122802392458"
"Sehr gut","1992","Baden-Wuerttemberg","indirekter Migrationshintergrund","42","0.324626262148224","0.231445526687546","0.417806997608902"
"Sehr gut","1992","Baden-Wuerttemberg","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr gut","1992","Bayern","kein Migrationshintergrund","198","0.136592583002858","0.117306417323503","0.155878748682213"
"Sehr gut","1992","Bayern","direkter Migrationshintergrund","53","0.14486959391729","0.108460852820035","0.181278335014545"
"Sehr gut","1992","Bayern","indirekter Migrationshintergrund","21","","",""
"Sehr gut","1992","Bayern","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr gut","1992","Saarland","kein Migrationshintergrund","","","",""
"Sehr gut","1992","Saarland","direkter Migrationshintergrund","","","",""
"Sehr gut","1992","Saarland","indirekter Migrationshintergrund","","","",""
"Sehr gut","1992","Saarland","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr gut","1992","Berlin","kein Migrationshintergrund","75","0.128177606983861","0.0980518748514405","0.158303339116281"
"Sehr gut","1992","Berlin","direkter Migrationshintergrund","10","","",""
"Sehr gut","1992","Berlin","indirekter Migrationshintergrund","8","","",""
"Sehr gut","1992","Berlin","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr gut","1992","Brandenburg","kein Migrationshintergrund","110","0.148121686228522","0.120558091444646","0.175685281012397"
"Sehr gut","1992","Brandenburg","direkter Migrationshintergrund","3","","",""
"Sehr gut","1992","Brandenburg","indirekter Migrationshintergrund","","","",""
"Sehr gut","1992","Brandenburg","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr gut","1992","Mecklenburg-Vorpommern","kein Migrationshintergrund","59","0.130018517990787","0.0971005123964248","0.16293652358515"
"Sehr gut","1992","Mecklenburg-Vorpommern","direkter Migrationshintergrund","3","","",""
"Sehr gut","1992","Mecklenburg-Vorpommern","indirekter Migrationshintergrund","1","","",""
"Sehr gut","1992","Mecklenburg-Vorpommern","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr gut","1992","Sachsen","kein Migrationshintergrund","159","0.130108327565136","0.110370419236919","0.149846235893353"
"Sehr gut","1992","Sachsen","direkter Migrationshintergrund","3","","",""
"Sehr gut","1992","Sachsen","indirekter Migrationshintergrund","","","",""
"Sehr gut","1992","Sachsen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr gut","1992","Sachsen-Anhalt","kein Migrationshintergrund","125","0.178096232309177","0.150474418168725","0.205718046449629"
"Sehr gut","1992","Sachsen-Anhalt","direkter Migrationshintergrund","2","","",""
"Sehr gut","1992","Sachsen-Anhalt","indirekter Migrationshintergrund","1","","",""
"Sehr gut","1992","Sachsen-Anhalt","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr gut","1992","Thueringen","kein Migrationshintergrund","99","0.136564221618155","0.11024683842597","0.162881604810339"
"Sehr gut","1992","Thueringen","direkter Migrationshintergrund","3","","",""
"Sehr gut","1992","Thueringen","indirekter Migrationshintergrund","1","","",""
"Sehr gut","1992","Thueringen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Gut","1992","Schleswig-Holstein","kein Migrationshintergrund","94","0.387199307437266","0.325052474828721","0.449346140045811"
"Gut","1992","Schleswig-Holstein","direkter Migrationshintergrund","7","","",""
"Gut","1992","Schleswig-Holstein","indirekter Migrationshintergrund","3","","",""
"Gut","1992","Schleswig-Holstein","Migrationshintergrund - n. w. differenzierbar","","","",""
"Gut","1992","Hamburg","kein Migrationshintergrund","41","0.32279323816162","0.234204389102421","0.411382087220819"
"Gut","1992","Hamburg","direkter Migrationshintergrund","13","","",""
"Gut","1992","Hamburg","indirekter Migrationshintergrund","4","","",""
"Gut","1992","Hamburg","Migrationshintergrund - n. w. differenzierbar","","","",""
"Gut","1992","Niedersachsen","kein Migrationshintergrund","302","0.356802179454602","0.323585154505095","0.39001920440411"
"Gut","1992","Niedersachsen","direkter Migrationshintergrund","50","0.324901593472585","0.247044147509576","0.402759039435594"
"Gut","1992","Niedersachsen","indirekter Migrationshintergrund","10","","",""
"Gut","1992","Niedersachsen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Gut","1992","Bremen","kein Migrationshintergrund","31","0.362300285649786","0.257624065712406","0.466976505587165"
"Gut","1992","Bremen","direkter Migrationshintergrund","4","","",""
"Gut","1992","Bremen","indirekter Migrationshintergrund","1","","",""
"Gut","1992","Bremen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Gut","1992","Nordrhein-Westfalen","kein Migrationshintergrund","726","0.395836578546434","0.373067187901497","0.418605969191371"
"Gut","1992","Nordrhein-Westfalen","direkter Migrationshintergrund","240","0.36316398476879","0.325700218914025","0.400627750623554"
"Gut","1992","Nordrhein-Westfalen","indirekter Migrationshintergrund","50","0.346533027982884","0.258007048760134","0.435059007205634"
"Gut","1992","Nordrhein-Westfalen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Gut","1992","Hessen","kein Migrationshintergrund","244","0.392698989936197","0.353226790921982","0.432171188950412"
"Gut","1992","Hessen","direkter Migrationshintergrund","138","0.429781269716451","0.375371233788092","0.484191305644811"
"Gut","1992","Hessen","indirekter Migrationshintergrund","15","","",""
"Gut","1992","Hessen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Gut","1992","Rheinland-Pfalz,Saarland","kein Migrationshintergrund","194","0.35118317802285","0.31058292562074","0.39178343042496"
"Gut","1992","Rheinland-Pfalz,Saarland","direkter Migrationshintergrund","48","0.473574788642765","0.381104607831542","0.566044969453988"
"Gut","1992","Rheinland-Pfalz,Saarland","indirekter Migrationshintergrund","9","","",""
"Gut","1992","Rheinland-Pfalz,Saarland","Migrationshintergrund - n. w. differenzierbar","","","",""
"Gut","1992","Baden-Wuerttemberg","kein Migrationshintergrund","413","0.40105988525177","0.370514454174365","0.431605316329176"
"Gut","1992","Baden-Wuerttemberg","direkter Migrationshintergrund","269","0.373328658603442","0.336785495109523","0.409871822097362"
"Gut","1992","Baden-Wuerttemberg","indirekter Migrationshintergrund","34","0.386362556870473","0.289464366715161","0.483260747025785"
"Gut","1992","Baden-Wuerttemberg","Migrationshintergrund - n. w. differenzierbar","","","",""
"Gut","1992","Bayern","kein Migrationshintergrund","494","0.382102777244473","0.354814716973687","0.409390837515258"
"Gut","1992","Bayern","direkter Migrationshintergrund","148","0.431800366827855","0.380562287150032","0.483038446505678"
"Gut","1992","Bayern","indirekter Migrationshintergrund","25","","",""
"Gut","1992","Bayern","Migrationshintergrund - n. w. differenzierbar","","","",""
"Gut","1992","Saarland","kein Migrationshintergrund","","","",""
"Gut","1992","Saarland","direkter Migrationshintergrund","","","",""
"Gut","1992","Saarland","indirekter Migrationshintergrund","","","",""
"Gut","1992","Saarland","Migrationshintergrund - n. w. differenzierbar","","","",""
"Gut","1992","Berlin","kein Migrationshintergrund","193","0.37392126434048","0.330317691226865","0.417524837454096"
"Gut","1992","Berlin","direkter Migrationshintergrund","40","0.399875265438178","0.305270609019295","0.494479921857061"
"Gut","1992","Berlin","indirekter Migrationshintergrund","10","","",""
"Gut","1992","Berlin","Migrationshintergrund - n. w. differenzierbar","","","",""
"Gut","1992","Brandenburg","kein Migrationshintergrund","272","0.413573415196573","0.375359557337474","0.451787273055673"
"Gut","1992","Brandenburg","direkter Migrationshintergrund","8","","",""
"Gut","1992","Brandenburg","indirekter Migrationshintergrund","1","","",""
"Gut","1992","Brandenburg","Migrationshintergrund - n. w. differenzierbar","","","",""
"Gut","1992","Mecklenburg-Vorpommern","kein Migrationshintergrund","201","0.4840162423765","0.435103288818733","0.532929195934267"
"Gut","1992","Mecklenburg-Vorpommern","direkter Migrationshintergrund","5","","",""
"Gut","1992","Mecklenburg-Vorpommern","indirekter Migrationshintergrund","1","","",""
"Gut","1992","Mecklenburg-Vorpommern","Migrationshintergrund - n. w. differenzierbar","","","",""
"Gut","1992","Sachsen","kein Migrationshintergrund","512","0.414367674162243","0.385466103312269","0.443269245012218"
"Gut","1992","Sachsen","direkter Migrationshintergrund","13","","",""
"Gut","1992","Sachsen","indirekter Migrationshintergrund","1","","",""
"Gut","1992","Sachsen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Gut","1992","Sachsen-Anhalt","kein Migrationshintergrund","320","0.37642375597387","0.341445541215971","0.411401970731768"
"Gut","1992","Sachsen-Anhalt","direkter Migrationshintergrund","8","","",""
"Gut","1992","Sachsen-Anhalt","indirekter Migrationshintergrund","1","","",""
"Gut","1992","Sachsen-Anhalt","Migrationshintergrund - n. w. differenzierbar","","","",""
"Gut","1992","Thueringen","kein Migrationshintergrund","315","0.432483903307172","0.394514542777425","0.470453263836918"
"Gut","1992","Thueringen","direkter Migrationshintergrund","9","","",""
"Gut","1992","Thueringen","indirekter Migrationshintergrund","1","","",""
"Gut","1992","Thueringen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Zufriedenstellend","1992","Schleswig-Holstein","kein Migrationshintergrund","63","0.27370862433282","0.216824408697936","0.330592839967703"
"Zufriedenstellend","1992","Schleswig-Holstein","direkter Migrationshintergrund","7","","",""
"Zufriedenstellend","1992","Schleswig-Holstein","indirekter Migrationshintergrund","1","","",""
"Zufriedenstellend","1992","Schleswig-Holstein","Migrationshintergrund - n. w. differenzierbar","","","",""
"Zufriedenstellend","1992","Hamburg","kein Migrationshintergrund","31","0.282435943770714","0.19713643637657","0.367735451164858"
"Zufriedenstellend","1992","Hamburg","direkter Migrationshintergrund","12","","",""
"Zufriedenstellend","1992","Hamburg","indirekter Migrationshintergrund","1","","",""
"Zufriedenstellend","1992","Hamburg","Migrationshintergrund - n. w. differenzierbar","","","",""
"Zufriedenstellend","1992","Niedersachsen","kein Migrationshintergrund","252","0.328377536224524","0.295814564794053","0.360940507654995"
"Zufriedenstellend","1992","Niedersachsen","direkter Migrationshintergrund","40","0.342399816620719","0.263515909074605","0.421283724166832"
"Zufriedenstellend","1992","Niedersachsen","indirekter Migrationshintergrund","1","","",""
"Zufriedenstellend","1992","Niedersachsen","Migrationshintergrund - n. w. differenzierbar","","","",""
