year,sampreg,sex,m11126,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1992,West,male,Very good,0.058768850796106775,837,13290,0.058711886709140064,0.058825814883073486
1992,West,male,Good,0.15835371528490375,1909,13290,0.15826529369291417,0.15844213687689332
1992,West,male,Satisfactory,0.11062417357979552,1202,13290,0.1105482027139496,0.11070014444564144
1992,West,male,Poor,0.04001782031072616,458,13290,0.039970348292414644,0.04006529232903768
1992,West,male,Bad,0.01573522760148399,160,13290,0.015705085614264157,0.01576536958870382
1992,West,female,Very good,0.05016800646238949,665,13290,0.0501151356218547,0.05022087730292428
1992,West,female,Good,0.14610297493689903,1809,13290,0.14601742657937494,0.1461885232944231
1992,West,female,Satisfactory,0.1344299098830194,1426,13290,0.13434729116150637,0.13451252860453242
1992,West,female,Poor,0.061482634814256566,637,13290,0.06142445440287973,0.0615408152256334
1992,West,female,Bad,0.02297485172146362,221,13290,0.022938564089702518,0.02301113935322472
1992,East,male,Very good,0.01620308737661351,332,13290,0.01617250783221471,0.01623366692101231
1992,East,male,Good,0.04288114178429923,881,13290,0.04283207410671353,0.04293020946188492
1992,East,male,Satisfactory,0.02659873804156518,499,13290,0.026559765757034327,0.02663771032609603
1992,East,male,Poor,0.0073768894721031675,126,13290,0.007356163818974513,0.007397615125231822
1992,East,male,Bad,0.0031754439119106572,48,13290,0.003161817202865228,0.0031890706209560865
1992,East,female,Very good,0.013119349515184044,291,13290,0.01309179023538066,0.013146908794987427
1992,East,female,Good,0.04164737302707169,919,13290,0.04159898522770904,0.041695760826434336
1992,East,female,Satisfactory,0.033317155400974026,600,13290,0.03327368883216662,0.03336062196978143
1992,East,female,Poor,0.012670243613863742,208,13290,0.012643153988958655,0.01269733323876883
1992,East,female,Bad,0.004352412465370526,62,13290,0.004336468466989543,0.004368356463751509
1994,West,male,Very good,0.0399909305787893,549,12847,0.03994369004992865,0.040038171107649956
1994,West,male,Good,0.1588688034160088,1908,12847,0.1587806685983195,0.15895693823369814
1994,West,male,Satisfactory,0.12004685896778787,1262,12847,0.1199684976913975,0.12012522024417824
1994,West,male,Poor,0.05099692968695169,538,12847,0.050943889853519296,0.05104996952038409
1994,West,male,Bad,0.0143049173285509,148,12847,0.01427628805692663,0.01433354660017517
1994,West,female,Very good,0.03237823376744107,463,12847,0.032335558552268134,0.032420908982614
1994,West,female,Good,0.1441530720942695,1758,12847,0.14406838712641287,0.14423775706212613
1994,West,female,Satisfactory,0.14394571904204354,1486,12847,0.14386108475183623,0.14403035333225084
1994,West,female,Poor,0.07469687582061298,762,12847,0.07463349037306853,0.07476026126815742
1994,West,female,Bad,0.022029657978919055,199,12847,0.021994269406178147,0.022065046551659962
1994,East,male,Very good,0.008836875355402646,176,12847,0.008814311242683772,0.00885943946812152
1994,East,male,Good,0.0389818575334453,767,12847,0.03893519230608727,0.039028522760803326
1994,East,male,Satisfactory,0.03552035386265773,634,12847,0.035475728526236865,0.03556497919907859
1994,East,male,Poor,0.009662983612458301,165,12847,0.00963939820108832,0.009686569023828282
1994,East,male,Bad,0.002943021550946754,53,12847,0.0029299612544106102,0.002956081847482898
1994,East,female,Very good,0.007292172475851365,152,12847,0.007271659176531302,0.007312685775171427
1994,East,female,Good,0.03710227102741781,789,12847,0.03705670022709036,0.03714784182774526
1994,East,female,Satisfactory,0.037547098247818794,688,12847,0.03750126567253167,0.03759293082310592
1994,East,female,Poor,0.015864738492553945,285,12847,0.015834612581940168,0.015894864403167723
1994,East,female,Bad,0.004836629160072633,65,12847,0.004819902281119789,0.004853356039025478
1995,West,male,Very good,0.038790114716080695,566,13243,0.03874356592200036,0.03883666351016103
1995,West,male,Good,0.15806527100291815,1992,13243,0.1579773290247691,0.1581532129810672
1995,West,male,Satisfactory,0.12733039061162887,1382,13243,0.12725003249495043,0.12741074872830732
1995,West,male,Poor,0.04971783187403031,551,13243,0.04966543309483303,0.04977023065322759
1995,West,male,Bad,0.013522134653725664,148,13243,0.01349429235500031,0.013549976952451017
1995,West,female,Very good,0.03036255113568188,451,13243,0.030321188080642703,0.030403914190721058
1995,West,female,Good,0.1526747814902964,1966,13243,0.15258807581843506,0.15276148716215773
1995,West,female,Satisfactory,0.141086253589403,1527,13243,0.14100233543662505,0.14117017174218094
1995,West,female,Poor,0.07339796460388147,768,13243,0.07333509692569364,0.0734608322820693
1995,West,female,Bad,0.02118896167478403,210,13243,0.021154244605588565,0.021223678743979495
1995,East,male,Very good,0.006875938599966731,146,13243,0.006856017810981802,0.006895859388951659
1995,East,male,Good,0.03986775525558989,771,13243,0.03982059075855546,0.03991491975262432
1995,East,male,Satisfactory,0.03326262536012931,607,13243,0.0332193967467828,0.033305853973475824
1995,East,male,Poor,0.010352272070587127,183,13243,0.010327871670762757,0.010376672470411498
1995,East,male,Bad,0.002547985785852141,39,13243,0.002535832791546053,0.0025601387801582292
1995,East,female,Very good,0.006259214057404589,140,13243,0.006240201731614553,0.006278226383194625
