year,pgisced97,sex,m11126,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1992,No answer / don't know,male,Very good,0.34140,33,65,0.22523,0.45758
1992,No answer / don't know,male,Good,0.37985,32,65,0.26094,0.49876
1992,No answer / don't know,female,Good,0.35705,39,39,0.20471,0.50939
1992,Pre-primary Level,male,Very good,0.51280,48,88,0.40777,0.61783
1992,Pre-primary Level,male,Good,0.43950,40,88,0.33521,0.54380
1992,Pre-primary Level,female,Very good,0.36503,37,74,0.25459,0.47547
1992,Pre-primary Level,female,Good,0.40952,37,74,0.29672,0.52233
1992,Primary Level,male,Very good,0.18818,39,238,0.13841,0.23794
1992,Primary Level,male,Good,0.29651,78,238,0.23837,0.35466
1992,Primary Level,male,Satisfactory,0.32794,76,238,0.26817,0.38771
1992,Primary Level,male,Poor,0.12784,45,238,0.08533,0.17035
1992,Primary Level,female,Very good,0.12408,34,347,0.08934,0.15881
1992,Primary Level,female,Good,0.32714,123,347,0.27770,0.37658
1992,Primary Level,female,Satisfactory,0.25555,108,347,0.20959,0.30151
1992,Primary Level,female,Poor,0.19095,82,347,0.14954,0.23237
1992,Lower Secondary Level,male,Very good,0.19226,230,971,0.16746,0.21706
1992,Lower Secondary Level,male,Good,0.38416,406,971,0.35355,0.41477
1992,Lower Secondary Level,male,Satisfactory,0.25557,200,971,0.22812,0.28301
1992,Lower Secondary Level,male,Poor,0.12158,97,971,0.10101,0.14214
1992,Lower Secondary Level,male,Bad,0.04643,38,971,0.03319,0.05968
1992,Lower Secondary Level,female,Very good,0.07594,196,1808,0.06372,0.08815
1992,Lower Secondary Level,female,Good,0.25800,554,1808,0.23782,0.27817
1992,Lower Secondary Level,female,Satisfactory,0.40506,655,1808,0.38243,0.42770
1992,Lower Secondary Level,female,Poor,0.19023,301,1808,0.17213,0.20833
1992,Lower Secondary Level,female,Bad,0.07077,102,1808,0.05895,0.08260
1992,Upper Secondary Level,male,Very good,0.14039,570,3430,0.12876,0.15202
1992,Upper Secondary Level,male,Good,0.41633,1480,3430,0.39983,0.43283
1992,Upper Secondary Level,male,Satisfactory,0.30050,954,3430,0.28515,0.31584
1992,Upper Secondary Level,male,Poor,0.10242,316,3430,0.09227,0.11257
1992,Upper Secondary Level,male,Bad,0.04036,110,3430,0.03377,0.04695
1992,Upper Secondary Level,female,Very good,0.12544,453,3279,0.11410,0.13678
1992,Upper Secondary Level,female,Good,0.39614,1403,3279,0.37940,0.41288
