"m11126","year","regtyp","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Sehr gut","1992","Staedtischer Raum","maennlich","775","0.158570282312244","0.147520678747087","0.169619885877401"
"Sehr gut","1992","Staedtischer Raum","weiblich","605","0.118912789132093","0.109378945678662","0.128446632585524"
"Sehr gut","1992","Laendlicher Raum","maennlich","375","0.148482434526114","0.133617308605722","0.163347560446507"
"Sehr gut","1992","Laendlicher Raum","weiblich","336","0.125135690091682","0.111749638557517","0.138521741625846"
"Gut","1992","Staedtischer Raum","maennlich","1807","","",""
"Gut","1992","Staedtischer Raum","weiblich","1753","","",""
"Gut","1992","Laendlicher Raum","maennlich","959","0.414038545131725","0.393446989467085","0.434630100796365"
"Gut","1992","Laendlicher Raum","weiblich","949","0.360269123439338","0.340846686329716","0.379691560548961"
"Zufriedenstellend","1992","Staedtischer Raum","maennlich","1091","","",""
"Zufriedenstellend","1992","Staedtischer Raum","weiblich","1302","","",""
"Zufriedenstellend","1992","Laendlicher Raum","maennlich","601","0.297835009131481","0.278717042204491","0.316952976058471"
"Zufriedenstellend","1992","Laendlicher Raum","weiblich","709","0.323258558251295","0.304336082900883","0.342181033601707"
"Weniger gut","1992","Staedtischer Raum","maennlich","402","0.101882530802105","0.0927320627708075","0.111032998833403"
"Weniger gut","1992","Staedtischer Raum","weiblich","581","0.144429344150733","0.134075540020223","0.154783148281244"
"Weniger gut","1992","Laendlicher Raum","maennlich","179","","",""
"Weniger gut","1992","Laendlicher Raum","weiblich","260","","",""
"Schlecht","1992","Staedtischer Raum","maennlich","123","","",""
"Schlecht","1992","Staedtischer Raum","weiblich","187","","",""
"Schlecht","1992","Laendlicher Raum","maennlich","84","0.0465729070422489","0.0377635408174689","0.055382273267029"
"Schlecht","1992","Laendlicher Raum","weiblich","93","0.0522514449644864","0.0432484446735613","0.0612544452554115"
"Sehr gut","1993","Staedtischer Raum","maennlich","","","",""
"Sehr gut","1993","Staedtischer Raum","weiblich","","","",""
"Sehr gut","1993","Laendlicher Raum","maennlich","","","",""
"Sehr gut","1993","Laendlicher Raum","weiblich","","","",""
"Gut","1993","Staedtischer Raum","maennlich","","","",""
"Gut","1993","Staedtischer Raum","weiblich","","","",""
"Gut","1993","Laendlicher Raum","maennlich","","","",""
"Gut","1993","Laendlicher Raum","weiblich","","","",""
"Zufriedenstellend","1993","Staedtischer Raum","maennlich","","","",""
"Zufriedenstellend","1993","Staedtischer Raum","weiblich","","","",""
"Zufriedenstellend","1993","Laendlicher Raum","maennlich","","","",""
"Zufriedenstellend","1993","Laendlicher Raum","weiblich","","","",""
"Weniger gut","1993","Staedtischer Raum","maennlich","","","",""
"Weniger gut","1993","Staedtischer Raum","weiblich","","","",""
"Weniger gut","1993","Laendlicher Raum","maennlich","","","",""
"Weniger gut","1993","Laendlicher Raum","weiblich","","","",""
"Schlecht","1993","Staedtischer Raum","maennlich","","","",""
"Schlecht","1993","Staedtischer Raum","weiblich","","","",""
"Schlecht","1993","Laendlicher Raum","maennlich","","","",""
"Schlecht","1993","Laendlicher Raum","weiblich","","","",""
"Sehr gut","1994","Staedtischer Raum","maennlich","478","0.0986842872166474","0.0895195483642428","0.107849026069052"
"Sehr gut","1994","Staedtischer Raum","weiblich","421","0.0783561308446836","0.0703812661926136","0.0863309954967536"
"Sehr gut","1994","Laendlicher Raum","maennlich","247","","",""
"Sehr gut","1994","Laendlicher Raum","weiblich","194","","",""
"Gut","1994","Staedtischer Raum","maennlich","1756","","",""
"Gut","1994","Staedtischer Raum","weiblich","1645","","",""
"Gut","1994","Laendlicher Raum","maennlich","919","0.404489518035816","0.38365646920453","0.425322566867102"
"Gut","1994","Laendlicher Raum","weiblich","902","0.357982103974278","0.338325467140075","0.377638740808481"
"Zufriedenstellend","1994","Staedtischer Raum","maennlich","1200","","",""
"Zufriedenstellend","1994","Staedtischer Raum","weiblich","1394","","",""
"Zufriedenstellend","1994","Laendlicher Raum","maennlich","696","0.348145510530125","0.327924157052503","0.368366864007747"
"Zufriedenstellend","1994","Laendlicher Raum","weiblich","780","0.354195873373095","0.334585893621318","0.373805853124873"
"Weniger gut","1994","Staedtischer Raum","maennlich","498","0.136035933677397","0.125500988506216","0.146570878848578"
"Weniger gut","1994","Staedtischer Raum","weiblich","730","0.179281523103275","0.167898171970337","0.190664874236212"
"Weniger gut","1994","Laendlicher Raum","maennlich","205","","",""
"Weniger gut","1994","Laendlicher Raum","weiblich","317","0.163018686029079","0.147873257562804","0.178164114495353"
"Schlecht","1994","Staedtischer Raum","maennlich","136","","",""
"Schlecht","1994","Staedtischer Raum","weiblich","172","","",""
"Schlecht","1994","Laendlicher Raum","maennlich","65","0.0338471980543382","0.026171130979419","0.0415232651292575"
"Schlecht","1994","Laendlicher Raum","weiblich","92","0.0530601205018054","0.0438693841450528","0.062250856858558"
"Sehr gut","1995","Staedtischer Raum","maennlich","487","0.0949976545631282","0.0861003750378712","0.103894934088385"
"Sehr gut","1995","Staedtischer Raum","weiblich","398","0.0713639414912912","0.0638449550213029","0.0788829279612795"
"Sehr gut","1995","Laendlicher Raum","maennlich","225","","",""
"Sehr gut","1995","Laendlicher Raum","weiblich","193","","",""
"Gut","1995","Staedtischer Raum","maennlich","1801","","",""
"Gut","1995","Staedtischer Raum","weiblich","1762","","",""
"Gut","1995","Laendlicher Raum","maennlich","962","0.408570912992809","0.388090323798785","0.429051502186833"
"Gut","1995","Laendlicher Raum","weiblich","934","0.367606397090311","0.348133171298206","0.387079622882416"
"Zufriedenstellend","1995","Staedtischer Raum","maennlich","1258","","",""
"Zufriedenstellend","1995","Staedtischer Raum","weiblich","1432","","",""
"Zufriedenstellend","1995","Laendlicher Raum","maennlich","731","0.346854726623909","0.327024116020705","0.366685337227113"
"Zufriedenstellend","1995","Laendlicher Raum","weiblich","799","0.342231674457262","0.323069304764354","0.361394044150171"
"Weniger gut","1995","Staedtischer Raum","maennlich","496","0.128263053648417","0.118116478991399","0.138409628305435"
"Weniger gut","1995","Staedtischer Raum","weiblich","711","0.171186554146146","0.160184840508637","0.182188267783656"
"Weniger gut","1995","Laendlicher Raum","maennlich","238","","",""
"Weniger gut","1995","Laendlicher Raum","weiblich","344","0.176987229874513","0.161572820519497","0.19240163922953"
"Schlecht","1995","Staedtischer Raum","maennlich","130","","",""
"Schlecht","1995","Staedtischer Raum","weiblich","200","","",""
"Schlecht","1995","Laendlicher Raum","maennlich","57","0.031056771933019","0.0238293284153504","0.0382842154506877"
"Schlecht","1995","Laendlicher Raum","weiblich","85","0.0447622495441185","0.0364107526121339","0.0531137464761032"
"Sehr gut","1996","Staedtischer Raum","maennlich","464","0.0909960158571287","0.0821699874567911","0.0998220442574663"
"Sehr gut","1996","Staedtischer Raum","weiblich","432","0.0843542880763308","0.0761545790286675","0.092553997123994"
"Sehr gut","1996","Laendlicher Raum","maennlich","198","","",""
"Sehr gut","1996","Laendlicher Raum","weiblich","194","","",""
"Gut","1996","Staedtischer Raum","maennlich","1706","","",""
"Gut","1996","Staedtischer Raum","weiblich","1679","","",""
"Gut","1996","Laendlicher Raum","maennlich","964","0.424576708538086","0.403922500266655","0.445230916809516"
"Gut","1996","Laendlicher Raum","weiblich","887","0.349436163261363","0.330072290065778","0.368800036456947"
"Zufriedenstellend","1996","Staedtischer Raum","maennlich","1298","","",""
"Zufriedenstellend","1996","Staedtischer Raum","weiblich","1461","","",""
"Zufriedenstellend","1996","Laendlicher Raum","maennlich","761","0.355418000793496","0.335417284615489","0.375418716971504"
"Zufriedenstellend","1996","Laendlicher Raum","weiblich","832","0.367021587027987","0.347446504544273","0.386596669511702"
"Weniger gut","1996","Staedtischer Raum","maennlich","477","0.124656385316061","0.114519190633387","0.134793579998735"
"Weniger gut","1996","Staedtischer Raum","weiblich","668","0.171380004894421","0.160261691608728","0.182498318180113"
"Weniger gut","1996","Laendlicher Raum","maennlich","207","","",""
"Weniger gut","1996","Laendlicher Raum","weiblich","339","0.162907343940038","0.147909789601345","0.177904898278732"
"Schlecht","1996","Staedtischer Raum","maennlich","134","","",""
"Schlecht","1996","Staedtischer Raum","weiblich","173","","",""
"Schlecht","1996","Laendlicher Raum","maennlich","70","0.0355316070820988","0.0277961109032098","0.0432671032609878"
"Schlecht","1996","Laendlicher Raum","weiblich","77","0.0449517502100783","0.0365368434896986","0.053366656930458"
"Sehr gut","1997","Staedtischer Raum","maennlich","450","0.0933682205878169","0.0843932356925542","0.10234320548308"
"Sehr gut","1997","Staedtischer Raum","weiblich","345","0.0769206308279443","0.0689663664708521","0.0848748951850365"
"Sehr gut","1997","Laendlicher Raum","maennlich","203","","",""
"Sehr gut","1997","Laendlicher Raum","weiblich","174","","",""
"Gut","1997","Staedtischer Raum","maennlich","1822","","",""
"Gut","1997","Staedtischer Raum","weiblich","1752","","",""
"Gut","1997","Laendlicher Raum","maennlich","951","0.401392765090396","0.380730591917683","0.422054938263109"
"Gut","1997","Laendlicher Raum","weiblich","904","0.348618121243417","0.329138907609134","0.368097334877699"
