year,sampreg,sex,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1984,Westdeutschland,maennlich,,,,,,,,,,,,
1984,Westdeutschland,weiblich,,,,,,,,,,,,
1985,Westdeutschland,maennlich,,,,,,,,,,,,
1985,Westdeutschland,weiblich,,,,,,,,,,,,
1986,Westdeutschland,maennlich,,,,,,,,,,,,
1986,Westdeutschland,weiblich,,,,,,,,,,,,
1987,Westdeutschland,maennlich,,,,,,,,,,,,
1987,Westdeutschland,weiblich,,,,,,,,,,,,
1988,Westdeutschland,maennlich,,,,,,,,,,,,
1988,Westdeutschland,weiblich,,,,,,,,,,,,
1989,Westdeutschland,maennlich,,,,,,,,,,,,
1989,Westdeutschland,weiblich,,,,,,,,,,,,
1990,Westdeutschland,-1,,,,,,,,,,,,
1990,Westdeutschland,maennlich,,,,,,,,,,,,
1990,Westdeutschland,weiblich,,,,,,,,,,,,
1990,Ostdeutschland,maennlich,7.470152958425163,7.3701789979014425,7.570126918948883,6.0,8.0,10.0,0.0,10.0,8.0,8.0,8.0,696.0
1990,Ostdeutschland,weiblich,7.575332450237443,7.48395389732092,7.666711003153966,6.0,8.0,10.0,0.0,10.0,8.0,8.0,8.0,778.0
1991,Westdeutschland,maennlich,,,,,,,,,,,,
1991,Westdeutschland,weiblich,,,,,,,,,,,,
1991,Ostdeutschland,maennlich,,,,,,,,,,,,
1991,Ostdeutschland,weiblich,,,,,,,,,,,,
1992,Westdeutschland,maennlich,,,,,,,,,,,,
1992,Westdeutschland,weiblich,,,,,,,,,,,,
1992,Ostdeutschland,maennlich,,,,,,,,,,,,
1992,Ostdeutschland,weiblich,,,,,,,,,,,,
1993,Westdeutschland,maennlich,,,,,,,,,,,,
1993,Westdeutschland,weiblich,,,,,,,,,,,,
1993,Ostdeutschland,maennlich,,,,,,,,,,,,
1993,Ostdeutschland,weiblich,,,,,,,,,,,,
1994,Westdeutschland,maennlich,,,,,,,,,,,,
1994,Westdeutschland,weiblich,,,,,,,,,,,,
1994,Ostdeutschland,maennlich,,,,,,,,,,,,
1994,Ostdeutschland,weiblich,,,,,,,,,,,,
1995,Westdeutschland,maennlich,,,,,,,,,,,,
1995,Westdeutschland,weiblich,,,,,,,,,,,,
1995,Ostdeutschland,maennlich,,,,,,,,,,,,
1995,Ostdeutschland,weiblich,,,,,,,,,,,,
1996,Westdeutschland,maennlich,,,,,,,,,,,,
1996,Westdeutschland,weiblich,,,,,,,,,,,,
1996,Ostdeutschland,maennlich,,,,,,,,,,,,
1996,Ostdeutschland,weiblich,,,,,,,,,,,,
