year,bula_h,quintil_oecd_hh,hlc0061_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,Schleswig-Holstein,2nd Quintile,No,0.99052,62,62,0.96620,1.01484
2005,Schleswig-Holstein,4th Quintile,No,0.96790,66,66,0.92506,1.01075
2005,Lower Saxony,1st Quintile,No,0.98354,146,146,0.96283,1.00425
2005,North Rhine-Westphalia,1st Quintile,No,0.99025,402,402,0.98064,0.99987
2005,North Rhine-Westphalia,2nd Quintile,No,0.99511,403,403,0.98829,1.00193
2005,North Rhine-Westphalia,3rd Quintile,No,0.99764,398,398,0.99286,1.00241
2005,Hesse,1st Quintile,No,0.98362,118,118,0.96062,1.00662
2005,Hesse,2nd Quintile,No,0.99185,97,97,0.97386,1.00984
2005,"Rhineland-Palatinate, Saarland",3rd Quintile,No,0.98999,129,129,0.97275,1.00724
2005,Baden-Wuerttemberg,1st Quintile,No,0.99418,177,177,0.98294,1.00542
2005,Bavaria,1st Quintile,No,0.99634,192,192,0.98778,1.00490
2005,Bavaria,2nd Quintile,No,0.99648,254,254,0.98918,1.00378
2005,Bavaria,5th Quintile,No,0.99794,499,499,0.99395,1.00192
2005,Brandenburg,2nd Quintile,No,0.99645,117,117,0.98563,1.00727
2005,Saxony,4th Quintile,No,0.99779,135,135,0.98985,1.00574
2005,Saxony-Anhalt,2nd Quintile,No,0.98882,121,121,0.97000,1.00763
2005,Saxony-Anhalt,3rd Quintile,No,0.98142,113,113,0.95642,1.00643
2005,Thuringa,2nd Quintile,No,0.99419,121,121,0.98059,1.00779
2005,Thuringa,4th Quintile,No,0.98512,75,75,0.95753,1.01271
2005,Thuringa,5th Quintile,No,0.98385,44,44,0.94617,1.02153
2006,Schleswig-Holstein,2nd Quintile,No,0.99079,64,64,0.96720,1.01438
2006,Schleswig-Holstein,3rd Quintile,No,0.97349,69,69,0.93530,1.01167
2006,Lower Saxony,1st Quintile,No,0.98424,153,153,0.96443,1.00404
2006,Lower Saxony,2nd Quintile,No,0.99719,189,189,0.98962,1.00476
2006,North Rhine-Westphalia,1st Quintile,No,0.97018,432,432,0.95412,0.98624
2006,North Rhine-Westphalia,3rd Quintile,No,0.99506,440,440,0.98850,1.00162
2006,North Rhine-Westphalia,5th Quintile,No,0.99618,718,718,0.99166,1.00069
2006,Hesse,1st Quintile,No,0.97938,120,120,0.95385,1.00491
2006,"Rhineland-Palatinate, Saarland",1st Quintile,No,0.99076,133,133,0.97444,1.00708
2006,"Rhineland-Palatinate, Saarland",2nd Quintile,No,0.98763,131,131,0.96863,1.00663
2006,Baden-Wuerttemberg,1st Quintile,No,0.99380,179,179,0.98228,1.00533
2006,Bavaria,1st Quintile,No,0.98552,226,226,0.96991,1.00113
2006,Bavaria,2nd Quintile,No,0.99524,258,258,0.98682,1.00365
