year,bula_h,hhtyp,hlc0061_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,Schleswig-Holstein,Single-person household,No,0.98196,89,89,0.95414,1.00977
2005,Schleswig-Holstein,Couple without children,No,0.99362,131,131,0.97993,1.00731
2005,Lower Saxony,Single-person household,No,0.99483,218,218,0.98528,1.00437
2005,Lower Saxony,Couple without children,No,0.99573,318,318,0.98855,1.00291
2005,North Rhine-Westphalia,Single-person household,No,0.99490,574,574,0.98906,1.00073
2005,North Rhine-Westphalia,Couple without children,No,0.99676,830,830,0.99289,1.00063
2005,North Rhine-Westphalia,Couple with children,No,0.99823,777,777,0.99528,1.00119
2005,Hesse,Single-person household,No,0.99162,202,202,0.97902,1.00422
2005,Hesse,Couple without children,No,0.99618,273,273,0.98886,1.00351
2005,"Rhineland-Palatinate, Saarland",Single-person household,No,0.99405,186,186,0.98296,1.00513
2005,Baden-Wuerttemberg,Couple without children,No,0.99711,399,399,0.99184,1.00238
2005,Bavaria,Couple without children,No,0.99474,484,484,0.98829,1.00119
2005,Bavaria,Couple with children,No,0.99887,561,561,0.99609,1.00165
2005,Brandenburg,Couple without children,No,0.99677,162,162,0.98799,1.00554
2005,Saxony,Couple with children,No,0.99831,239,239,0.99309,1.00353
2005,Saxony-Anhalt,Couple without children,No,0.98695,168,168,0.96973,1.00416
2005,Thuringa,Single-person household,No,0.99452,115,115,0.98097,1.00807
2005,Thuringa,Couple without children,No,0.99753,149,149,0.98954,1.00553
2005,Thuringa,Couple with children,No,0.99296,158,158,0.97989,1.00604
2006,Schleswig-Holstein,Single-person household,No,0.98308,96,96,0.95714,1.00901
2006,Schleswig-Holstein,Couple without children,No,0.99475,147,147,0.98303,1.00647
2006,Hamburg,Single-person household,No,0.98965,78,78,0.96705,1.01226
2006,Lower Saxony,Single-person household,No,0.99662,251,251,0.98942,1.00381
2006,Lower Saxony,Couple without children,No,0.99813,366,366,0.99370,1.00256
2006,Lower Saxony,Single parent,No,0.98202,68,68,0.95021,1.01384
2006,Lower Saxony,Couple with children,No,0.99786,355,355,0.99304,1.00267
2006,North Rhine-Westphalia,Single-person household,No,0.98838,643,643,0.98009,0.99667
2006,North Rhine-Westphalia,Couple without children,No,0.99190,894,894,0.98602,0.99778
2006,North Rhine-Westphalia,Couple with children,No,0.99615,800,800,0.99185,1.00044
2006,Hesse,Single-person household,No,0.99375,222,222,0.98336,1.00414
2006,Hesse,Couple without children,No,0.99546,306,306,0.98792,1.00301
2006,"Rhineland-Palatinate, Saarland",Single-person household,No,0.98871,205,205,0.97422,1.00321
2006,Baden-Wuerttemberg,Single parent,No,0.98481,89,89,0.95926,1.01037
2006,Bavaria,Single-person household,No,0.99542,434,434,0.98906,1.00178
2006,Bavaria,Couple without children,No,0.99455,564,564,0.98847,1.00063
2006,Bavaria,Couple with children,No,0.99825,582,582,0.99486,1.00165
2006,Berlin,Single-person household,No,0.98848,179,179,0.97280,1.00416
2006,Mecklenburg-Western Pomerania,Couple with children,No,0.98594,88,88,0.96120,1.01068
2006,Saxony,Single-person household,No,0.99483,242,242,0.98578,1.00389
2007,Schleswig-Holstein,Single-person household,No,0.96537,98,98,0.92899,1.00176
2007,Schleswig-Holstein,Couple without children,No,0.99472,132,132,0.98231,1.00713
2007,Lower Saxony,Single-person household,No,0.99367,239,239,0.98360,1.00375
2007,Lower Saxony,Single parent,No,0.98308,57,57,0.94929,1.01686
2007,Lower Saxony,Couple with children,No,0.99361,326,326,0.98494,1.00227
2007,North Rhine-Westphalia,Single-person household,No,0.98686,593,593,0.97769,0.99603
2007,North Rhine-Westphalia,Couple without children,No,0.99028,812,812,0.98353,0.99704
2007,North Rhine-Westphalia,Single parent,No,0.99275,130,130,0.97811,1.00739
2007,North Rhine-Westphalia,Couple with children,No,0.99718,757,757,0.99340,1.00096
2007,Hesse,Single-person household,No,0.99499,195,195,0.98506,1.00493
2007,Hesse,Couple without children,No,0.99673,281,281,0.99004,1.00342
2007,"Rhineland-Palatinate, Saarland",Single-person household,No,0.99492,196,196,0.98494,1.00490
2007,Baden-Wuerttemberg,Single-person household,No,0.99793,360,360,0.99322,1.00263
2007,Baden-Wuerttemberg,Couple without children,No,0.99259,423,423,0.98441,1.00077
2007,Baden-Wuerttemberg,Single parent,No,0.98448,83,83,0.95772,1.01123
2007,Bavaria,Single-person household,No,0.99043,429,429,0.98121,0.99965
2007,Bavaria,Couple without children,No,0.98387,524,524,0.97307,0.99467
2007,Bavaria,Couple with children,No,0.99713,558,558,0.99268,1.00157
2007,Berlin,Single-person household,No,0.99131,167,167,0.97719,1.00543
2007,Brandenburg,Single-person household,No,0.99640,136,136,0.98630,1.00650
2007,Saxony,Single-person household,No,0.99457,235,235,0.98515,1.00399
2007,Saxony,Single parent,No,0.98347,52,52,0.94848,1.01846
2007,Saxony-Anhalt,Couple without children,No,0.99618,169,169,0.98686,1.00551
2007,Thuringa,Couple with children,No,0.99618,147,147,0.98618,1.00619
2008,Schleswig-Holstein,Single-person household,No,0.96126,92,92,0.92161,1.00091
2008,Schleswig-Holstein,Couple without children,No,0.99450,119,119,0.98116,1.00784
2008,Hamburg,Couple with children,No,0.96267,38,38,0.90158,1.02375
2008,Lower Saxony,Single-person household,No,0.98708,245,245,0.97291,1.00125
2008,Lower Saxony,Couple without children,No,0.98732,336,336,0.97534,0.99930
2008,Lower Saxony,Couple with children,No,0.99606,305,305,0.98901,1.00310
2008,North Rhine-Westphalia,Single-person household,No,0.97503,549,549,0.96197,0.98810
2008,North Rhine-Westphalia,Couple without children,No,0.99243,765,765,0.98628,0.99857
2008,North Rhine-Westphalia,Single parent,No,0.99266,130,130,0.97793,1.00739
2008,North Rhine-Westphalia,Couple with children,No,0.98708,680,680,0.97859,0.99557
2008,Hesse,Couple without children,No,0.99623,266,266,0.98885,1.00361
2008,Hesse,Couple with children,No,0.99596,239,239,0.98791,1.00402
2008,"Rhineland-Palatinate, Saarland",Single-person household,No,0.98866,192,192,0.97365,1.00368
2008,"Rhineland-Palatinate, Saarland",Single parent,No,0.97882,46,46,0.93675,1.02089
2008,"Rhineland-Palatinate, Saarland",Couple with children,No,0.99242,188,188,0.97999,1.00485
2008,Baden-Wuerttemberg,Single-person household,No,0.99673,342,342,0.99067,1.00279
2008,Baden-Wuerttemberg,Single parent,No,0.98158,80,80,0.95193,1.01123
2008,Baden-Wuerttemberg,Couple with children,No,0.99169,422,422,0.98302,1.00036
2008,Bavaria,Single-person household,No,0.98467,402,402,0.97264,0.99669
2008,Bavaria,Couple without children,No,0.98648,500,500,0.97634,0.99661
2008,Bavaria,Couple with children,No,0.99707,512,512,0.99239,1.00176
2008,Berlin,Single-person household,No,0.98016,169,169,0.95907,1.00125
2008,Berlin,Single parent,No,0.98976,36,36,0.95639,1.02312
2008,Brandenburg,Single-person household,No,0.99161,134,134,0.97610,1.00711
2008,Brandenburg,Single parent,No,0.96280,32,32,0.89618,1.02942
2008,Brandenburg,Couple with children,No,0.98714,124,124,0.96722,1.00705
2008,Mecklenburg-Western Pomerania,Couple with children,No,0.98674,67,67,0.95914,1.01434
2008,Saxony,Single-person household,No,0.99416,227,227,0.98423,1.00409
