year,bula_h,sampreg,hlc0061_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,Schleswig-Holstein,West,No,0.99199,356,356,0.98272,1.00126
2005,Lower Saxony,West,No,0.99697,944,944,0.99346,1.00048
2005,North Rhine-Westphalia,West,No,0.99670,2359,2359,0.99439,0.99902
2005,Hesse,West,No,0.99577,763,763,0.99116,1.00038
2005,"Rhineland-Palatinate, Saarland",West,No,0.99771,676,676,0.99410,1.00132
2005,Baden-Wuerttemberg,West,No,0.99916,1320,1320,0.99760,1.00072
2005,Bavaria,West,No,0.99824,1551,1551,0.99615,1.00033
2005,Brandenburg,East,No,0.99904,470,470,0.99624,1.00184
2005,Saxony,East,No,0.99963,811,811,0.99830,1.00096
2005,Saxony-Anhalt,East,No,0.99224,469,469,0.98429,1.00019
2005,Thuringa,East,No,0.99536,459,459,0.98913,1.00158
2006,Schleswig-Holstein,West,No,0.99248,387,387,0.98386,1.00110
2006,Hamburg,West,No,0.99373,193,193,0.98257,1.00490
2006,Lower Saxony,West,No,0.99662,1070,1070,0.99314,1.00010
2006,North Rhine-Westphalia,West,No,0.99221,2528,2528,0.98878,0.99564
2006,Hesse,West,No,0.99631,844,844,0.99222,1.00040
2006,"Rhineland-Palatinate, Saarland",West,No,0.99544,725,725,0.99054,1.00035
2006,Baden-Wuerttemberg,West,No,0.99914,1472,1472,0.99764,1.00064
2006,Bavaria,West,No,0.99626,1726,1726,0.99338,0.99914
2006,Berlin,East,No,0.98560,207,207,0.96934,1.00187
2006,Mecklenburg-Western Pomerania,East,No,0.99678,303,303,0.99039,1.00317
2006,Saxony,East,No,0.99792,876,876,0.99490,1.00094
2007,Schleswig-Holstein,West,No,0.98563,357,357,0.97327,0.99799
2007,Lower Saxony,West,No,0.99518,1001,1001,0.99089,0.99947
2007,North Rhine-Westphalia,West,No,0.99100,2330,2330,0.98716,0.99484
2007,Hesse,West,No,0.99421,782,782,0.98889,0.99953
2007,"Rhineland-Palatinate, Saarland",West,No,0.99785,661,661,0.99431,1.00138
2007,Baden-Wuerttemberg,West,No,0.99615,1350,1350,0.99284,0.99945
2007,Bavaria,West,No,0.99094,1633,1633,0.98635,0.99554
2007,Berlin,East,No,0.99004,199,199,0.97621,1.00387
2007,Brandenburg,East,No,0.99860,489,489,0.99527,1.00192
2007,Saxony,East,No,0.99684,832,832,0.99302,1.00066
2007,Saxony-Anhalt,East,No,0.99872,464,464,0.99547,1.00198
2007,Thuringa,East,No,0.99918,488,488,0.99664,1.00172
2008,Schleswig-Holstein,West,No,0.98210,324,324,0.96765,0.99656
2008,Hamburg,West,No,0.99621,184,184,0.98732,1.00511
2008,Lower Saxony,West,No,0.99026,959,959,0.98404,0.99648
2008,Bremen,West,No,0.98463,82,82,0.95784,1.01142
2008,North Rhine-Westphalia,West,No,0.98463,2161,2161,0.97945,0.98982
2008,Hesse,West,No,0.99777,733,733,0.99435,1.00119
2008,"Rhineland-Palatinate, Saarland",West,No,0.99145,616,616,0.98417,0.99872
2008,Baden-Wuerttemberg,West,No,0.99558,1281,1281,0.99195,0.99922
2008,Bavaria,West,No,0.98949,1527,1527,0.98437,0.99460
2008,Berlin,West,No,0.99414,254,254,0.98473,1.00355
2008,Berlin,East,No,0.98151,192,192,0.96240,1.00062
2008,Brandenburg,East,No,0.99083,465,465,0.98215,0.99950
2008,Mecklenburg-Western Pomerania,East,No,0.99749,275,275,0.99157,1.00341
2008,Saxony,East,No,0.99645,797,797,0.99232,1.00058
2008,Saxony-Anhalt,East,No,0.99868,436,436,0.99527,1.00209
2008,Thuringa,East,No,0.99412,470,470,0.98719,1.00104
2009,Schleswig-Holstein,West,No,0.97921,298,298,0.96299,0.99544
2009,Lower Saxony,West,No,0.99111,910,910,0.98501,0.99722
2009,North Rhine-Westphalia,West,No,0.98710,2014,2014,0.98218,0.99203
2009,Hesse,West,No,0.99685,697,697,0.99269,1.00101
2009,"Rhineland-Palatinate, Saarland",West,No,0.99358,579,579,0.98707,1.00009
2009,Baden-Wuerttemberg,West,No,0.98911,1144,1144,0.98310,0.99513
2009,Bavaria,West,No,0.99141,1444,1444,0.98665,0.99617
2009,Berlin,West,No,0.98862,237,237,0.97508,1.00215
2009,Berlin,East,No,0.96452,196,196,0.93856,0.99049
2009,Brandenburg,East,No,0.99248,447,447,0.98446,1.00050
2009,Mecklenburg-Western Pomerania,East,No,0.99909,270,270,0.99549,1.00269
2009,Saxony,East,No,0.98709,752,752,0.97902,0.99516
2009,Thuringa,East,No,0.98910,448,448,0.97947,0.99872
2010,Schleswig-Holstein,West,No,0.97363,444,444,0.95870,0.98855
2010,Hamburg,West,No,0.99267,243,243,0.98193,1.00342
2010,Lower Saxony,West,No,0.98863,1249,1249,0.98275,0.99451
