"year","bildungsniveau","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","(Fach-)Abitur","direkter Migrationshintergrund","10.48","5.5","125","2","3","15","25","45","8.07","12.89","1","120","4","8"
"1985","(Fach-)Abitur","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"1985","(Fach-)Abitur","kein Migrationshintergrund","12.79","7.5","225","2","3","15","30","75","9.93","15.65","1","250","6","10"
"1985","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"1985","(noch) kein Abschluss","direkter Migrationshintergrund","7.45","3.5","404","1","2","9","20","40","6.62","8.28","0","60","4","5"
"1985","(noch) kein Abschluss","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"1985","(noch) kein Abschluss","kein Migrationshintergrund","","","","","","","","","","","","","",""
"1985","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"1985","AkademikerIn","direkter Migrationshintergrund","11.3","6.5","62","1","3","17","28","38","8.72","13.88","1","40","5","11"
"1985","AkademikerIn","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"1985","AkademikerIn","kein Migrationshintergrund","15.29","7.5","427","2","4","20","37","86","13.54","17.04","1","113","7","10"
"1985","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"1985","Hauptschule","direkter Migrationshintergrund","9.08","4.5","902","1","2","11","19","70","8.08","10.08","0","260","5","5"
"1985","Hauptschule","indirekter Migrationshintergrund","17.71","3.5","37","1","2","28","62","62","13.01","22.41","1","62","2","10"
"1985","Hauptschule","kein Migrationshintergrund","11.83","6.5","2081","1","3","15","25","74","11.04","12.62","0","360","6","7"
"1985","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"1985","Realschule","direkter Migrationshintergrund","9.52","6.5","70","2","3","12","20","34","7.38","11.66","1","40","4","10"
"1985","Realschule","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"1985","Realschule","kein Migrationshintergrund","11.84","7.5","878","1","3","15","26","60","10.97","12.71","0","130","8","10"
"1985","Realschule","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"1986","(Fach-)Abitur","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"1986","(Fach-)Abitur","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"1986","(Fach-)Abitur","kein Migrationshintergrund","","","","","","","","","","","","","",""
"1986","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"1986","(noch) kein Abschluss","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"1986","(noch) kein Abschluss","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"1986","(noch) kein Abschluss","kein Migrationshintergrund","","","","","","","","","","","","","",""
"1986","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"1986","AkademikerIn","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"1986","AkademikerIn","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"1986","AkademikerIn","kein Migrationshintergrund","","","","","","","","","","","","","",""
"1986","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"1986","Hauptschule","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"1986","Hauptschule","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"1986","Hauptschule","kein Migrationshintergrund","","","","","","","","","","","","","",""
"1986","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"1986","Realschule","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"1986","Realschule","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"1986","Realschule","kein Migrationshintergrund","","","","","","","","","","","","","",""
"1986","Realschule","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"1987","(Fach-)Abitur","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"1987","(Fach-)Abitur","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"1987","(Fach-)Abitur","kein Migrationshintergrund","","","","","","","","","","","","","",""
"1987","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"1987","(noch) kein Abschluss","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"1987","(noch) kein Abschluss","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"1987","(noch) kein Abschluss","kein Migrationshintergrund","","","","","","","","","","","","","",""
"1987","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"1987","AkademikerIn","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"1987","AkademikerIn","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"1987","AkademikerIn","kein Migrationshintergrund","","","","","","","","","","","","","",""
