year,sex,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,male,,,,,,,,,,,,
1984,female,,,,,,,,,,,,
1985,male,3207,13.796255840970971,13.469107709442333,14.12340397249961,4.0,8.0,17.0,0.0,36.5,8.0,7.0,8.0
1985,female,2058,9.302526655059555,9.064803209456654,9.540250100662456,2.0,5.0,12.0,0.0,27.0,5.0,4.0,5.0
1986,male,,,,,,,,,,,,
1986,female,,,,,,,,,,,,
1987,male,,,,,,,,,,,,
1987,female,,,,,,,,,,,,
1988,male,,,,,,,,,,,,
1988,female,,,,,,,,,,,,
1989,male,,,,,,,,,,,,
1989,female,,,,,,,,,,,,
1990,male,2814,15.707915558952145,15.31510448151006,16.100726636394228,4.0,10.0,20.0,0.0,44.0,10.0,10.0,10.0
1990,female,1915,10.351883865971477,10.063910462635938,10.639857269307015,3.0,6.0,14.0,0.0,30.5,6.0,5.0,6.0
1991,male,545,54.49337414015411,49.284079881802185,59.702668398506034,7.0,12.0,25.0,1.0,52.0,12.0,9.0,14.0
1991,female,303,16.784323057716676,15.089190396697413,18.479455718735938,6.0,10.0,15.0,0.0,28.5,10.0,10.0,10.0
1992,male,475,49.33782084180895,44.39491522693702,54.280726456680874,8.0,15.0,25.0,1.0,50.5,15.0,15.0,18.0
1992,female,293,19.491896931936495,16.482211131253948,22.501582732619042,6.971334688858151,10.0,18.0,1.0,34.542997966712775,10.0,8.0,10.0
1993,male,3825,13.299227848446552,13.06175918872345,13.536696508169655,3.0,8.0,18.0,0.0,40.5,8.0,7.0,8.0
1993,female,3093,9.073404107943873,8.866906426116072,9.279901789771673,2.0,5.0,12.0,0.0,27.0,5.0,5.0,5.0
1994,male,,,,,,,,,,,,
1994,female,,,,,,,,,,,,
1995,male,3936,15.955633834617302,15.528585916353705,16.3826817528809,3.0,9.0,20.0,0.0,45.5,9.0,8.0,10.0
1995,female,3176,10.491637279627252,10.223457364116864,10.75981719513764,2.0,6.0,14.0,0.0,32.0,6.0,6.0,7.0
1996,male,,,,,,,,,,,,
1996,female,,,,,,,,,,,,
1997,male,1948,34.67201464034262,33.336503840693,36.007525439992236,12.0,20.0,35.0,1.0,69.5,20.0,20.0,20.0
1997,female,1245,22.685049670493544,21.782627797672188,23.5874715433149,9.0,15.0,25.0,1.0,49.0,15.0,14.0,15.0
1998,male,3868,17.109726671229055,16.8124180855957,17.40703525686241,5.0,11.0,23.0,0.0,50.0,11.0,10.0,12.0
1998,female,3176,12.138699637391971,11.877908156295613,12.39949111848833,3.0,8.0,15.0,0.0,33.0,8.0,8.0,9.0
1999,male,2205,32.30507546699189,31.05504963672234,33.55510129726144,12.0,20.0,32.0,2.0,62.0,20.0,20.0,22.0
1999,female,1496,23.990341039849604,22.715688436178812,25.264993643520395,9.0,15.0,25.0,2.0,49.0,15.0,15.0,15.0
2000,male,3762,32.03090304815825,31.13302731227245,32.92877878404405,12.0,20.0,31.0,1.0,59.5,20.0,20.0,21.0
2000,female,2622,21.360481614733924,20.817560498714116,21.903402730753733,9.0,15.0,25.0,1.0,49.0,15.0,15.0,15.0
2001,male,5800,21.90048507094086,21.255163347903014,22.545806793978706,4.0,11.0,24.0,1.0,54.0,11.0,10.0,12.0
2001,female,5047,12.893549905314154,12.560273214829767,13.226826595798542,3.0,7.0,15.0,1.0,33.0,7.0,6.0,7.0
2002,male,6092,23.264059948652434,22.575900804763968,23.9522190925409,4.0,12.0,25.0,0.0,56.5,12.0,12.0,14.0
2002,female,5403,13.333874367676026,12.959948194679763,13.70780054067229,3.0,7.0,15.0,0.0,33.0,7.0,6.0,7.0
2003,male,5857,18.224392331207824,17.93316452801515,18.515620134400496,5.0,12.0,23.0,0.0,50.0,12.0,12.0,13.0
2003,female,5319,13.130964935194285,12.881829228594402,13.380100641794169,3.0,8.0,16.0,1.0,35.5,8.0,8.0,8.0
